Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
18:45;JS Kabylie vs Ben Aknoun;Algeria 1;6.5 (2);70.0;15.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
02:00;Waterhouse FC vs Spanish Town Police FC;Jamaica 1;1.22 (1);60.0;5.0;35.0;1;Brak/Odwolany;-;Odwolany;0.0
jutro 01:30;Libertad vs Recoleta;Paraguay 1;1.8 (1);20.0;55.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21:00;MC Alger vs USM Alger;Algeria 1;1.65 (1);55.0;15.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
17:00;Paradou AC vs CR Belouizdad;Algeria 1;1.9 (2);50.0;35.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
20:45;Chelmsford vs AFC Totton;England 6;1.9 (1);50.0;30.0;20.0;1;Brak/Odwolany;-;Odwolany;0.0
20:00;Sunderland U21 vs Reading U21;England Reserve 1;2.1 (1);30.0;50.0;20.0;2;Brak/Odwolany;-;Odwolany;0.0
jutro 01:10;Independiente Medellin vs America de Cali;Colombia 1;2.1 (1);45.0;25.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
03:30;Llaneros FC vs Once Caldas;Colombia 1;2.5 (2);30.0;40.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
20:30;Arezzo vs Ascoli Picchio FC 1898;Italy 3;3.25 (2);40.0;15.0;45.0;X;Brak/Odwolany;-;Odwolany;0.0
18:30;Camberene vs Wally Daan;Senegal 1;2.4 (2);35.0;20.0;45.0;X;Brak/Odwolany;-;Odwolany;0.0
03:00;Marquense vs CSD Comunicaciones;Guatemala 1;2.25 (1);30.0;30.0;40.0;X;1;1:0;PRZEGRANA;-100.0
02:00;Desamparados vs Escorpiones;Costa Rica 2;2.05 (2);30.0;30.0;40.0;X;2;0:1;PRZEGRANA;-100.0
