Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
05 kwi;Szachtar Donieck vs Rukh Vynnyky;Ukraine 1;1.1 (1);93.2;2.0;4.9;1;;;
05 kwi;Club Africain vs Gabès;Tunisia 1;1.2 (1);86.6;4.7;8.7;1;;;
05 kwi;Berekum Chelsea vs Aduana Stars;Ghana 1;1.18 (1);83.4;5.1;11.5;1;1.58;-0.4;GRUBA GRA (Spadek)
05 kwi;Nasarawa United vs Kun Khalifat;Nigeria 1;1.36 (1);83.2;6.6;10.2;1;1.52;-0.22;GRUBA GRA (Spadek)
05 kwi;APR vs Muhanga;Rwanda 1;1.18 (1);83.0;5.1;11.9;1;1.2;-0.06;Stabilnie
05 kwi;Deportivo Saprissa vs Municipal Perez Zeledon;Costa Rica 1;1.3 (1);81.4;7.0;11.6;1;;;
05 kwi;Al-Ain vs Ajman;U.A.E. 1;1.27 (1);81.2;6.2;12.6;1;1.28;-0.02;Stabilnie
05 kwi;St. Pauls United vs Dieppe Bay Eagles;St. Kitts and Nevis 1;1.33 (1);80.0;7.1;12.9;1;;;
05 kwi;CR Belouizdad vs Mostaganem;Algeria 1;1.22 (1);78.9;7.7;13.4;1;1.3;-0.1;Stabilnie
06 kwi;CD Motagua vs Policia NFC;Honduras 1;1.25 (1);78.3;7.2;14.5;1;;;
05 kwi;CS Sfaxien vs Kairouan;Tunisia 1;1.25 (1);77.2;8.8;14.0;1;1.27;-0.04;Stabilnie
05 kwi;Young Lions vs Balestier Khalsa FC;Singapore 1;1.44 (2);11.9;76.9;11.3;2;1.3;-0.14;GRUBA GRA (Spadek)
05 kwi;Al-Seeb vs Al-Smail;Oman 1;1.25 (1);76.6;9.0;14.4;1;;;
05 kwi;Amed SK vs Boluspor;Turkey 2;1.3 (1);74.7;9.7;15.6;1;1.38;-0.1;Stabilnie
05 kwi;St. Georges Colts vs Dandy Town Hornets;Bermuda 1;1.33 (2);10.9;74.7;14.3;2;1.12;0.18;OSTRZEZENIE (Rosnie)
05 kwi;YMSC vs Devonshire Colts;Bermuda 1;1.2 (2);11.4;74.3;14.3;2;1.2;-0.05;Stabilnie
05 kwi;Polissya Zhytomyr vs Veres Rivne;Ukraine 1;1.33 (1);73.6;9.2;17.3;1;;;
05 kwi;Macva Sabac vs Stepojevac Vaga;Serbia 2;1.25 (1);73.2;9.9;17.0;1;;;
05 kwi;Remo Stars vs Shooting Stars;Nigeria 1;1.5 (1);72.0;9.3;18.7;1;1.67;-0.34;GRUBA GRA (Spadek)
05 kwi;Sparta Praga vs Karvina;Czech Republic 1;1.27 (1);71.9;7.4;20.7;1;1.38;-0.08;Stabilnie
06 kwi;Village Superstars vs Conaree United;St. Kitts and Nevis 1;1.5 (1);69.2;11.8;19.0;1;;;
05 kwi;Schalke 04 vs Karlsruher SC;Germany 2;1.48 (1);68.0;11.9;20.2;1;1.46;0.04;Stabilnie
05 kwi;USM Khenchela vs Paradou AC;Algeria 1;1.5 (1);67.6;10.4;22.0;1;1.7;-0.2;GRUBA GRA (Spadek)
05 kwi;FC Banants vs Gandzasar;Armenia 1;1.5 (1);67.4;14.3;18.3;1;;;
05 kwi;Las Palmas vs Huesca;Spain 2;1.5 (1);67.4;12.8;19.8;1;1.68;-0.22;GRUBA GRA (Spadek)
05 kwi;SC Heerenveen vs Heracles;Eredivisie;1.44 (1);66.4;11.5;22.1;1;;;
05 kwi;FK Radnik Surdulica vs Crvena Zvezda Belgrad;Serbia 1;1.3 (2);17.2;65.7;17.1;2;1.27;0.01;Stabilnie
06 kwi;Gremio vs Remo;Brazil 1;1.5 (1);64.2;13.8;22.0;1;;;
05 kwi;Szeged 2011 vs Vasas Budapeszt;Hungary 2;1.61 (2);17.8;63.5;18.7;2;;;
05 kwi;Sabadell vs Real Betis II;Spain 3;1.36 (1);61.3;13.9;24.7;1;;;
05 kwi;Eibar vs CA Ceuta;Spain 2;1.57 (1);60.8;20.8;18.4;1;;;
05 kwi;Al-Ettifaq vs Al Quadisiya;Saudi Arabia 1;1.44 (2);20.0;58.9;21.1;2;;;
05 kwi;Frosinone vs Calcio Padova;Italy 2;1.48 (1);58.7;19.5;21.8;1;;;
05 kwi;PWD Bamenda vs Aigle Royal de Moungo;Cameroon 1;1.55 (1);58.0;12.1;29.9;1;;;
05 kwi;FSV Zwickau vs BFC Dynamo;Germany 4;1.75 (1);57.8;15.3;26.8;1;;;
05 kwi;Platense FC vs CD Marathon;Honduras 1;1.8 (2);18.3;57.3;24.4;2;;;
06 kwi;Jaiba Brava vs Venados FC;Mexico 2;1.75 (1);57.1;19.4;23.6;1;;;
05 kwi;Lugo vs Osasuna B;Spain 3;1.65 (1);55.9;18.4;25.6;1;;;
05 kwi;Al Minaa vs Naft Misan;Iraq 1;1.9 (1);55.5;19.3;25.2;1;;;
