Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:00;Al-Faisaly vs Shabab Al-Ordon;Jordan 1;1.38 (1);90.0;5.0;5.0;1;2;0:1;PRZEGRANA;-100.0
14:00;Tanzania Prisons vs Young Africans;Tanzania 1;1.18 (2);15.0;70.0;15.0;2;2;0:1;WYGRANA;18.0
16:00;Shooting Stars vs Rivers United FC;Nigeria 1;4.0 (2);65.0;30.0;5.0;1;1;2:1;WYGRANA;0.0
18:00;Erokspor vs Bandırmaspor;Turkey 2;1.4 (1);65.0;10.0;25.0;1;X;1:1;PRZEGRANA;-100.0
19:00;Al-Nahda vs Al-Khabourah;Oman 1;1.44 (1);65.0;10.0;25.0;1;X;1:1;PRZEGRANA;-100.0
18:30;Al-Ain vs Al-Wasl;U.A.E. 1;1.8 (1);60.0;10.0;30.0;1;1;2:0;WYGRANA;80.0
18:30;Bani Yas vs Al-Wahda;U.A.E. 1;1.75 (2);10.0;60.0;30.0;2;1;1:0;PRZEGRANA;-100.0
21:00;Cariari vs Deportiva Carmelita;Costa Rica 2;1.72 (1);60.0;20.0;20.0;1;1;2:1;WYGRANA;72.0
21:15;Al-Karma vs Al Gharraf;Iraq 1;1.72 (1);60.0;10.0;30.0;1;1;3:0;WYGRANA;72.0
20:00;Al Ahli vs Al-Salt;Jordan 1;2.0 (2);25.0;60.0;15.0;2;X;1:1;PRZEGRANA;-100.0
14:00;Boluspor vs Çorum Belediyespor;Turkey 2;1.83 (2);10.0;60.0;30.0;2;2;1:2;WYGRANA;83.0
21:15;Al Mosul vs Al Shorta;Iraq 1;1.57 (2);25.0;60.0;15.0;2;2;0:1;WYGRANA;57.0
13:00;ŁKS Łódź II vs KKS 1925 Kalisz;Poland 3;2.2 (2);20.0;55.0;25.0;2;1;2:0;PRZEGRANA;-100.0
19:00;Al-Seeb vs Al-Nasr Salalah;Oman 1;1.48 (1);55.0;10.0;35.0;1;X;0:0;PRZEGRANA;-100.0
20:00;Al Najma vs Damac FC;Saudi Arabia 1;2.25 (2);55.0;35.0;10.0;1;2;1:3;PRZEGRANA;-100.0
19:30;Al-Wakra vs Al-Shamal;Qatar 1;2.3 (2);55.0;20.0;25.0;1;2;0:1;PRZEGRANA;-100.0
19:00;Al Kahrabaa vs Al Talaba;Iraq 1;2.15 (2);35.0;55.0;10.0;2;2;1:2;WYGRANA;115.0
19:30;Qatar SC vs Al-Garrafa;Qatar 1;2.3 (2);15.0;50.0;35.0;2;1;2:0;PRZEGRANA;-100.0
19:00;Baghdad FC vs Newroz;Iraq 1;3.0 (1);30.0;45.0;25.0;2;2;0:2;WYGRANA;0.0
14:00;Power Dynamos vs FC MUZA;Zambia 1;1.53 (1);45.0;10.0;45.0;1;1;4:2;WYGRANA;53.0
14:00;NAPSA Stars FC vs Nchanga Rangers;Zambia 1;2.62 (2);15.0;45.0;40.0;2;2;0:1;WYGRANA;162.0
20:00;Francs Borains vs Lokeren-Temse;Belgium 2;2.5 (2);35.0;45.0;20.0;2;1;1:0;PRZEGRANA;-100.0
21:00;Deportivo Riestra vs Gimnasia Mendoza;Argentina 1;1.95 (1);45.0;25.0;30.0;1;X;0:0;PRZEGRANA;-100.0
11:30;IÄŸdÄ±r FK vs Bodrumspor;Turkey 2;3.5 (2);45.0;20.0;35.0;1;2;2:3;PRZEGRANA;-100.0
21:00;Defensa y Justicia vs Central Cordoba de Santiago;Argentina 1;1.95 (1);40.0;40.0;20.0;1;X;1:1;PRZEGRANA;-100.0
19:30;Al-Sailiya vs Lekhwiya;Qatar 1;5.25 (1);20.0;40.0;40.0;2;2;0:4;WYGRANA;0.0
20:00;Al Hazm vs Al Kholood;Saudi Arabia 1;2.2 (2);30.0;40.0;30.0;2;1;2:1;PRZEGRANA;-100.0
16:00;Luanda City vs CD Lunda-Sul;Angola 1;2.55 (1);35.0;40.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
19:30;Al-Riffa vs Muharraq;Bahrain 1;2.6 (2);20.0;40.0;40.0;2;X;1:1;PRZEGRANA;-100.0
19:30;Sitra vs Budaiya;Bahrain 1;3.0 (2);30.0;35.0;35.0;2;1;3:0;PRZEGRANA;-100.0
14:30;Persis Solo vs Bali United Pusam;Indonesia 1;2.2 (2);25.0;35.0;40.0;X;1;3:0;PRZEGRANA;-100.0
14:00;Green Buffaloes vs Zanaco;Zambia 1;2.45 (1);25.0;30.0;45.0;X;X;1:1;WYGRANA;0.0
20:00;Al Suqoor vs Al-Taawon;Saudi Arabia 1;2.87 (2);30.0;25.0;45.0;X;X;2:2;WYGRANA;0.0
