Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
21 kwi;Hajduk Split vs Osijek;Croatia 1;1.3 (1);80.0;10.0;10.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Real Madryt vs Alaves;Spain 1;1.22 (1);80.0;10.0;10.0;1;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Brittons Hill vs Bagatelle;Barbados 1;1.4 (1);75.0;10.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Academia Puerto Cabello vs Trujillanos FC;Venezuela 1;1.33 (1);70.0;15.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Atherstone Town vs Gosport Borough;England 7;4.1 (1);5.0;70.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stockport vs Mansfield Town;England 3;1.48 (1);70.0;20.0;10.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Rotherham United vs Luton Town;England 3;1.5 (2);20.0;70.0;10.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Naft Misan vs Al Najaf;Iraq 1;1.9 (1);70.0;0.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FC United of Manchester vs Stockton Town;England 7;1.83 (1);65.0;20.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Athletic Bilbao vs Osasuna Pampeluna;Spain 1;4.5 (2);65.0;20.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Macclesfield vs Southport;England 6;4.5 (2);65.0;5.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Coventry City vs Portsmouth;England 2;1.61 (1);60.0;15.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Southampton vs Bristol City;England 2;1.4 (1);60.0;5.0;35.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stoke City vs Millwall;England 2;1.85 (2);15.0;60.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Queens Park Rangers vs Swansea City;England 2;2.2 (1);60.0;15.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Rubio Nu vs Libertad;Paraguay 1;1.83 (2);20.0;55.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Torpedo Kutaisi vs FC Samgurali Tskhaltubo;Georgia 1;1.8 (1);55.0;20.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Doncaster Rovers vs Lincoln;England 3;1.85 (2);20.0;50.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stevenage vs Barnsley;England 3;1.83 (1);50.0;25.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Hartlepool United vs Southend United;England 5;1.83 (2);20.0;50.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Brighton & Hove Albion vs Chelsea;England 1;2.25 (1);50.0;20.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;West Bromwich Albion vs Watford;England 2;1.66 (1);50.0;15.0;35.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FK Velez Mostar vs Siroki Brijeg;Bosnia-Herzegovina 1;1.72 (1);50.0;20.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Girona vs Real Betis;Spain 1;2.37 (1);25.0;45.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Oxford United vs Wrexham;England 2;2.5 (1);35.0;45.0;20.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Dunfermline Athletic vs St.Johnstone;Scotland 2;1.7 (2);30.0;45.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Mallorca vs Valencia CF;Spain 1;2.5 (1);45.0;30.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Norwich City vs Derby County;England 2;2.0 (1);45.0;30.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Cheltenham Town vs Tranmere Rovers;England 4;2.37 (1);30.0;40.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Cambridge United vs Grimsby Town;England 4;1.9 (1);35.0;40.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FK Jelgava vs Auda;Latvia 1;1.7 (2);30.0;40.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Hereford vs Marine;England 6;4.33 (2);40.0;30.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Leicester City vs Hull City;England 2;3.4 (2);30.0;40.0;30.0;2;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Libertad vs River Plate;Ecuador 1;2.1 (1);40.0;15.0;45.0;X;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Bradford City vs Plymouth Argyle;England 3;2.6 (2);35.0;40.0;25.0;2;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Deportivo Merlo vs Comunicaciones;Argentina 3;3.0 (2);35.0;30.0;35.0;1;Brak/Odwolany;-;Odwolany;0.0
