Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:00;Erzurum BB vs Boluspor;Turkey 2;1.25 (1);83.4;3.6;13.1;1;✅ OBA ZGODNE (1);88.0;12.0;0.0;80.3;13.8;6.0;1;2:0;WYGRANA;25.0
20:00;Manchester City Academy vs Norwich City U21;England Reserve 1;1.16 (1);80.6;5.6;13.7;1;✅ OBA ZGODNE (1);80.0;16.0;4.0;81.0;12.2;6.7;1;3:0;WYGRANA;15.999999999999986
18:30;Al Arabi vs Al-Sailiya;Qatar 1;1.55 (1);79.9;10.5;9.6;1;✅ OBA ZGODNE (1);84.0;8.0;8.0;77.2;10.7;12.1;2;1:2;PRZEGRANA;-100.0
18:00;Vukovar 91 vs Dinamo Zagrzeb;Croatia 1;1.18 (2);10.7;76.5;12.8;2;✅ OBA ZGODNE (2);12.0;16.0;72.0;9.8;10.7;79.5;2;1:4;WYGRANA;18.0
19:00;Amed SK vs Umraniyespor;Turkey 2;1.27 (1);76.0;6.9;17.1;1;✅ OBA ZGODNE (1);84.0;12.0;4.0;70.6;20.6;8.8;X;2:2;PRZEGRANA;-100.0
19:00;Sakaryaspor vs Erokspor;Turkey 2;1.45 (2);12.7;65.6;21.7;2;✅ OBA ZGODNE (2);8.0;24.0;68.0;15.9;20.2;63.9;2;1:2;WYGRANA;45.0
jutro 01:00;Club Atletico Penarol vs Liverpool FC;Uruguay 1;1.57 (1);62.6;13.9;23.5;1;✅ OBA ZGODNE (1);60.0;28.0;12.0;64.3;20.5;15.2;Brak/Odwolany;-;Odwolany;0.0
16:00;Internacional Podgorica vs Kom;Montenegro 2;1.57 (2);13.6;61.6;24.8;2;✅ OBA ZGODNE (2);8.0;24.0;68.0;17.4;25.3;57.4;2;1:2;WYGRANA;57.0
21:00;Manchester United vs Leeds United;England 1;1.55 (1);60.5;18.4;21.2;1;✅ OBA ZGODNE (1);60.0;16.0;24.0;60.8;24.6;14.6;2;1:2;PRZEGRANA;-100.0
20:00;Jong Ajax vs FC Oss;Netherlands 2;2.1 (1);59.6;18.3;22.1;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;62.1;20.8;17.1;2;1:2;PRZEGRANA;-100.0
23:00;Union Magdalena vs Internacional Palmira;Colombia 2;4.2 (2);59.3;15.7;25.0;1;✅ OBA ZGODNE (1);76.0;20.0;4.0;48.2;28.3;23.5;2;0:2;PRZEGRANA;-100.0
16:15;Al-Shamal vs Qatar SC;Qatar 1;1.8 (1);58.7;16.5;24.8;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;55.2;28.0;16.8;2;0:2;PRZEGRANA;-100.0
20:30;Benevento vs Cavese;Italy 3;1.57 (1);56.6;16.4;26.9;1;✅ OBA ZGODNE (1);56.0;32.0;12.0;57.0;23.6;19.4;2;0:1;PRZEGRANA;-100.0
18:00;Beroe vs Łokomotiw Płowdiw;Bulgaria 1;2.2 (2);22.2;56.0;21.8;2;✅ OBA ZGODNE (2);12.0;16.0;72.0;29.0;25.7;45.4;X;0:0;PRZEGRANA;-100.0
20:30;Dolomiti Bellunesi vs Pro Patria;Italy 3;1.72 (1);55.5;17.2;27.3;1;✅ OBA ZGODNE (1);60.0;28.0;12.0;52.5;26.8;20.7;2;2:4;PRZEGRANA;-100.0
19:00;AF Elbasani vs Partizani;Albania 1;1.9 (1);54.9;19.1;26.0;1;✅ OBA ZGODNE (1);56.0;28.0;16.0;54.1;24.7;21.2;1;3:0;WYGRANA;90.0
20:00;Crystal Palace Academy vs Arsenal Academy;England Reserve 1;2.1 (1);54.2;22.7;23.1;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;47.7;25.1;27.2;1;2:0;WYGRANA;110.0
18:30;Fortune vs Dutch Lions;Gambia 1;1.8 (1);53.8;15.2;31.0;1;✅ OBA ZGODNE (1);56.0;36.0;8.0;52.4;27.6;20.1;X;0:0;PRZEGRANA;-100.0
15:30;FK Struga vs GFK Tikves Kavadarci;F.Y.R.O.M. 1;4.2 (2);51.5;22.7;25.8;1;✅ OBA ZGODNE (1);56.0;20.0;24.0;48.5;29.7;21.9;2;1:2;PRZEGRANA;-100.0
15:00;Sivasspor vs İstanbulspor;Turkey 2;1.7 (1);51.0;23.8;25.2;1;✅ OBA ZGODNE (1);48.0;24.0;28.0;52.9;26.0;21.0;2;1:3;PRZEGRANA;-100.0
jutro 00:00;Lanus vs Banfield;Argentina 1;1.85 (1);50.6;20.4;29.0;1;✅ OBA ZGODNE (1);48.0;32.0;20.0;52.3;27.0;20.7;Brak/Odwolany;-;Odwolany;0.0
12:00;Cherkasi vs Szachtar Donieck;Ukraine 1;1.7 (2);27.4;50.1;22.5;2;✅ OBA ZGODNE (2);28.0;20.0;52.0;26.9;24.2;48.8;X;2:2;PRZEGRANA;-100.0
19:00;Lusitania FC Lourosa vs FC Porto B;Portugal 2;2.2 (1);49.9;34.8;15.3;1;✅ OBA ZGODNE (1);44.0;16.0;40.0;53.9;14.8;31.3;X;1:1;PRZEGRANA;-100.0
19:00;Piast Gliwice vs Pogoń Szczecin;Poland 1;2.15 (1);49.3;24.0;26.7;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;50.2;25.8;23.9;2;0:2;PRZEGRANA;-100.0
18:00;Łódzki KS vs Pogon Grodzisk Mazowiecki;Poland 2;1.75 (1);49.2;22.5;28.3;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;52.6;28.5;18.9;Brak/Odwolany;-;Odwolany;0.0
18:00;Esperança dAndorra vs Penya Encarnada d'Andorra;Andorra 1;4.0 (1);21.3;49.0;29.6;2;✅ OBA ZGODNE (2);16.0;32.0;52.0;24.9;28.1;47.0;2;0:1;WYGRANA;0.0
19:00;Eyüpspor vs Samsunspor;Turkey 1;1.85 (2);24.3;48.9;26.8;2;✅ OBA ZGODNE (2);24.0;28.0;48.0;24.5;26.0;49.5;2;1:2;WYGRANA;85.0
19:00;Rizespor vs Gaziantep BB;Turkey 1;1.72 (1);48.8;22.2;29.1;1;✅ OBA ZGODNE (1);44.0;32.0;24.0;52.0;27.1;21.0;1;2:1;WYGRANA;72.0
22:00;Bogota FC vs Orsomarso;Colombia 2;3.75 (2);48.4;16.7;34.9;1;✅ OBA ZGODNE (1);52.0;36.0;12.0;46.1;34.1;19.8;1;2:0;WYGRANA;0.0
20:00;Jong AZ Alkmaar vs Jong PSV;Netherlands 2;1.85 (1);48.2;24.9;26.9;1;✅ OBA ZGODNE (1);40.0;28.0;32.0;53.7;26.1;20.2;2;0:2;PRZEGRANA;-100.0
20:45;Caersws vs Buckley Town;Wales 2;1.95 (1);48.0;18.9;33.2;1;✅ OBA ZGODNE (1);52.0;40.0;8.0;45.3;28.6;26.1;1;3:2;WYGRANA;95.0
