Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
02:00;Wotton vs Weymouth Wales;Barbados 1;1.03 (2);10.0;90.0;0.0;2;Brak/Odwolany;-;Odwolany;0.0
16:00;York City vs Altrincham;England 5;1.16 (1);90.0;5.0;5.0;1;1;2:1;WYGRANA;15.999999999999986
jutro 00:00;Argentinos Juniors vs Banfield;Argentina 1;1.5 (1);85.0;10.0;5.0;1;Brak/Odwolany;-;Odwolany;0.0
15:00;Szirak vs Pjunik;Armenia 1;1.3 (2);5.0;80.0;15.0;2;2;0:1;WYGRANA;30.0
16:00;AFC Fylde vs Radcliffe Borough;England 6;1.3 (1);80.0;10.0;10.0;1;1;4:3;WYGRANA;30.0
18:00;Bohemian FC vs Waterford United;Ireland 1;1.33 (1);80.0;5.0;15.0;1;X;1:1;PRZEGRANA;-100.0
16:00;Harborough Town vs Banbury United;England 7;1.25 (1);75.0;15.0;10.0;1;1;5:1;WYGRANA;25.0
jutro 01:00;Sportivo Trinidense vs Rubio Nu;Paraguay 1;2.1 (1);75.0;10.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
17:00;Avan Academy vs Alashkert FC;Armenia 1;1.61 (1);75.0;20.0;5.0;1;X;1:1;PRZEGRANA;-100.0
16:00;Gloucester City vs Taunton Town;England 7;1.4 (1);75.0;5.0;20.0;1;2;0:2;PRZEGRANA;-100.0
16:00;AFC Sudbury vs Needham Market;England 7;1.3 (2);20.0;70.0;10.0;2;2;1:3;WYGRANA;30.0
16:00;Bolton Wanderers vs Stockport;England 3;2.05 (1);70.0;10.0;20.0;1;X;2:2;PRZEGRANA;-100.0
16:00;Walton & Hersham vs Chertsey Town;England 7;1.4 (1);70.0;5.0;25.0;1;2;1:2;PRZEGRANA;-100.0
16:00;Sheffield Wednesday vs Leicester City;England 2;1.53 (2);10.0;65.0;25.0;2;X;1:1;PRZEGRANA;-100.0
16:00;Barwell FC vs Spalding United;England 7;1.4 (2);10.0;65.0;25.0;2;2;0:2;WYGRANA;40.0
15:30;Llandudno FC vs Guilsfield FC;Wales 2;1.44 (1);65.0;10.0;25.0;1;1;4:1;WYGRANA;44.0
16:00;Real Bedford vs Bishop's Stortford;England 7;1.38 (1);65.0;20.0;15.0;1;1;4:0;WYGRANA;38.0
14:30;Catania vs AZ Picerno ASD;Italy 3;1.27 (1);65.0;15.0;20.0;1;2;1:2;PRZEGRANA;-100.0
16:00;Poole Town FC vs Wimborne Town;England 7;1.57 (1);65.0;15.0;20.0;1;2;1:2;PRZEGRANA;-100.0
16:00;Ipswich Town vs Birmingham City;England 2;1.61 (1);60.0;20.0;20.0;1;1;2:1;WYGRANA;61.0
04:00;Club Xelaju vs Deportivo Malacateco;Guatemala 1;1.53 (1);60.0;35.0;5.0;1;1;1:0;WYGRANA;53.0
12:30;Udinese vs Como;European Championship U-21 1;1.65 (2);20.0;60.0;20.0;2;X;0:0;PRZEGRANA;-100.0
16:00;Atherstone Town vs Plymouth Parkway;England 7;1.7 (2);30.0;60.0;10.0;2;2;2:3;WYGRANA;70.0
16:45;Vitesse vs Jong Ajax;Netherlands 2;1.6 (1);60.0;15.0;25.0;1;1;6:1;WYGRANA;60.0
16:00;Berkhamsted vs Hungerford Town;England 7;1.57 (1);60.0;15.0;25.0;1;1;4:1;WYGRANA;57.0
13:30;Portsmouth vs Oxford United;England 2;4.1 (2);60.0;20.0;20.0;1;X;2:2;PRZEGRANA;-100.0
16:30;St. Gallen vs FC Zuerich;Switzerland 1;1.5 (1);60.0;10.0;30.0;1;1;2:1;WYGRANA;50.0
16:00;Uxbridge vs Hanwell Town;England 7;1.95 (1);55.0;15.0;30.0;1;1;2:0;WYGRANA;95.0
19:30;Pogon Grodzisk Mazowiecki vs Stal Mielec;Poland 2;2.15 (1);55.0;20.0;25.0;1;2;1:2;PRZEGRANA;-100.0
16:00;Torquay United vs Bath City;England 6;1.45 (1);50.0;10.0;40.0;1;1;4:1;WYGRANA;45.0
19:00;FC Porto B vs Chaves;Portugal 2;2.6 (1);50.0;35.0;15.0;1;1;3:0;WYGRANA;160.0
14:30;Casarano vs Potenza;Italy 3;1.8 (1);50.0;15.0;35.0;1;1;2:1;WYGRANA;80.0
17:15;Sampdoria vs Empoli;Italy 2;2.3 (1);50.0;35.0;15.0;1;1;1:0;WYGRANA;129.99999999999997
16:45;Roda JC Kerkrade vs Willem II;Netherlands 2;2.75 (2);50.0;40.0;10.0;1;2;0:1;PRZEGRANA;-100.0
19:00;Kocaelispor vs Istanbul Basaksehir;Turkey 1;2.5 (2);35.0;45.0;20.0;2;X;0:0;PRZEGRANA;-100.0
16:45;Cambuur vs FC Dordrecht;Netherlands 2;1.72 (1);45.0;10.0;45.0;1;X;1:1;PRZEGRANA;-100.0
16:00;Curzon vs Southport;England 6;2.15 (2);25.0;45.0;30.0;2;2;1:3;WYGRANA;115.0
16:00;Solihull Moors vs Boreham Wood;England 5;1.9 (2);15.0;45.0;40.0;2;1;4:1;PRZEGRANA;-100.0
16:00;South Shields vs Darlington 1883;England 6;1.4 (1);45.0;5.0;50.0;X;2;0:1;PRZEGRANA;-100.0
14:30;Audace Cerignola vs Latina;Italy 3;1.9 (1);40.0;25.0;35.0;1;X;1:1;PRZEGRANA;-100.0
17:30;Virtus Verona vs Ospitaletto;Italy 3;2.05 (2);40.0;20.0;40.0;1;X;0:0;PRZEGRANA;-100.0
16:00;Exeter City vs Doncaster Rovers;England 3;2.4 (2);40.0;30.0;30.0;1;1;3:0;WYGRANA;0.0
16:00;Leyton Orient vs Huddersfield Town;England 3;2.9 (1);30.0;40.0;30.0;2;2;1:2;WYGRANA;0.0
15:30;Caersws vs Penrhyncoch FC;Wales 2;1.8 (1);40.0;30.0;30.0;1;2;1:2;PRZEGRANA;-100.0
12:15;Helmond Sport vs RKC Waalwijk;Netherlands 2;2.0 (2);40.0;35.0;25.0;1;X;2:2;PRZEGRANA;-100.0
21:00;Hull City vs Coventry City;England 2;1.9 (2);20.0;40.0;40.0;2;X;0:0;PRZEGRANA;-100.0
16:00;Stratford Town vs Kettering Town FC;England 7;1.72 (2);30.0;40.0;30.0;2;1;2:0;PRZEGRANA;-100.0
15:00;Lecce vs Atalanta;European Championship U-21 1;1.75 (2);35.0;35.0;30.0;1;2;0:3;PRZEGRANA;-100.0
20:45;Le Mans vs Pau;France 2;1.9 (1);30.0;35.0;35.0;2;1;4:0;PRZEGRANA;-100.0
19:30;Hapoel Tel Awiw vs Maccabi Hajfa;Israel 1;2.5 (1);35.0;35.0;30.0;1;1;2:0;WYGRANA;150.0
16:00;Derby County vs Stoke City;England 2;1.9 (1);35.0;30.0;35.0;1;1;2:0;WYGRANA;90.0
16:00;Chippenham Town vs AFC Totton;England 6;2.25 (1);35.0;25.0;40.0;X;1;2:0;PRZEGRANA;-100.0
16:00;Reading vs Lincoln;England 3;1.9 (2);30.0;30.0;40.0;X;2;1:2;PRZEGRANA;-100.0
16:00;Bristol City vs Sheffield United;England 2;2.4 (2);30.0;30.0;40.0;X;1;1:0;PRZEGRANA;-100.0
