Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
03:05;Cruz Azul vs Necaxa;Mexico 1;1.36 (1);72.0;12.6;15.4;1;✅ OBA ZGODNE (1);72.0;12.0;16.0;72.1;17.6;10.3
19:00;Besiktas Stambuł vs Fatih Karagümrük;Turkey 1;1.33 (1);69.9;10.1;20.0;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;68.5;20.0;11.5
14:00;Persija Jakarta vs Persis Solo;Indonesia 1;1.3 (1);68.2;7.2;24.7;1;✅ OBA ZGODNE (1);72.0;24.0;4.0;65.6;25.1;9.3
21:15;Gil Vicente vs Casa Pia;Portugal 1;1.61 (1);65.9;13.1;20.9;1;✅ OBA ZGODNE (1);76.0;20.0;4.0;59.2;21.6;19.2
19:00;Chaves vs Oliveirense;Portugal 2;1.55 (1);63.1;14.1;22.9;1;✅ OBA ZGODNE (1);68.0;20.0;12.0;59.8;24.8;15.5
14:30;Zoria Ługańsk vs Veres Rivne;Ukraine 1;1.83 (1);57.8;23.6;18.6;1;✅ OBA ZGODNE (1);60.0;12.0;28.0;56.3;23.1;20.6
18:30;Cagliari vs Atalanta;European Championship U-21 1;1.75 (2);21.4;53.1;25.5;2;✅ OBA ZGODNE (2);20.0;28.0;52.0;22.3;23.9;53.8
21:00;Manchester United vs Brentford;England 1;1.85 (1);52.4;19.2;28.3;1;✅ OBA ZGODNE (1);56.0;28.0;16.0;50.1;28.5;21.4
02:00;Union Espanola vs Deportes Santa Cruz;Chile 2;1.8 (1);51.9;22.5;25.5;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;51.9;26.6;21.6
18:00;Ruch Chorzów vs Pogon Grodzisk Mazowiecki;Poland 2;1.7 (1);51.5;18.0;30.5;1;✅ OBA ZGODNE (1);48.0;40.0;12.0;53.8;24.2;22.0
10:30;Bali United Pusam vs PSM Makassar;Indonesia 1;1.9 (1);50.1;23.0;26.9;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;48.8;26.2;25.0
jutro 00:30;Defensor Sporting vs Club Atletico Progreso;Uruguay 1;1.85 (1);47.7;25.2;27.0;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;50.2;26.4;23.4
19:00;Konyaspor vs Trabzonspor;Turkey 1;2.2 (2);31.2;46.5;22.3;2;✅ OBA ZGODNE (2);32.0;16.0;52.0;30.7;26.4;42.9
23:30;Manta vs Universidad Catolica;Ecuador 1;1.83 (2);23.2;44.3;32.5;2;⚠️ RÓŻNICA (KNN:X XGB:2);20.0;40.0;40.0;25.3;27.6;47.1
20:30;Cadiz vs Las Palmas;Spain 2;2.15 (2);31.0;43.3;25.7;2;✅ OBA ZGODNE (2);28.0;20.0;52.0;33.0;29.4;37.6
21:00;Espanyol vs Levante;Spain 1;3.8 (2);42.8;20.0;37.2;1;✅ OBA ZGODNE (1);44.0;44.0;12.0;42.0;32.6;25.4
20:45;Boulogne vs Dunkerque;France 2;2.62 (1);42.6;24.9;32.5;1;✅ OBA ZGODNE (1);40.0;40.0;20.0;44.3;27.6;28.1
22:00;Asociacion Deportiva Tarma vs Santa Rosa de Andahuaylas;Peru 1;2.87 (2);34.9;41.1;24.1;2;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;20.0;48.0;36.8;26.8;36.5
18:00;HNK Gorica vs NK Istra 1961;Croatia 1;1.85 (1);41.0;30.6;28.4;1;✅ OBA ZGODNE (1);36.0;28.0;36.0;44.3;28.7;27.0
20:45;Lazio Rzym vs Udinese;European Championship U-21 1;2.0 (1);40.0;28.0;32.0;1;⚠️ RÓŻNICA (KNN:X XGB:1);32.0;40.0;28.0;45.4;26.6;28.0
19:00;Piast Gliwice vs Arka Gdynia;Poland 1;4.1 (2);39.9;36.9;23.2;1;⚠️ RÓŻNICA (KNN:2 XGB:1);36.0;24.0;40.0;42.5;22.6;34.9
17:30;Hebar vs Chernomorets 1919 Burgas;Bulgaria 2;3.3 (2);39.5;33.0;27.5;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;36.5;27.2;36.3
16:00;Alanyaspor vs Samsunspor;Turkey 1;2.37 (1);39.0;34.6;26.4;1;✅ OBA ZGODNE (1);40.0;24.0;36.0;38.4;27.9;33.7
20:30;Central Ballester vs El Porvenir;Argentina 4;3.0 (2);29.7;32.9;37.4;X;⚠️ RÓŻNICA (KNN:X XGB:2);20.0;56.0;24.0;36.1;25.0;38.9
16:00;Bochum II vs Borussia Moenchengladbach II;Germany 4;2.55 (2);36.5;33.9;29.6;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;32.0;36.0;39.5;28.0;32.5
23:45;Velez Sarsfield vs Union;Argentina 1;2.2 (1);36.4;30.8;32.9;1;⚠️ RÓŻNICA (KNN:X XGB:1);28.0;40.0;32.0;42.0;28.1;29.9
