Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
02:00;Wotton vs Weymouth Wales;Barbados 1;1.03 (2);4.4;93.2;2.5;2;✅ OBA ZGODNE (2);10.0;0.0;90.0;0.6;4.2;95.3
16:00;York City vs Altrincham;England 5;1.16 (1);82.3;4.9;12.8;1;✅ OBA ZGODNE (1);90.0;5.0;5.0;77.1;18.0;4.8
16:00;AFC Fylde vs Radcliffe Borough;England 6;1.3 (1);82.3;6.9;10.7;1;✅ OBA ZGODNE (1);80.0;10.0;10.0;83.9;11.2;4.9
15:00;Szirak vs Pjunik;Armenia 1;1.3 (2);5.1;81.4;13.5;2;✅ OBA ZGODNE (2);5.0;15.0;80.0;5.2;12.5;82.3
18:00;Bohemian FC vs Waterford United;Ireland 1;1.33 (1);78.0;7.3;14.6;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;76.7;14.4;8.8
16:00;Harborough Town vs Banbury United;England 7;1.25 (1);76.6;11.0;12.4;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;77.6;14.0;8.4
16:00;Gloucester City vs Taunton Town;England 7;1.4 (1);75.8;7.2;17.0;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;76.3;15.0;8.7
14:30;Catania vs AZ Picerno ASD;Italy 3;1.27 (1);74.4;10.9;14.7;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;80.7;11.2;8.1
jutro 00:00;Argentinos Juniors vs Banfield;Argentina 1;1.5 (1);74.1;12.4;13.5;1;✅ OBA ZGODNE (1);85.0;5.0;10.0;66.8;19.2;14.0
16:00;AFC Sudbury vs Needham Market;England 7;1.3 (2);15.1;74.0;10.9;2;✅ OBA ZGODNE (2);20.0;10.0;70.0;11.9;11.5;76.6
16:00;Walton & Hersham vs Chertsey Town;England 7;1.4 (1);69.6;9.5;21.0;1;✅ OBA ZGODNE (1);70.0;25.0;5.0;69.3;18.3;12.5
16:00;Barwell FC vs Spalding United;England 7;1.4 (2);12.2;68.7;19.1;2;✅ OBA ZGODNE (2);10.0;25.0;65.0;13.7;15.1;71.2
15:30;Llandudno FC vs Guilsfield FC;Wales 2;1.44 (1);67.8;10.4;21.8;1;✅ OBA ZGODNE (1);65.0;25.0;10.0;69.7;19.7;10.6
16:00;Real Bedford vs Bishop's Stortford;England 7;1.38 (1);67.2;16.3;16.4;1;✅ OBA ZGODNE (1);65.0;15.0;20.0;68.7;17.4;13.9
16:00;Sheffield Wednesday vs Leicester City;England 2;1.53 (2);11.9;65.7;22.4;2;✅ OBA ZGODNE (2);10.0;25.0;65.0;13.2;20.6;66.2
17:00;Avan Academy vs Alashkert FC;Armenia 1;1.61 (1);63.9;19.0;17.1;1;✅ OBA ZGODNE (1);75.0;5.0;20.0;56.5;25.2;18.3
16:00;Ipswich Town vs Birmingham City;England 2;1.61 (1);63.5;15.7;20.8;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;65.8;21.4;12.8
16:00;Poole Town FC vs Wimborne Town;England 7;1.57 (1);63.2;15.1;21.7;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;62.0;22.9;15.1
16:30;St. Gallen vs FC Zuerich;Switzerland 1;1.5 (1);61.8;12.0;26.2;1;✅ OBA ZGODNE (1);60.0;30.0;10.0;63.0;23.6;13.4
16:00;Berkhamsted vs Hungerford Town;England 7;1.57 (1);60.7;15.4;23.9;1;✅ OBA ZGODNE (1);60.0;25.0;15.0;61.2;23.2;15.6
16:00;Torquay United vs Bath City;England 6;1.45 (1);59.6;12.2;28.2;1;✅ OBA ZGODNE (1);50.0;40.0;10.0;66.0;20.3;13.7
16:00;South Shields vs Darlington 1883;England 6;1.4 (1);59.1;9.1;31.8;1;⚠️ RÓŻNICA (KNN:X XGB:1);45.0;50.0;5.0;68.5;19.6;11.9
12:30;Udinese vs Como;European Championship U-21 1;1.65 (2);19.5;58.8;21.7;2;✅ OBA ZGODNE (2);20.0;20.0;60.0;19.1;22.8;58.0
13:30;Portsmouth vs Oxford United;England 2;4.1 (2);58.3;16.0;25.7;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;57.2;29.5;13.4
jutro 01:00;Sportivo Trinidense vs Rubio Nu;Paraguay 1;2.1 (1);57.7;17.9;24.4;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;46.2;30.6;23.2
