Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
02:00;Wotton vs Weymouth Wales;Barbados 1;1.03 (2);0.6;95.3;4.2;2;;;
16:00;AFC Fylde vs Radcliffe Borough;England 6;1.3 (1);83.9;4.9;11.2;1;1.25;0.07;Stabilnie
15:00;Szirak vs Pjunik;Armenia 1;1.3 (2);5.2;82.3;12.5;2;;;
14:30;Catania vs AZ Picerno ASD;Italy 3;1.27 (1);80.7;8.1;11.2;1;;;
16:00;Harborough Town vs Banbury United;England 7;1.25 (1);77.6;8.4;14.0;1;;;
16:00;York City vs Altrincham;England 5;1.16 (1);77.1;4.8;18.0;1;1.17;-0.02;Stabilnie
18:00;Bohemian FC vs Waterford United;Ireland 1;1.33 (1);76.7;8.8;14.4;1;;;
16:00;AFC Sudbury vs Needham Market;England 7;1.3 (2);11.9;76.6;11.5;2;1.28;0.02;Stabilnie
16:00;Gloucester City vs Taunton Town;England 7;1.4 (1);76.3;8.7;15.0;1;1.43;0.01;Stabilnie
16:00;Barwell FC vs Spalding United;England 7;1.4 (2);13.7;71.2;15.1;2;1.44;-0.14;GRUBA GRA (Spadek)
15:30;Llandudno FC vs Guilsfield FC;Wales 2;1.44 (1);69.7;10.6;19.7;1;1.38;0.02;Stabilnie
16:00;Walton & Hersham vs Chertsey Town;England 7;1.4 (1);69.3;12.5;18.3;1;1.43;-0.03;Stabilnie
16:00;Real Bedford vs Bishop's Stortford;England 7;1.38 (1);68.7;13.9;17.4;1;1.72;-0.2;GRUBA GRA (Spadek)
16:00;South Shields vs Darlington 1883;England 6;1.4 (1);68.5;11.9;19.6;1;;;
jutro 00:00;Argentinos Juniors vs Banfield;Argentina 1;1.5 (1);66.8;14.0;19.2;1;1.53;-0.05;Stabilnie
16:00;Sheffield Wednesday vs Leicester City;England 2;1.53 (2);13.2;66.2;20.6;2;;;
16:00;Torquay United vs Bath City;England 6;1.45 (1);66.0;13.7;20.3;1;1.53;-0.15;GRUBA GRA (Spadek)
16:00;Ipswich Town vs Birmingham City;England 2;1.61 (1);65.8;12.8;21.4;1;1.8;-0.18;GRUBA GRA (Spadek)
16:30;St. Gallen vs FC Zuerich;Switzerland 1;1.5 (1);63.0;13.4;23.6;1;;;
16:00;Poole Town FC vs Wimborne Town;England 7;1.57 (1);62.0;15.1;22.9;1;;;
16:00;Berkhamsted vs Hungerford Town;England 7;1.57 (1);61.2;15.6;23.2;1;;;
16:00;Stratford Town vs Kettering Town FC;England 7;1.72 (2);16.9;59.5;23.6;2;;;
12:30;Udinese vs Como;European Championship U-21 1;1.65 (2);19.1;58.0;22.8;2;;;
13:30;Portsmouth vs Oxford United;England 2;4.1 (2);57.2;13.4;29.5;1;;;
17:00;Avan Academy vs Alashkert FC;Armenia 1;1.61 (1);56.5;18.3;25.2;1;;;
15:00;Lecce vs Atalanta;European Championship U-21 1;1.75 (2);20.5;56.4;23.1;2;;;
16:45;Vitesse vs Jong Ajax;Netherlands 2;1.6 (1);54.7;25.8;19.5;1;;;
14:30;Audace Cerignola vs Latina;Italy 3;1.9 (1);54.0;22.3;23.7;1;;;
16:45;Cambuur vs FC Dordrecht;Netherlands 2;1.72 (1);53.6;18.1;28.3;1;;;
16:00;Atherstone Town vs Plymouth Parkway;England 7;1.7 (2);18.1;53.2;28.7;2;;;
04:00;Club Xelaju vs Deportivo Malacateco;Guatemala 1;1.53 (1);52.7;26.5;20.8;1;;;
19:30;Pogon Grodzisk Mazowiecki vs Stal Mielec;Poland 2;2.15 (1);52.5;22.2;25.3;1;;;
16:00;Derby County vs Stoke City;England 2;1.9 (1);52.2;21.5;26.3;1;;;
19:00;FC Porto B vs Chaves;Portugal 2;2.6 (1);51.8;24.7;23.6;1;;;
14:30;Casarano vs Potenza;Italy 3;1.8 (1);49.8;16.6;33.6;1;;;
21:00;Hull City vs Coventry City;England 2;1.9 (2);26.4;48.6;25.0;2;;;
15:30;Caersws vs Penrhyncoch FC;Wales 2;1.8 (1);48.1;26.0;25.9;1;;;
20:45;Le Mans vs Pau;France 2;1.9 (1);48.1;24.9;27.0;1;;;
16:00;Uxbridge vs Hanwell Town;England 7;1.95 (1);47.8;24.8;27.4;1;;;
jutro 01:00;Sportivo Trinidense vs Rubio Nu;Paraguay 1;2.1 (1);46.2;23.2;30.6;1;;;
16:00;Curzon vs Southport;England 6;2.15 (2);24.0;43.8;32.2;2;;;
12:15;Helmond Sport vs RKC Waalwijk;Netherlands 2;2.0 (2);26.9;43.5;29.6;2;;;
16:00;Solihull Moors vs Boreham Wood;England 5;1.9 (2);23.8;43.0;33.2;2;;;
16:00;Bolton Wanderers vs Stockport;England 3;2.05 (1);42.5;24.4;33.0;1;;;
16:00;Reading vs Lincoln;England 3;1.9 (2);29.2;42.5;28.3;2;;;
17:30;Virtus Verona vs Ospitaletto;Italy 3;2.05 (2);29.6;42.4;28.0;2;;;
16:00;Leyton Orient vs Huddersfield Town;England 3;2.9 (1);24.8;41.9;33.3;2;;;
16:00;Bristol City vs Sheffield United;England 2;2.4 (2);26.2;33.3;40.5;X;;;
16:00;Chippenham Town vs AFC Totton;England 6;2.25 (1);39.2;29.6;31.2;1;;;
17:15;Sampdoria vs Empoli;Italy 2;2.3 (1);38.8;35.2;26.0;1;;;
16:45;Roda JC Kerkrade vs Willem II;Netherlands 2;2.75 (2);38.8;29.7;31.5;1;;;
19:30;Hapoel Tel Awiw vs Maccabi Hajfa;Israel 1;2.5 (1);35.1;38.2;26.7;2;;;
16:00;Exeter City vs Doncaster Rovers;England 3;2.4 (2);35.3;31.7;33.0;1;;;
19:00;Kocaelispor vs Istanbul Basaksehir;Turkey 1;2.5 (2);34.3;34.2;31.4;1;;;
