Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:00;HSC Hannover vs Meppen;Germany 4;1.08 (2);0.0;85.0;15.0;2;2;0:5;WYGRANA;8.0
20:00;Al Akhdoud vs Al Nassr FC;Saudi Arabia 1;1.12 (2);10.0;85.0;5.0;2;2;0:2;WYGRANA;12.000000000000014
13:30;Coventry City vs Sheffield Wednesday;England 2;1.12 (1);80.0;10.0;10.0;1;X;0:0;PRZEGRANA;-100.0
10:30;Pusamania Borneo vs PSBS Biak Numfor;Indonesia 1;1.14 (1);80.0;0.0;20.0;1;1;5:1;WYGRANA;13.999999999999986
16:00;Needham Market vs Barwell FC;England 7;1.25 (1);80.0;5.0;15.0;1;1;2:1;WYGRANA;25.0
16:00;Southport vs Leamington;England 6;1.44 (1);80.0;5.0;15.0;1;2;1:2;PRZEGRANA;-100.0
21:05;Rennes vs Angers;France 1;1.36 (1);80.0;5.0;15.0;1;1;2:1;WYGRANA;36.0
16:00;St.Johnstone vs Airdrieonians;Scotland 2;1.25 (1);75.0;5.0;20.0;1;1;4:0;WYGRANA;25.0
18:30;Rochdale vs Wealdstone;England 5;1.3 (1);75.0;15.0;10.0;1;1;2:1;WYGRANA;30.0
16:00;Chesterfield vs Tranmere Rovers;England 4;1.5 (1);70.0;20.0;10.0;1;X;1:1;PRZEGRANA;-100.0
18:30;FC Barcelona vs Espanyol;Spain 1;1.28 (1);65.0;15.0;20.0;1;1;4:1;WYGRANA;28.0
19:00;SV St. Anna vs Oedt;Austria 3;1.22 (2);10.0;65.0;25.0;2;X;1:1;PRZEGRANA;-100.0
18:00;Al Najma vs Al Suqoor;Saudi Arabia 1;1.55 (2);15.0;65.0;20.0;2;1;2:1;PRZEGRANA;-100.0
14:00;RW Essen vs Ingolstadt;Germany 3;1.61 (1);65.0;25.0;10.0;1;1;4:1;WYGRANA;61.0
16:00;Burton Albion vs AFC Wimbledon;England 3;1.8 (1);65.0;20.0;15.0;1;1;1:0;WYGRANA;80.0
19:00;Kayserispor vs Fenerbahce;Turkey 1;1.44 (2);10.0;65.0;25.0;2;2;0:4;WYGRANA;44.0
16:00;Scunthorpe United vs Brackley Town;England 5;1.45 (1);60.0;15.0;25.0;1;1;1:0;WYGRANA;45.0
13:00;Ararat vs Alashkert FC;Armenia 1;1.5 (2);25.0;60.0;15.0;2;Brak/Odwolany;-;Odwolany;0.0
17:45;MTK Budapeszt vs Zalaegerszeg;Hungary 1;2.45 (2);15.0;60.0;25.0;2;1;3:0;PRZEGRANA;-100.0
16:00;Southampton vs Derby County;England 2;1.75 (1);60.0;5.0;35.0;1;1;2:1;WYGRANA;75.0
16:00;Worthing vs Dagenham & Redbridge;England 6;1.33 (1);60.0;10.0;30.0;1;1;7:2;WYGRANA;33.0
16:00;Canvey vs Dartford;England 7;1.5 (2);25.0;60.0;15.0;2;2;0:4;WYGRANA;50.0
16:00;Bury Town vs Stamford AFC;England 7;1.8 (1);55.0;10.0;35.0;1;X;0:0;PRZEGRANA;-100.0
16:00;Chorley vs Curzon;England 6;1.7 (1);55.0;25.0;20.0;1;2;0:1;PRZEGRANA;-100.0
16:00;Aberdeen vs Hibernian;Scotland 1;2.1 (2);30.0;50.0;20.0;2;1;2:0;PRZEGRANA;-100.0
16:00;Salford City vs Gillingham;England 4;1.61 (1);50.0;30.0;20.0;1;X;0:0;PRZEGRANA;-100.0
14:00;1. FC Phoenix Luebeck vs Hannover 96 II;Germany 4;2.62 (2);45.0;20.0;35.0;1;2;0:2;PRZEGRANA;-100.0
14:00;Alemannia Aachen vs VfB Stuttgart II;Germany 3;1.85 (1);45.0;15.0;40.0;1;1;3:1;WYGRANA;85.0
16:00;Aldershot Town vs Gateshead FC;England 5;3.4 (2);45.0;40.0;15.0;1;2;0:1;PRZEGRANA;-100.0
16:00;Dumbarton vs Stirling Albion;Scotland 4;1.7 (1);45.0;30.0;25.0;1;1;2:1;WYGRANA;70.0
20:00;Saint-Etienne vs Dunkerque;France 2;1.61 (1);40.0;25.0;35.0;1;1;2:1;WYGRANA;61.0
18:30;Cartagena vs Antequera;Spain 3;1.85 (1);40.0;35.0;25.0;1;1;1:0;WYGRANA;85.0
16:15;Burgos CF vs Sporting Gijon;Spain 2;2.15 (1);40.0;30.0;30.0;1;1;1:0;WYGRANA;115.0
15:00;Jablonec vs Banik Ostrawa;Czech Republic 1;2.0 (1);25.0;35.0;40.0;X;1;4:1;PRZEGRANA;-100.0
16:00;Alanyaspor vs Trabzonspor;Turkey 1;2.3 (2);35.0;30.0;35.0;1;X;1:1;PRZEGRANA;-100.0
16:15;SD Tarazona vs Alcorcon;Spain 3;2.45 (2);35.0;35.0;30.0;1;1;2:0;WYGRANA;0.0
jutro 01:00;Tapatio vs Irapuato;Mexico 2;2.3 (1);35.0;15.0;50.0;X;Brak/Odwolany;-;Odwolany;0.0
