Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
02:00;Wotton vs Weymouth Wales;Barbados 1;1.03 (2);0.6;95.3;4.2;2;;;;Brak/Odwolany;-;Odwolany;0.0
16:00;AFC Fylde vs Radcliffe Borough;England 6;1.3 (1);83.9;4.9;11.2;1;1.25;0.07;Stabilnie;1;4:3;WYGRANA;30.0
15:00;Szirak vs Pjunik;Armenia 1;1.3 (2);5.2;82.3;12.5;2;;;;2;0:1;WYGRANA;30.0
14:30;Catania vs AZ Picerno ASD;Italy 3;1.27 (1);80.7;8.1;11.2;1;;;;2;1:2;PRZEGRANA;-100.0
16:00;Harborough Town vs Banbury United;England 7;1.25 (1);77.6;8.4;14.0;1;;;;1;5:1;WYGRANA;25.0
16:00;York City vs Altrincham;England 5;1.16 (1);77.1;4.8;18.0;1;1.17;-0.02;Stabilnie;1;2:1;WYGRANA;15.999999999999986
18:00;Bohemian FC vs Waterford United;Ireland 1;1.33 (1);76.7;8.8;14.4;1;;;;X;1:1;PRZEGRANA;-100.0
16:00;AFC Sudbury vs Needham Market;England 7;1.3 (2);11.9;76.6;11.5;2;1.28;0.02;Stabilnie;2;1:3;WYGRANA;30.0
16:00;Gloucester City vs Taunton Town;England 7;1.4 (1);76.3;8.7;15.0;1;1.43;0.01;Stabilnie;2;0:2;PRZEGRANA;-100.0
16:00;Barwell FC vs Spalding United;England 7;1.4 (2);13.7;71.2;15.1;2;1.44;-0.14;GRUBA GRA (Spadek);2;0:2;WYGRANA;40.0
15:30;Llandudno FC vs Guilsfield FC;Wales 2;1.44 (1);69.7;10.6;19.7;1;1.38;0.02;Stabilnie;1;4:1;WYGRANA;44.0
16:00;Walton & Hersham vs Chertsey Town;England 7;1.4 (1);69.3;12.5;18.3;1;1.43;-0.03;Stabilnie;2;1:2;PRZEGRANA;-100.0
16:00;Real Bedford vs Bishop's Stortford;England 7;1.38 (1);68.7;13.9;17.4;1;1.72;-0.2;GRUBA GRA (Spadek);1;4:0;WYGRANA;38.0
16:00;South Shields vs Darlington 1883;England 6;1.4 (1);68.5;11.9;19.6;1;;;;2;0:1;PRZEGRANA;-100.0
jutro 00:00;Argentinos Juniors vs Banfield;Argentina 1;1.5 (1);66.8;14.0;19.2;1;1.53;-0.05;Stabilnie;Brak/Odwolany;-;Odwolany;0.0
16:00;Sheffield Wednesday vs Leicester City;England 2;1.53 (2);13.2;66.2;20.6;2;;;;X;1:1;PRZEGRANA;-100.0
16:00;Torquay United vs Bath City;England 6;1.45 (1);66.0;13.7;20.3;1;1.53;-0.15;GRUBA GRA (Spadek);1;4:1;WYGRANA;45.0
16:00;Ipswich Town vs Birmingham City;England 2;1.61 (1);65.8;12.8;21.4;1;1.8;-0.18;GRUBA GRA (Spadek);1;2:1;WYGRANA;61.0
16:30;St. Gallen vs FC Zuerich;Switzerland 1;1.5 (1);63.0;13.4;23.6;1;;;;1;2:1;WYGRANA;50.0
16:00;Poole Town FC vs Wimborne Town;England 7;1.57 (1);62.0;15.1;22.9;1;;;;2;1:2;PRZEGRANA;-100.0
16:00;Berkhamsted vs Hungerford Town;England 7;1.57 (1);61.2;15.6;23.2;1;;;;1;4:1;WYGRANA;57.0
16:00;Stratford Town vs Kettering Town FC;England 7;1.72 (2);16.9;59.5;23.6;2;;;;1;2:0;PRZEGRANA;-100.0
12:30;Udinese vs Como;European Championship U-21 1;1.65 (2);19.1;58.0;22.8;2;;;;X;0:0;PRZEGRANA;-100.0
13:30;Portsmouth vs Oxford United;England 2;4.1 (2);57.2;13.4;29.5;1;;;;X;2:2;PRZEGRANA;-100.0
17:00;Avan Academy vs Alashkert FC;Armenia 1;1.61 (1);56.5;18.3;25.2;1;;;;X;1:1;PRZEGRANA;-100.0
