Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:00;Al Hilal vs Al Kholood;Saudi Arabia 1;1.16 (1);93.7;1.7;4.5;1;✅ OBA ZGODNE (1);95.0;5.0;0.0;92.9;4.2;2.9;1;6:0;WYGRANA;15.999999999999986
17:00;Montana vs Liteks Łowecz;Bulgaria 1;1.3 (2);18.0;71.7;10.3;2;✅ OBA ZGODNE (2);20.0;5.0;75.0;16.6;13.9;69.5;2;0:1;WYGRANA;30.0
19:00;Goztepe vs Galatasaray Stambuł;Turkey 1;1.61 (2);12.1;70.4;17.5;2;✅ OBA ZGODNE (2);15.0;10.0;75.0;10.1;22.5;67.4;2;1:3;WYGRANA;61.0
20:45;Marine vs Hereford;England 6;1.7 (1);65.9;15.9;18.2;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;59.9;23.6;16.5;2;0:1;PRZEGRANA;-100.0
20:45;Holywell Town vs Newtown;Wales 2;1.48 (1);64.6;10.5;25.0;1;✅ OBA ZGODNE (1);60.0;30.0;10.0;67.6;21.6;10.8;1;6:0;WYGRANA;48.0
13:00;FK Slavija Sarajewo vs Sutjeska;Bosnia-Herzegovina 2;1.33 (1);64.3;5.5;30.2;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;57.1;40.4;2.5;1;3:0;WYGRANA;33.0
16:00;Termoli Calcio vs Sammaurese;Italy 4;1.6 (1);64.2;9.6;26.2;1;✅ OBA ZGODNE (1);70.0;25.0;5.0;60.4;27.0;12.6;Brak/Odwolany;-;Odwolany;0.0
19:00;Wehen vs TSV Havelse;Germany 3;1.53 (1);64.1;15.0;20.9;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;63.5;21.5;15.0;2;1:4;PRZEGRANA;-100.0
19:00;Carl Zeiss Jena vs FSV Zwickau;Germany 4;1.83 (1);60.8;22.6;16.6;1;✅ OBA ZGODNE (1);70.0;10.0;20.0;54.6;21.0;24.4;1;5:1;WYGRANA;83.0
16:00;Radnik Hadzici vs Buducnost;Bosnia-Herzegovina 2;3.7 (2);58.5;12.4;29.2;1;✅ OBA ZGODNE (1);65.0;30.0;5.0;54.1;28.6;17.3;Brak/Odwolany;-;Odwolany;0.0
02:30;Barranquilla FC vs Real Santander;Colombia 2;1.9 (1);55.2;18.0;26.9;1;✅ OBA ZGODNE (1);65.0;25.0;10.0;48.6;28.1;23.4;1;2:0;WYGRANA;90.0
