Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
12:00;SC Poltava vs Polissya Zhytomyr;Ukraine 1;1.09 (2);2.8;88.4;8.8;2;✅ OBA ZGODNE (2);5.0;15.0;80.0;1.4;4.6;94.0
19:00;Nk Brinje Grosuplje vs Gorica;Slovenia 2;1.3 (1);83.3;3.5;13.2;1;✅ OBA ZGODNE (1);90.0;10.0;0.0;78.8;15.3;5.9
16:00;JS Jijel vs JS Bordj Ménaïel;Algeria 2;1.28 (1);81.4;6.7;11.9;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;82.3;9.9;7.8
19:00;Sonnenhof Großaspach vs TSV Schott Mainz;Germany 4;1.22 (1);80.1;4.3;15.6;1;✅ OBA ZGODNE (1);70.0;25.0;5.0;86.9;9.3;3.8
17:00;ND Beltinci vs Krsko Posavje;Slovenia 2;1.2 (1);79.3;4.0;16.6;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;78.9;17.7;3.4
20:00;FC Twente vs FC Volendam;Eredivisie;1.2 (1);77.6;5.2;17.2;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;79.4;15.3;5.3
16:00;MO Constantine vs Nrb Beni Oulbene;Algeria 2;1.33 (1);76.3;8.9;14.9;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;77.1;14.8;8.1
20:45;Bohemian FC vs Sligo Rovers;Ireland 1;1.33 (1);75.5;6.0;18.5;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;75.8;17.5;6.7
19:00;Besiktas Stambuł vs Antalyaspor;Turkey 1;1.33 (1);75.5;7.7;16.8;1;✅ OBA ZGODNE (1);85.0;15.0;0.0;69.1;18.0;12.9
20:30;Rudar Prijedor vs Borac Banja Luka;Bosnia-Herzegovina 1;1.3 (2);11.4;75.2;13.4;2;✅ OBA ZGODNE (2);15.0;10.0;75.0;9.0;15.7;75.3
19:30;SV Horn vs Favoritner AC;Austria 3;1.55 (1);74.8;9.3;15.9;1;✅ OBA ZGODNE (1);90.0;10.0;0.0;64.7;19.9;15.5
16:00;MO BÃ©jaÃ¯a vs US Chaouia;Algeria 2;1.44 (1);74.0;7.8;18.1;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;70.0;20.2;9.7
19:30;Le Puy vs Aubagne;France 3;1.65 (1);69.7;13.1;17.3;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;66.1;18.8;15.1
21:05;Olympique Marsylia vs Metz;France 1;1.22 (1);69.1;10.7;20.1;1;✅ OBA ZGODNE (1);50.0;35.0;15.0;81.9;10.2;7.9
20:00;RKC Waalwijk vs FC Emmen;Netherlands 2;1.66 (1);68.9;15.1;16.0;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;71.5;13.4;15.1
20:45;Treaty United vs Cork City;Ireland 2;1.38 (2);20.5;68.7;10.8;2;✅ OBA ZGODNE (2);20.0;10.0;70.0;20.9;11.3;67.8
18:20;Saham vs Al-Seeb;Oman 1;1.27 (2);17.9;67.0;15.1;2;✅ OBA ZGODNE (2);25.0;15.0;60.0;13.1;15.2;71.7
14:15;Viettel vs FLC Thanh Hoa;Vietnam 1;1.42 (1);66.9;17.2;16.0;1;✅ OBA ZGODNE (1);65.0;10.0;25.0;68.1;20.0;12.0
19:30;Dijon vs Bourg en Bresse Peronnas;France 3;1.42 (1);66.7;15.3;18.0;1;✅ OBA ZGODNE (1);60.0;15.0;25.0;71.2;20.0;8.8
21:45;Famalicao vs Moreirense;Portugal 1;1.48 (1);66.4;11.3;22.3;1;✅ OBA ZGODNE (1);70.0;20.0;10.0;64.0;23.8;12.2
20:00;Birmingham City U21 vs Ipswich Town U21;England Reserve 1;1.72 (2);12.6;65.5;21.8;2;✅ OBA ZGODNE (2);10.0;25.0;65.0;14.4;19.7;65.8
19:00;TSV Lehnerz vs Bayern Alzenau;Germany 4;1.65 (1);64.6;12.6;22.8;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;57.7;24.7;17.6
13:30;Van vs FC Banants;Armenia 1;1.53 (2);16.0;64.5;19.5;2;✅ OBA ZGODNE (2);15.0;15.0;70.0;16.7;22.5;60.8
14:30;CSKA 1948 vs Botev Vratsa;Bulgaria 1;1.65 (1);63.4;18.2;18.4;1;✅ OBA ZGODNE (1);65.0;15.0;20.0;62.3;20.7;17.0
20:45;AS Roma vs Pisa;European Championship U-21 1;1.33 (1);62.8;14.1;23.2;1;✅ OBA ZGODNE (1);65.0;15.0;20.0;61.3;28.6;10.1
20:00;Fulham Academy vs Chelsea Academy;England Reserve 1;1.8 (2);17.2;60.4;22.5;2;✅ OBA ZGODNE (2);15.0;20.0;65.0;18.6;24.1;57.3
17:00;Rukh Vynnyky vs FC Kolos Kovalivka;Ukraine 1;1.9 (2);17.3;60.2;22.5;2;✅ OBA ZGODNE (2);20.0;30.0;50.0;15.5;17.5;67.0
