Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
jutro 01:00;Cruzeiro vs Vitoria;Brazil 1;1.55 (1);85.0;10.0;5.0;1;Brak/Odwolany;-;Odwolany;0.0
16:00;KolÃ©a vs BÃ©char Djedid;Algeria 2;1.3 (1);75.0;5.0;20.0;1;2;1:3;PRZEGRANA;-100.0
21:30;Racing Santander vs Sporting Gijon;Spain 2;1.95 (1);75.0;20.0;5.0;1;1;3:1;WYGRANA;95.0
17:00;JS Kabylie vs Ben Aknoun;Algeria 1;6.5 (2);70.0;15.0;15.0;1;1;3:1;WYGRANA;0.0
20:00;Burgos CF vs CA Ceuta;Spain 2;1.8 (1);65.0;15.0;20.0;1;X;1:1;PRZEGRANA;-100.0
03:00;Tolima vs Rionegro Aguilas;Colombia 1;1.7 (1);65.0;25.0;10.0;1;1;4:1;WYGRANA;70.0
19:30;Avranches vs Angouleme;France 4;1.9 (1);60.0;25.0;15.0;1;1;1:0;WYGRANA;90.0
18:00;Colombe vs PWD Bamenda;Cameroon 1;1.66 (1);60.0;15.0;25.0;1;1;3:1;WYGRANA;66.0
jutro 01:30;Santa Fe vs Llaneros FC;Colombia 1;1.57 (1);60.0;20.0;20.0;1;Brak/Odwolany;-;Odwolany;0.0
02:00;Real Cartagena vs Deportes Quindio;Colombia 2;1.57 (1);60.0;15.0;25.0;1;1;2:1;WYGRANA;57.0
19:00;Hertha Zehlendorf vs Carl Zeiss Jena;Germany 4;1.36 (2);30.0;55.0;15.0;2;2;0:3;WYGRANA;36.0
19:00;Kalsdorf vs SC Gleisdorf;Austria 3;1.42 (1);55.0;20.0;25.0;1;2;0:2;PRZEGRANA;-100.0
19:00;ZFC Meuselwitz vs BFC Preussen;Germany 4;2.2 (2);10.0;55.0;35.0;2;2;2:3;WYGRANA;120.00000000000003
16:00;Paradou AC vs CR Belouizdad;Algeria 1;1.72 (2);30.0;55.0;15.0;2;2;0:3;WYGRANA;72.0
16:00;Kozara vs FK Romanija Pale;Bosnia-Herzegovina 2;4.33 (2);55.0;15.0;30.0;1;1;2:1;WYGRANA;0.0
20:45;Linlithgow Rose vs Civil Service Strollers;Scotland 5;1.36 (1);55.0;10.0;35.0;1;X;3:3;PRZEGRANA;-100.0
18:00;Sutjeska vs Velež Nevesinje;Bosnia-Herzegovina 2;1.61 (1);50.0;10.0;40.0;1;1;4:1;WYGRANA;61.0
17:00;MC Alger vs USM Alger;Algeria 1;1.7 (1);50.0;20.0;30.0;1;1;1:0;WYGRANA;70.0
jutro 00:30;Internacional vs Sao Paulo;Brazil 1;3.6 (2);45.0;25.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
23:30;Rubio Nu vs Guarani;Paraguay 1;2.05 (2);15.0;45.0;40.0;2;Brak/Odwolany;-;Odwolany;0.0
23:10;Alianza Petrolera vs Deportivo Pasto;Colombia 1;2.8 (1);45.0;40.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
19:00;Eintracht Norderstedt vs 1. FC Phoenix Luebeck;Germany 4;1.83 (2);25.0;45.0;30.0;2;X;1:1;PRZEGRANA;-100.0
14:00;Nairobi United vs Mara Sugar;Kenya 1;1.9 (1);45.0;30.0;25.0;1;X;1:1;PRZEGRANA;-100.0
jutro 01:00;Lanus vs Club Atletico Platense;Argentina 1;1.95 (1);40.0;30.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
jutro 01:30;Sportivo Trinidense vs Olimpia;Paraguay 1;1.95 (2);10.0;40.0;50.0;X;Brak/Odwolany;-;Odwolany;0.0
19:00;Babelsberg vs BFC Dynamo;Germany 4;2.87 (2);40.0;30.0;30.0;1;X;2:2;PRZEGRANA;-100.0
19:00;FC Andorra vs Malaga CF;Spain 2;3.0 (2);35.0;40.0;25.0;2;X;3:3;PRZEGRANA;-100.0
20:00;Huesca vs Leonesa;Spain 2;2.0 (1);35.0;10.0;55.0;X;X;1:1;WYGRANA;0.0
16:30;Panthere FC vs Dynamo de Douala;Cameroon 1;2.2 (1);15.0;35.0;50.0;X;1;3:0;PRZEGRANA;-100.0
15:00;Singida Black Stars vs Azam FC;Tanzania 1;2.2 (2);25.0;30.0;45.0;X;2;1:2;PRZEGRANA;-100.0
