Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
13:30;Geylang International FC vs Home United FC;Singapore 1;1.2 (2);3.3;81.9;14.8;2;;;;2;0:3;WYGRANA;20.0
16:00;Levadia Maardu vs Trans Narva;Estonia 1;1.2 (1);77.1;7.4;15.4;1;1.32;-0.12;GRUBA GRA (Spadek);1;7:0;WYGRANA;20.0
17:30;NK Celje vs Aluminij;Slovenia 1;1.25 (1);76.4;8.7;14.9;1;1.26;-0.03;Stabilnie;1;5:0;WYGRANA;25.0
17:00;Kudrivka vs Szachtar Donieck;Ukraine 1;1.14 (2);2.6;76.0;21.4;2;1.11;0.04;Stabilnie;2;1:3;WYGRANA;13.999999999999986
16:30;Club Africain vs Kairouan;Tunisia 1;1.18 (1);74.8;8.4;16.9;1;1.22;-0.09;Stabilnie;1;2:0;WYGRANA;18.0
jutro 01:30;Fluminense vs Chapecoense AF;Brazil 1;1.3 (1);73.9;8.7;17.5;1;1.37;-0.09;Stabilnie;Brak/Odwolany;-;Odwolany;0.0
15:00;SV Drochtersen/Assel vs Altonaer FC 93;Germany 4;1.2 (1);73.7;9.0;17.3;1;;;;1;3:1;WYGRANA;20.0
15:00;Juvenes/Dogana vs S.S. Murata;San Marino 1;1.2 (1);73.4;8.2;18.4;1;1.11;0.05;Stabilnie;1;5:2;WYGRANA;20.0
21:00;RSB Berkane vs Olympique Dcheira;Morocco 1;1.25 (1);73.4;10.3;16.3;1;1.3;-0.07;Stabilnie;1;2:1;WYGRANA;25.0
17:30;Borac Banja Luka vs Sloga Doboj;Bosnia-Herzegovina 1;1.18 (1);73.3;8.3;18.4;1;1.19;-0.02;Stabilnie;1;3:1;WYGRANA;18.0
18:00;Nk Brinje Grosuplje vs Jesenice;Slovenia 2;1.18 (1);71.6;6.5;22.0;1;;;;1;8:1;WYGRANA;18.0
13:30;Nomme JK Kalju vs Parnu JK Vaprus;Estonia 1;1.25 (1);71.5;10.1;18.4;1;;;;2;1:2;PRZEGRANA;-100.0
16:00;Blau-Weiss Lohne vs Meppen;Germany 4;1.25 (2);11.8;71.2;17.0;2;;;;2;0:4;WYGRANA;25.0
16:00;Una Strassen vs Jeunesse Canach;Luxembourg 1;1.33 (1);69.5;9.5;21.0;1;;;;1;2:0;WYGRANA;33.0
15:30;Grbalj Radanovici vs Igalo;Montenegro 2;1.33 (1);69.0;13.2;17.8;1;1.37;-0.04;Stabilnie;2;0:1;PRZEGRANA;-100.0
18:25;Al Rustaq vs Al-Seeb;Oman 1;1.3 (2);13.0;68.4;18.6;2;1.3;-0.02;Stabilnie;2;2:4;WYGRANA;30.0
14:00;Sutjeska vs Jezero;Montenegro 1;1.4 (1);67.7;12.5;19.7;1;1.44;-0.07;Stabilnie;X;1:1;PRZEGRANA;-100.0
10:30;APIA Leichhardt U20 vs St. George Saints U20;Australia 3;1.28 (1);67.5;13.7;18.8;1;;;;1;3:2;WYGRANA;28.0
jutro 01:00;Universitario de Deportes vs Alianza Atletico;Peru 1;1.4 (1);66.5;11.3;22.2;1;2.3;0.45;OSTRZEZENIE (Rosnie);Brak/Odwolany;-;Odwolany;0.0
17:15;Rennes vs Nantes;France 1;1.48 (1);66.2;13.4;20.4;1;;;;1;2:1;WYGRANA;48.0
19:00;Sintra Football vs FC Porto;Portugal 1;1.33 (2);14.7;63.5;21.9;2;;;;2;1:2;WYGRANA;33.0
23:30;Everton CD vs Cobresal;Chile 1;1.75 (1);63.3;14.3;22.4;1;;;;Brak/Odwolany;-;Odwolany;0.0
15:00;Pendikspor vs Boluspor;Turkey 2;1.5 (1);61.9;15.6;22.6;1;;;;1;2:0;WYGRANA;50.0
17:15;Le Havre vs Metz;France 1;1.53 (1);61.5;15.8;22.6;1;;;;X;4:4;PRZEGRANA;-100.0
13:30;Kanchanaburi vs Buriram United;Thailand 1;1.4 (2);20.4;61.2;18.4;2;;;;2;1:3;WYGRANA;40.0
