Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
18 kwi;PSBS Biak Numfor vs Persija Jakarta;Indonesia 1;1.09 (2);3.1;89.1;7.8;2;1.16;-0.11;GRUBA GRA (Spadek)
18 kwi;York City vs Yeovil Town;England 5;1.11 (1);87.1;3.0;9.9;1;1.13;-0.03;Stabilnie
18 kwi;East Kilbride vs Edinburgh City;Scotland 4;1.14 (1);83.1;5.2;11.7;1;1.02;0.1;Stabilnie
18 kwi;NK Maribor vs Primorje;Slovenia 1;1.33 (1);74.7;8.7;16.6;1;1.34;0.01;Stabilnie
18 kwi;Meppen vs ETSV Weiche Flensburg;Germany 4;1.2 (1);73.9;7.4;18.7;1;;;
18 kwi;Harborough Town vs Bishop's Stortford;England 7;1.33 (1);73.3;9.4;17.3;1;1.28;-0.01;Stabilnie
18 kwi;Dinamo Zagrzeb vs Rijeka;Croatia 1;1.33 (1);69.9;10.6;19.5;1;1.54;-0.19;GRUBA GRA (Spadek)
18 kwi;S.S. Murata vs FC Fiorentino;San Marino 1;1.3 (2);13.8;67.0;19.2;2;1.38;-0.12;GRUBA GRA (Spadek)
18 kwi;Zalaegerszeg vs Kazincbarcikai BSC;Hungary 1;1.42 (1);65.5;14.3;20.1;1;1.46;-0.03;Stabilnie
18 kwi;Borac Banja Luka vs FK Velez Mostar;Bosnia-Herzegovina 1;1.33 (1);65.2;16.1;18.7;1;1.28;0.12;OSTRZEZENIE (Rosnie)
18 kwi;Real Cartagena vs Barranquilla FC;Colombia 2;1.42 (1);65.0;16.4;18.6;1;1.35;0.05;Stabilnie
18 kwi;Ascoli Picchio FC 1898 vs Monterosi;Italy 3;1.28 (1);65.0;13.9;21.1;1;;;
18 kwi;Billericay vs Whitehawk;England 7;1.36 (1);64.8;16.1;19.1;1;;;
18 kwi;Aguilas vs Taguig;Philippines 1;1.44 (2);16.4;64.5;19.1;2;;;
18 kwi;Hoogstraten vs Ninove;Belgium 3;1.48 (1);63.9;16.0;20.2;1;;;
18 kwi;Sitra vs Al Khalidiyah;Bahrain 1;1.4 (2);16.6;61.7;21.7;2;;;
18 kwi;Freiberg vs TSV Steinbach;Germany 4;1.53 (1);61.4;14.9;23.7;1;;;
18 kwi;FC Schweinfurt vs Hansa Rostock;Germany 3;1.36 (2);18.2;59.2;22.6;2;;;
18 kwi;All Boys vs Acassuso;Argentina 2;1.66 (1);58.7;20.2;21.1;1;;;
18 kwi;Chichester City FC vs Dartford;England 7;1.55 (2);17.3;58.6;24.1;2;;;
18 kwi;Braintree Town vs Rochdale;England 5;1.25 (2);20.4;58.4;21.2;2;;;
18 kwi;Leyton Orient vs Rotherham United;England 3;1.6 (1);57.3;19.2;23.6;1;;;
18 kwi;Mendrisio vs Widnau;Switzerland 4;1.72 (1);57.2;20.2;22.6;1;;;
18 kwi;Duisburg vs Hoffenheim II;Germany 3;1.8 (1);56.2;16.0;27.7;1;;;
18 kwi;Sesvete vs NK Croatia Zmijavci;Croatia 2;1.85 (1);56.1;19.8;24.2;1;;;
18 kwi;Liptovsky Mikulas vs Zilina B;Slovakia 2;1.66 (1);56.0;22.0;21.9;1;;;
18 kwi;Lille vs Nice;France 1;1.53 (1);55.4;17.2;27.4;1;;;
18 kwi;Pribram vs Sparta Prague B;Czech Republic 2;1.7 (1);53.7;22.3;24.0;1;;;
18 kwi;Pelister vs Makedonija GjP;F.Y.R.O.M. 1;1.66 (1);53.5;24.1;22.4;1;;;
18 kwi;Mornar vs Decic Tuzi;Montenegro 1;1.7 (1);53.5;21.0;25.5;1;;;
18 kwi;Plymouth Parkway vs Hanwell Town;England 7;2.05 (1);52.1;20.1;27.8;1;;;
18 kwi;Barwell FC vs Bury Town;England 7;1.8 (2);23.9;51.4;24.7;2;;;
18 kwi;Newcastle United vs AFC Bournemouth;England 1;3.25 (2);51.1;25.5;23.4;1;;;
18 kwi;TSG Balingen vs Mainz 05 II;Germany 4;1.61 (2);22.6;48.8;28.6;2;;;
18 kwi;Al Gharraf vs Al Talaba;Iraq 1;1.9 (2);22.9;48.6;28.5;2;;;
18 kwi;Bamber Bridge vs Hebburn Town;England 7;1.8 (2);22.7;48.3;28.9;2;;;
18 kwi;Ingolstadt vs Osnabrueck;Germany 3;1.95 (2);26.4;47.8;25.8;2;;;
18 kwi;Lausanne II vs Basel II;Switzerland 3;1.9 (2);23.5;47.4;29.1;2;;;
18 kwi;SC Bastia vs Saint-Etienne;France 2;2.0 (2);27.2;47.1;25.6;2;;;
18 kwi;Duhok vs Al Quwa Al Jawiya;Iraq 1;1.83 (2);25.9;46.7;27.4;2;;;
18 kwi;Peterhead vs Queen of South;Scotland 3;1.9 (2);26.3;45.8;27.9;2;;;
18 kwi;AFC Wimbledon vs Plymouth Argyle;England 3;1.8 (2);26.6;45.7;27.7;2;;;
19 kwi;San Martin Burzaco vs Flandria;Argentina 3;2.2 (1);44.9;24.7;30.3;1;;;
18 kwi;PSM Makassar vs Pusamania Borneo;Indonesia 1;2.1 (2);31.1;42.8;26.1;2;;;
18 kwi;Curzon vs Buxton;England 6;1.85 (2);28.9;42.7;28.4;2;;;
18 kwi;Povazska Bystrica vs LokomotÃ­va Zvolen;Slovakia 2;3.5 (2);42.7;24.2;33.1;1;;;
18 kwi;GKS Tychy vs Łódzki KS;Poland 2;2.1 (2);27.2;42.0;30.8;2;;;
18 kwi;Milano United FC vs Siwelele;South Africa 1;2.45 (2);30.8;40.7;28.5;2;;;
18 kwi;Falcons vs TMT;Gambia 1;2.1 (1);40.6;31.8;27.6;1;;;
18 kwi;Real Santander vs Bogota FC;Colombia 2;2.55 (2);34.3;38.3;27.4;2;;;
18 kwi;Tranmere Rovers vs Bristol Rovers;England 4;2.45 (2);34.7;37.5;27.8;2;;;
18 kwi;Tottenham Hotspur vs Brighton & Hove Albion;England 1;2.3 (2);35.3;35.3;29.4;2;;;
