Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
19 kwi;FC Santa Coloma vs Esperança dAndorra;Andorra 1;1.09 (1);93.3;1.6;5.2;1;✅ OBA ZGODNE (1);96.0;4.0;0.0;91.4;5.9;2.6
19 kwi;Faetano vs Tre Fiori;San Marino 1;1.1 (2);4.2;86.6;9.1;2;✅ OBA ZGODNE (2);4.0;0.0;96.0;4.4;15.2;80.4
19 kwi;Pistoiese vs Coriano;Italy 4;1.12 (1);84.0;7.5;8.5;1;✅ OBA ZGODNE (1);88.0;8.0;4.0;81.3;8.9;9.8
19 kwi;UD Ibiza vs Sevilla II;Spain 3;1.14 (1);82.6;6.7;10.7;1;✅ OBA ZGODNE (1);80.0;12.0;8.0;84.4;9.8;5.8
19 kwi;San Marino Calcio vs Teramo;Italy 4;1.2 (2);6.6;80.0;13.4;2;✅ OBA ZGODNE (2);8.0;8.0;84.0;5.7;17.0;77.3
19 kwi;Reggina vs Paterno;Italy 4;1.16 (1);78.0;9.9;12.1;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;79.3;12.2;8.5
19 kwi;Viettel vs Hoang Anh Gia Lai;Vietnam 1;1.33 (1);76.2;7.3;16.5;1;✅ OBA ZGODNE (1);84.0;12.0;4.0;70.9;19.6;9.5
19 kwi;Inter Club d'Escaldes vs FC Ordino;Andorra 1;1.33 (1);73.4;9.9;16.7;1;✅ OBA ZGODNE (1);80.0;12.0;8.0;69.0;19.8;11.2
19 kwi;FC Porto vs Tondela;Portugal 1;1.18 (1);72.2;7.8;20.0;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;75.0;17.3;7.7
19 kwi;Lentigione vs Progresso;Italy 4;1.45 (1);71.9;12.3;15.8;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;69.1;18.3;12.5
19 kwi;Coban Imperial vs Deportivo Achuapa;Guatemala 1;1.42 (1);71.4;13.3;15.4;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;68.3;17.6;14.1
19 kwi;Cosenza vs Trapani;Italy 3;1.48 (1);65.8;16.7;17.5;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;64.4;18.5;17.1
19 kwi;Sporting Gijon vs Cadiz;Spain 2;1.57 (1);65.3;18.3;16.4;1;✅ OBA ZGODNE (1);80.0;4.0;16.0;55.6;24.7;19.8
19 kwi;Schalke 04 vs Preußen Muenster;Germany 2;1.53 (1);64.7;15.6;19.8;1;✅ OBA ZGODNE (1);72.0;12.0;16.0;59.8;25.0;15.3
19 kwi;XuÃ¢n Thiá»‡n PhÃº Thá» vs Long An;Vietnam 2;1.53 (1);62.2;15.9;21.9;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;58.4;25.8;15.8
19 kwi;Zamora vs Osasuna B;Spain 3;1.65 (1);62.1;15.0;22.9;1;✅ OBA ZGODNE (1);68.0;20.0;12.0;58.2;24.8;17.1
19 kwi;Nissa vs Enna;Italy 4;1.5 (1);60.9;16.5;22.6;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;61.5;24.4;14.1
20 kwi;Colo Colo vs Palestino;Chile 1;1.7 (1);60.5;23.3;16.2;1;✅ OBA ZGODNE (1);68.0;4.0;28.0;55.4;24.4;20.2
19 kwi;Internacional vs Mirassol;Brazil 1;1.72 (1);59.1;22.4;18.5;1;✅ OBA ZGODNE (1);64.0;16.0;20.0;55.8;20.1;24.1
19 kwi;Mixco vs Aurora;Guatemala 1;1.44 (1);59.0;9.4;31.6;1;✅ OBA ZGODNE (1);52.0;44.0;4.0;63.7;23.3;13.1
19 kwi;Audace Cerignola vs Team Altamura;Italy 3;1.55 (1);57.3;18.7;24.0;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;58.2;24.0;17.8
19 kwi;AS Monaco vs Auxerre;France 1;1.55 (1);57.3;18.4;24.3;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;60.8;24.4;14.7
19 kwi;Eldense vs Cartagena;Spain 3;1.7 (1);56.6;19.2;24.2;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;54.3;27.0;18.7
19 kwi;Jihlava vs Brno;Czech Republic 2;1.57 (2);19.1;54.7;26.2;2;✅ OBA ZGODNE (2);24.0;32.0;44.0;15.8;22.4;61.8
19 kwi;Alianza Atletico vs Sport Boys;Peru 1;1.75 (1);52.3;21.1;26.6;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;55.1;25.7;19.2
19 kwi;Werder Bremen II vs Bremer SV;Germany 4;2.15 (1);50.7;22.5;26.8;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;47.2;28.6;24.1
19 kwi;Bombada vs Greater Tomorrow;Gambia 1;1.8 (1);50.1;22.1;27.8;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;48.9;27.6;23.4
20 kwi;Talleres vs Deportivo Riestra;Argentina 1;1.9 (1);49.5;18.3;32.1;1;✅ OBA ZGODNE (1);52.0;36.0;12.0;47.8;29.6;22.6
19 kwi;FC Hirnyk vs Rukh Vynnyky;Ukraine 1;1.8 (1);48.7;22.7;28.6;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;49.1;29.0;21.8
19 kwi;İstanbulspor vs SarÄ±yer;Turkey 2;2.37 (2);21.9;48.3;29.8;2;✅ OBA ZGODNE (2);12.0;32.0;56.0;28.5;28.3;43.2
19 kwi;Pogon Grodzisk Mazowiecki vs Pogoń Siedlce;Poland 2;1.95 (1);47.9;21.8;30.3;1;✅ OBA ZGODNE (1);48.0;32.0;20.0;47.8;29.2;23.0
