Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:00;Esperance vs Zarzis;Tunisia 1;1.22 (1);80.0;0.0;20.0;1;X;2:2;PRZEGRANA;-100.0
14:30;Zoria Ługańsk vs Szachtar Donieck;Ukraine 1;1.3 (2);10.0;80.0;10.0;2;2;1:2;WYGRANA;30.0
16:00;Duhok vs Al Gharraf;Iraq 1;3.9 (2);80.0;15.0;5.0;1;X;1:1;PRZEGRANA;-100.0
18:30;Zakho vs Al Kahrabaa;Iraq 1;1.65 (1);75.0;10.0;15.0;1;1;2:1;WYGRANA;65.0
20:00;Wieczysta Krakow vs Polonia Bytom;Poland 2;1.8 (1);70.0;5.0;25.0;1;1;4:3;WYGRANA;80.0
18:10;Al Najma vs Al-Taawon;Saudi Arabia 1;1.48 (2);20.0;70.0;10.0;2;2;1:2;WYGRANA;48.0
18:45;Al Bataeh vs Al-Ain;U.A.E. 1;1.3 (2);10.0;65.0;25.0;2;2;0:2;WYGRANA;30.0
16:00;Kerala Blasters FC vs Delhi Dynamos FC;India ISL 1;1.66 (1);65.0;15.0;20.0;1;1;2:1;WYGRANA;66.0
20:00;Casa Pia vs Braga;Portugal 1;5.25 (1);20.0;60.0;20.0;2;2;0:1;WYGRANA;0.0
20:00;Rayo Vallecano vs Espanyol;Spain 1;2.1 (1);60.0;30.0;10.0;1;1;1:0;WYGRANA;110.0
14:15;Melaka vs Sabah FA;Malaysia 1;2.15 (2);30.0;55.0;15.0;2;1;1:0;PRZEGRANA;-100.0
21:00;Salford City vs Bromley;England 4;1.8 (1);55.0;20.0;25.0;1;1;2:0;WYGRANA;80.0
17:15;Dinamo Samarqand vs OTMK Olmaliq;Uzbekistan 1;3.0 (2);55.0;30.0;15.0;1;X;2:2;PRZEGRANA;-100.0
22:30;Spanish Town Police FC vs Portmore United;Jamaica 1;1.16 (2);20.0;55.0;25.0;2;2;0:1;WYGRANA;15.999999999999986
15:00;Zesco United vs NAPSA Stars FC;Zambia 1;1.6 (1);50.0;25.0;25.0;1;X;1:1;PRZEGRANA;-100.0
21:00;PSV Eindhoven vs PEC Zwolle;Eredivisie;1.25 (1);50.0;20.0;30.0;1;1;6:1;WYGRANA;25.0
jutro 01:15;Lobos UPNFM vs Policia NFC;Honduras 1;1.8 (1);50.0;10.0;40.0;1;2;0:1;PRZEGRANA;-100.0
16:30;Victoria United vs Dynamo de Douala;Cameroon 1;1.85 (1);50.0;25.0;25.0;1;2;1:2;PRZEGRANA;-100.0
21:30;Real Oviedo vs Villarreal;Spain 1;3.6 (1);15.0;50.0;35.0;2;X;1:1;PRZEGRANA;-100.0
18:45;Go Ahead Eagles vs AZ Alkmaar;Eredivisie;3.0 (1);15.0;50.0;35.0;2;X;0:0;PRZEGRANA;-100.0
16:00;Pjunik vs FC Banants;Armenia 1;3.8 (2);45.0;30.0;25.0;1;1;2:1;WYGRANA;0.0
19:00;Levante vs Sevilla FC;Spain 1;2.4 (1);45.0;20.0;35.0;1;1;2:0;WYGRANA;140.0
18:30;Old Edwardians vs Bo Rangers;Sierra Leone 1;2.6 (2);35.0;45.0;20.0;2;X;1:1;PRZEGRANA;-100.0
jutro 01:00;Deportivo Pasto vs Santa Fe;Colombia 1;3.4 (2);25.0;40.0;35.0;2;2;1:2;WYGRANA;240.0
jutro 01:00;Defensa y Justicia vs Boca Juniors;Argentina 1;2.45 (2);40.0;25.0;35.0;1;2;0:4;PRZEGRANA;-100.0
20:00;Damac FC vs Al Akhdoud;Saudi Arabia 1;1.66 (1);40.0;25.0;35.0;1;1;2:0;WYGRANA;66.0
18:30;Al Quwa Al Jawiya vs Erbil;Iraq 1;2.15 (1);40.0;40.0;20.0;1;X;1:1;PRZEGRANA;-100.0
16:00;Al-Sharjah vs Al-Wahda;U.A.E. 1;2.05 (2);35.0;40.0;25.0;2;2;0:2;WYGRANA;104.99999999999997
16:30;Stade Renard vs PWD Bamenda;Cameroon 1;2.5 (1);35.0;35.0;30.0;1;1;2:0;WYGRANA;150.0
22:00;Santa Rosa de Andahuaylas vs Cienciano;Peru 1;2.37 (1);35.0;30.0;35.0;1;1;1:0;WYGRANA;137.0
16:00;Al Ittihad Kalba vs Bani Yas;U.A.E. 1;2.2 (2);30.0;35.0;35.0;2;2;1:2;WYGRANA;120.00000000000003
16:00;Nasaf Qarshi vs Lokomotiv Tashkent;Uzbekistan 1;2.1 (1);35.0;30.0;35.0;1;2;2:3;PRZEGRANA;-100.0
14:00;Malut United vs Persebaya Surabaya;Indonesia 1;3.7 (2);35.0;15.0;50.0;X;2;0:2;PRZEGRANA;-100.0
23:30;Dunbeholden vs Harbour View;Jamaica 1;2.3 (1);30.0;25.0;45.0;X;1;4:0;PRZEGRANA;-100.0
