Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
21:00;Burnley vs Manchester City;England 1;1.12 (2);1.2;89.9;8.8;2;1.26;-0.11;GRUBA GRA (Spadek)
20:45;Cardiff City vs Port Vale;England 3;1.2 (1);76.7;6.7;16.5;1;;;
21:30;FC Barcelona vs Celta Vigo;Spain 1;1.22 (1);73.0;9.7;17.3;1;1.27;-0.03;Stabilnie
jutro 01:00;Real Garcilaso vs FC Cajamarca;Peru 1;1.33 (1);71.8;10.0;18.2;1;;;
19:30;Mamelodi Sundowns FC vs Vasco da Gama;South Africa 1;1.3 (1);71.6;10.0;18.4;1;;;
19:00;PSG vs Nantes;France 1;1.18 (1);70.9;10.0;19.1;1;;;
jutro 01:20;Independiente Medellin vs Chico FC;Colombia 1;1.28 (1);69.4;10.2;20.4;1;;;
20:15;NK Istra 1961 vs Dinamo Zagrzeb;Croatia 1;1.25 (2);11.3;68.3;20.3;2;1.4;-0.16;GRUBA GRA (Spadek)
19:00;1. FC Phoenix Luebeck vs St.Pauli II;Germany 4;1.36 (1);67.6;12.9;19.4;1;;;
20:45;Middlesbrough vs Sheffield Wednesday;England 2;1.18 (1);66.0;13.0;21.0;1;1.12;0.05;Stabilnie
19:00;Schoeningen vs Oldenburg;Germany 4;1.3 (2);14.7;61.9;23.5;2;;;
04:00;C.S. Cartagines vs Deportiva San Carlos;Costa Rica 1;1.57 (1);59.1;14.7;26.2;1;;;
17:30;BFC Preussen vs Hertha Zehlendorf;Germany 4;1.61 (1);58.5;17.9;23.6;1;;;
jutro 01:00;Barcelona SC vs Mushuc Runa;Ecuador 1;1.6 (1);53.3;21.0;25.7;1;;;
20:45;Charlton Athletic vs Ipswich Town;England 2;1.75 (2);25.2;52.4;22.4;2;;;
16:00;CSKA Sofia II vs Hebar;Bulgaria 2;1.7 (1);52.4;18.8;28.8;1;;;
03:00;Pumas vs FC Juarez;Mexico 1;1.83 (1);52.3;21.2;26.5;1;;;
22:30;Deportivo Cuenca vs Orense;Ecuador 1;1.9 (1);50.3;23.5;26.2;1;;;
19:00;SSV Jeddeloh vs Luebeck;Germany 4;4.5 (2);47.5;22.9;29.6;1;;;
19:30;SC Wiedenbrueck vs Sportfreunde Siegen;Germany 4;1.8 (2);24.4;47.2;28.4;2;;;
21:00;AFC Bournemouth vs Leeds United;England 1;2.0 (1);46.7;26.0;27.2;1;;;
02:00;Sporting San Jose vs AD Municipal Liberia;Costa Rica 1;3.75 (2);45.8;24.4;29.8;1;;;
20:00;Telstar vs Sparta Rotterdam;Eredivisie;2.5 (1);45.7;29.3;24.9;1;;;
jutro 01:30;Toronto FC vs Philadelphia Union;USA 1;2.35 (1);43.2;28.5;28.3;1;;;
10:30;Persis Solo vs Bhayangkara Surabaya United;Indonesia 1;2.87 (2);38.8;32.3;28.9;1;;;
17:45;NK Varaždin vs Rijeka;Croatia 1;2.9 (1);37.6;33.1;29.2;1;;;
15:30;Vukovar 91 vs HNK Gorica;Croatia 1;2.3 (2);34.2;36.1;29.7;2;;;
