Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
02:00;Waterhouse FC vs Spanish Town Police FC;Jamaica 1;1.12 (1);91.7;1.3;6.9;1;1.3;-0.03;Stabilnie;Brak/Odwolany;-;Odwolany;0.0
20:45;Chelmsford vs AFC Totton;England 6;1.48 (1);66.0;17.4;16.6;1;1.82;-0.37;GRUBA GRA (Spadek);Brak/Odwolany;-;Odwolany;0.0
20:30;Baghdad FC vs Al-Karma;Iraq 1;1.72 (2);17.8;65.0;17.2;2;1.72;-0.02;Stabilnie;Brak/Odwolany;-;Odwolany;0.0
jutro 00:00;Racing United vs Treasure Beach;Jamaica 1;1.48 (1);62.4;12.3;25.3;1;;;;Brak/Odwolany;-;Odwolany;0.0
21:00;MC Alger vs USM Alger;Algeria 1;1.7 (1);61.7;17.0;21.3;1;;;;Brak/Odwolany;-;Odwolany;0.0
16:30;Al Karkh vs Al Minaa;Iraq 1;3.6 (2);61.6;21.6;16.8;1;;;;Brak/Odwolany;-;Odwolany;0.0
18:45;JS Kabylie vs Ben Aknoun;Algeria 1;6.5 (2);60.6;25.2;14.2;1;;;;Brak/Odwolany;-;Odwolany;0.0
jutro 01:30;Libertad vs Recoleta;Paraguay 1;1.57 (1);57.4;17.7;24.9;1;;;;Brak/Odwolany;-;Odwolany;0.0
18:30;Gorée vs Sonacos;Senegal 1;1.72 (1);53.6;15.4;31.0;1;;;;Brak/Odwolany;-;Odwolany;0.0
20:00;Sunderland U21 vs Reading U21;England Reserve 1;1.75 (1);51.9;16.9;31.2;1;;;;Brak/Odwolany;-;Odwolany;0.0
18:30;Abacha City vs Ports Authority;Sierra Leone 1;1.85 (2);22.7;51.6;25.7;2;;;;Brak/Odwolany;-;Odwolany;0.0
20:30;Arezzo vs Ascoli Picchio FC 1898;Italy 3;3.8 (2);46.6;22.4;31.0;1;;;;Brak/Odwolany;-;Odwolany;0.0
16:30;Duhok vs Zakho;Iraq 1;2.6 (2);28.2;45.3;26.6;2;;;;Brak/Odwolany;-;Odwolany;0.0
22:00;Independiente Yumbo vs Union Magdalena;Colombia 2;2.7 (2);26.2;44.1;29.6;2;;;;Brak/Odwolany;-;Odwolany;0.0
17:00;Paradou AC vs CR Belouizdad;Algeria 1;1.9 (2);27.5;41.2;31.3;2;;;;Brak/Odwolany;-;Odwolany;0.0
18:30;Camberene vs Wally Daan;Senegal 1;2.15 (2);31.2;40.2;28.7;2;;;;Brak/Odwolany;-;Odwolany;0.0
jutro 01:10;Independiente Medellin vs America de Cali;Colombia 1;2.15 (1);39.6;29.7;30.7;1;;;;Brak/Odwolany;-;Odwolany;0.0
17:00;Llaneros FC vs Once Caldas;Colombia 1;2.5 (2);32.7;37.6;29.8;2;;;;Brak/Odwolany;-;Odwolany;0.0
16:30;Al Mosul vs Al Kahrabaa;Iraq 1;2.3 (1);33.9;32.5;33.6;1;;;;Brak/Odwolany;-;Odwolany;0.0
