Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
18:45;JS Saoura vs USM Khenchela;Algeria 1;1.25 (1);73.3;9.1;17.6;1;1.7;-0.3;GRUBA GRA (Spadek)
20:45;Inter Mediolan vs Cagliari;European Championship U-21 1;1.25 (1);72.0;8.9;19.0;1;;;
17:00;Dukla Bańska Bystrzyca vs Stara Lubovna;Slovakia 2;1.25 (1);72.0;12.1;15.9;1;;;
12:15;Blacktown Spartans vs Prospect United;Australia 3;1.4 (1);68.1;14.1;17.7;1;;;
20:00;Vitesse vs MVV Maastricht;Netherlands 2;1.36 (1);67.6;11.1;21.3;1;1.48;-0.16;GRUBA GRA (Spadek)
17:00;Al-Salt vs Al-Faisaly;Jordan 1;1.48 (2);14.6;67.0;18.4;2;;;
19:00;Fenerbahce vs Rizespor;Turkey 1;1.38 (1);66.3;11.8;21.9;1;1.38;-0.05;Stabilnie
19:10;Favoritner AC vs SC Team Wiener Linien;Austria 3;1.4 (1);65.8;13.1;21.1;1;;;
20:30;Legia Warszawa vs Zagłębie Lubin;Poland 1;1.65 (1);65.4;18.2;16.4;1;1.67;-0.05;Stabilnie
18:00;Sandecja Nowy Sącz vs KKS 1925 Kalisz;Poland 3;1.42 (1);64.6;13.5;21.8;1;;;
19:30;SC Imst vs Pinzgau Saalfelden;Austria 3;1.44 (1);64.3;13.2;22.5;1;;;
19:30;FC Koeln II vs Fortuna Koeln;Germany 4;1.57 (2);15.3;63.6;21.1;2;;;
20:00;Kortrijk vs RWDM Brussels FC;Belgium 2;1.5 (1);63.0;16.6;20.4;1;;;
19:00;La Roche vs Angouleme;France 4;1.5 (1);63.0;16.9;20.2;1;;;
15:00;GFK Tikves Kavadarci vs Shkendija Tetowo;F.Y.R.O.M. 1;1.55 (2);22.9;62.1;15.0;2;;;
14:00;Hapoel Ramat Gan vs Hapoel Hadera Eran;Israel 2;1.72 (1);61.9;13.0;25.1;1;;;
20:00;Rodez vs Amiens;France 2;1.61 (1);61.7;18.6;19.7;1;;;
20:45;RC Lens vs Toulouse;France 1;1.48 (1);61.4;14.5;24.1;1;;;
19:00;Bayern Munich II vs Ansbach;Germany 4;1.55 (1);61.3;15.7;23.0;1;;;
20:00;Le Mans vs Clermont Foot;France 2;1.65 (1);61.3;17.8;21.0;1;;;
22:00;Santa Rosa de Andahuaylas vs Atletico Grau;Peru 1;1.61 (1);60.3;16.5;23.2;1;;;
18:30;Sassuolo vs Como;European Championship U-21 1;1.5 (2);15.3;59.8;24.9;2;;;
18:00;Hegelmann Litauen vs Traku FK;Lithuania 1;1.53 (1);59.7;14.0;26.3;1;;;
19:30;Aviron Bayonnais vs Les Herbiers;France 4;1.9 (1);59.3;21.0;19.7;1;;;
14:00;Persebaya Surabaya vs Madura United;Indonesia 1;1.61 (1);59.2;16.3;24.6;1;;;
13:00;Metalist Charków vs Bukovyna Chernivtsi;Ukraine 2;1.42 (2);17.7;58.6;23.7;2;;;
22:00;Sportivo Trinidense vs Sportivo San Lorenzo;Paraguay 1;1.7 (1);58.0;21.4;20.6;1;;;
18:00;FC Zlate Moravce vs FC STK 1914 Samorin;Slovakia 2;1.61 (1);57.8;18.6;23.6;1;;;
19:00;Deutschlandsberger SC vs Wohnbau Dietach;Austria 3;1.55 (1);57.8;19.2;23.0;1;;;
16:25;Bahrain SC vs Al Ahli;Bahrain 1;1.5 (2);15.8;57.5;26.7;2;;;
19:00;Celta Vigo B vs Cacereno;Spain 3;1.65 (1);57.4;17.6;25.0;1;;;
