Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:30;Club Africain vs Kairouan;Tunisia 1;1.18 (1);95.0;0.0;5.0;1;1;2:0;WYGRANA;18.0
16:00;Blau-Weiss Lohne vs Meppen;Germany 4;1.25 (2);10.0;90.0;0.0;2;2;0:4;WYGRANA;25.0
17:30;NK Celje vs Aluminij;Slovenia 1;1.25 (1);90.0;10.0;0.0;1;1;5:0;WYGRANA;25.0
13:30;Nomme JK Kalju vs Parnu JK Vaprus;Estonia 1;1.25 (1);90.0;0.0;10.0;1;2;1:2;PRZEGRANA;-100.0
13:30;Geylang International FC vs Home United FC;Singapore 1;1.2 (2);5.0;90.0;5.0;2;2;0:3;WYGRANA;20.0
16:00;Levadia Maardu vs Trans Narva;Estonia 1;1.2 (1);90.0;10.0;0.0;1;1;7:0;WYGRANA;20.0
17:15;Le Havre vs Metz;France 1;1.53 (1);85.0;5.0;10.0;1;X;4:4;PRZEGRANA;-100.0
21:00;RSB Berkane vs Olympique Dcheira;Morocco 1;1.25 (1);85.0;15.0;0.0;1;1;2:1;WYGRANA;25.0
17:30;Borac Banja Luka vs Sloga Doboj;Bosnia-Herzegovina 1;1.18 (1);85.0;0.0;15.0;1;1;3:1;WYGRANA;18.0
18:00;Nk Brinje Grosuplje vs Jesenice;Slovenia 2;1.18 (1);80.0;10.0;10.0;1;1;8:1;WYGRANA;18.0
10:30;APIA Leichhardt U20 vs St. George Saints U20;Australia 3;1.28 (1);80.0;10.0;10.0;1;1;3:2;WYGRANA;28.0
14:00;Sutjeska vs Jezero;Montenegro 1;1.4 (1);80.0;5.0;15.0;1;X;1:1;PRZEGRANA;-100.0
15:00;Juvenes/Dogana vs S.S. Murata;San Marino 1;1.2 (1);80.0;10.0;10.0;1;1;5:2;WYGRANA;20.0
18:30;Baghdad FC vs Al Zawraa;Iraq 1;1.5 (2);10.0;80.0;10.0;2;X;2:2;PRZEGRANA;-100.0
13:30;Kanchanaburi vs Buriram United;Thailand 1;1.4 (2);5.0;75.0;20.0;2;2;1:3;WYGRANA;40.0
