Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:45;Southend United vs Yeovil Town;England 5;1.33 (1);75.0;15.0;10.0;1;1;2:1;WYGRANA;33.0
20:45;AFC Fylde vs Marine;England 6;1.27 (1);75.0;5.0;20.0;1;1;2:0;WYGRANA;27.0
20:45;Atherstone Town vs Evesham United;England 7;1.85 (2);20.0;60.0;20.0;2;2;1:2;WYGRANA;85.0
03:20;Millonarios vs Fortaleza FC;Colombia 1;1.61 (1);55.0;20.0;25.0;1;X;2:2;PRZEGRANA;-100.0
20:00;RC Deportivo vs Cordoba;Spain 2;2.05 (1);55.0;30.0;15.0;1;1;2:0;WYGRANA;104.99999999999997
20:45;Denbigh Town vs Holyhead Hotspur;Wales 2;1.5 (1);55.0;10.0;35.0;1;X;1:1;PRZEGRANA;-100.0
02:00;Orsomarso vs Internacional Palmira;Colombia 2;2.4 (2);30.0;55.0;15.0;2;2;1:2;WYGRANA;140.0
20:45;Hereford vs Macclesfield;England 6;3.4 (1);25.0;50.0;25.0;2;2;0:2;WYGRANA;0.0
23:30;2 de Mayo vs Nacional;Paraguay 1;2.15 (2);50.0;35.0;15.0;1;Brak/Odwolany;-;Odwolany;0.0
20:45;Weston Super Mare vs Hemel Hempstead;England 6;2.62 (2);30.0;45.0;25.0;2;X;0:0;PRZEGRANA;-100.0
20:45;Wealdstone vs Hartlepool United;England 5;2.75 (2);20.0;40.0;40.0;2;1;7:0;PRZEGRANA;-100.0
19:00;Mirandes vs Albacete;Spain 2;2.4 (2);40.0;40.0;20.0;1;X;1:1;PRZEGRANA;-100.0
20:45;Alfreton Town vs Chorley;England 6;2.2 (2);40.0;35.0;25.0;1;1;1:0;WYGRANA;0.0
20:45;Hanwell Town vs Sholing;England 7;2.5 (1);40.0;40.0;20.0;1;X;0:0;PRZEGRANA;-100.0
20:45;Maidenhead United vs Bath City;England 6;1.45 (1);40.0;30.0;30.0;1;1;3:0;WYGRANA;45.0
20:45;Enfield Town vs Chesham United;England 6;3.1 (1);35.0;40.0;25.0;2;2;3:4;WYGRANA;0.0
20:45;Woking vs Altrincham;England 5;1.9 (1);30.0;35.0;35.0;2;X;1:1;PRZEGRANA;-100.0
21:30;Valladolid vs Cadiz;Spain 2;1.72 (1);35.0;20.0;45.0;X;1;3:0;PRZEGRANA;-100.0
15:00;Hapoel Nazareth Illit vs Bnei Yehuda Tel Awiw;Israel 2;2.25 (2);35.0;35.0;30.0;1;X;1:1;PRZEGRANA;-100.0
20:45;Spennymoor Town FC vs Kidderminster Harriers;England 6;1.9 (2);30.0;30.0;40.0;X;1;3:1;PRZEGRANA;-100.0
