Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
15:30;Llandudno FC vs Ruthin Town;Wales 2;1.12 (1);90.6;3.4;5.9;1;✅ OBA ZGODNE (1);100.0;0.0;0.0;84.4;9.9;5.7;1;5:2;WYGRANA;12.000000000000014
19:30;SC Team Wiener Linien vs Gloggnitz;Austria 3;1.22 (2);4.2;89.2;6.6;2;✅ OBA ZGODNE (2);0.0;5.0;95.0;7.0;7.6;85.4;2;0:2;WYGRANA;22.0
20:45;PSG vs Toulouse;France 1;1.3 (1);83.4;4.1;12.6;1;✅ OBA ZGODNE (1);85.0;15.0;0.0;82.3;11.0;6.8;1;3:1;WYGRANA;30.0
20:00;SV Horn vs Retz;Austria 3;1.22 (1);83.2;6.6;10.2;1;✅ OBA ZGODNE (1);90.0;5.0;5.0;78.7;13.7;7.7;X;1:1;PRZEGRANA;-100.0
16:00;Sholing vs Atherstone Town;England 7;1.22 (1);79.1;9.4;11.5;1;✅ OBA ZGODNE (1);70.0;15.0;15.0;85.1;9.2;5.6;1;2:1;WYGRANA;22.0
16:00;Quorn vs AFC Sudbury;England 7;1.3 (1);77.8;14.5;7.7;1;✅ OBA ZGODNE (1);90.0;0.0;10.0;69.6;12.9;17.5;1;1:0;WYGRANA;30.0
16:00;Southend United vs Braintree Town;England 5;1.27 (1);77.6;9.5;12.9;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;79.3;14.9;5.8;1;3:2;WYGRANA;27.0
16:15;Muharraq vs Sitra;Bahrain 1;1.4 (1);77.5;5.9;16.6;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;75.9;17.6;6.5;1;3:0;WYGRANA;40.0
16:00;Grimsby Town vs Harrogate;England 4;1.57 (1);76.6;8.5;14.9;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;77.7;14.8;7.5;2;1:3;PRZEGRANA;-100.0
16:00;Milton Keynes Dons vs Barrow;England 4;1.4 (1);76.1;7.8;16.1;1;✅ OBA ZGODNE (1);80.0;10.0;10.0;73.5;20.2;6.3;X;0:0;PRZEGRANA;-100.0
