Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
21 kwi;Hajduk Split vs Osijek;Croatia 1;1.3 (1);72.6;9.9;17.5;1;1.56;-0.22;GRUBA GRA (Spadek)
22 kwi;Academia Puerto Cabello vs Trujillanos FC;Venezuela 1;1.33 (1);70.7;9.5;19.8;1;;;
21 kwi;Real Madryt vs Alaves;Spain 1;1.22 (1);68.4;10.1;21.6;1;1.28;-0.05;Stabilnie
21 kwi;Rotherham United vs Luton Town;England 3;1.5 (2);14.5;67.2;18.3;2;;;
21 kwi;Stockport vs Mansfield Town;England 3;1.48 (1);65.8;16.7;17.6;1;;;
21 kwi;Southampton vs Bristol City;England 2;1.4 (1);65.0;12.8;22.2;1;;;
22 kwi;Brittons Hill vs Bagatelle;Barbados 1;1.4 (1);63.7;13.0;23.3;1;;;
21 kwi;Macclesfield vs Southport;England 6;4.5 (2);57.3;15.6;27.1;1;;;
21 kwi;West Bromwich Albion vs Watford;England 2;1.66 (1);57.3;17.4;25.2;1;;;
21 kwi;Torpedo Kutaisi vs FC Samgurali Tskhaltubo;Georgia 1;1.8 (1);56.6;16.8;26.6;1;;;
21 kwi;FK Velez Mostar vs Siroki Brijeg;Bosnia-Herzegovina 1;1.72 (1);55.4;19.7;25.0;1;;;
21 kwi;Coventry City vs Portsmouth;England 2;1.61 (1);54.0;21.6;24.4;1;;;
22 kwi;Libertad vs River Plate;Ecuador 1;2.1 (1);53.9;19.0;27.1;1;;;
21 kwi;Doncaster Rovers vs Lincoln;England 3;1.85 (2);23.0;53.8;23.2;2;;;
21 kwi;Athletic Bilbao vs Osasuna Pampeluna;Spain 1;4.5 (2);53.3;20.6;26.1;1;;;
21 kwi;FC United of Manchester vs Stockton Town;England 7;1.83 (1);50.9;23.1;26.0;1;;;
21 kwi;Hartlepool United vs Southend United;England 5;1.83 (2);23.9;50.8;25.4;2;;;
21 kwi;Dunfermline Athletic vs St.Johnstone;Scotland 2;1.7 (2);24.3;50.0;25.6;2;;;
21 kwi;Cambridge United vs Grimsby Town;England 4;1.9 (1);49.6;24.5;25.9;1;;;
21 kwi;Rubio Nu vs Libertad;Paraguay 1;1.83 (2);28.3;49.6;22.1;2;;;
21 kwi;Brighton & Hove Albion vs Chelsea;England 1;2.25 (1);49.3;24.1;26.6;1;;;
21 kwi;Naft Misan vs Al Najaf;Iraq 1;1.9 (1);49.1;24.9;26.0;1;;;
21 kwi;Stevenage vs Barnsley;England 3;1.83 (1);49.0;23.9;27.1;1;;;
21 kwi;Norwich City vs Derby County;England 2;2.0 (1);48.5;26.3;25.2;1;;;
21 kwi;FK Jelgava vs Auda;Latvia 1;1.7 (2);24.5;48.1;27.5;2;;;
21 kwi;Stoke City vs Millwall;England 2;1.85 (2);27.2;47.6;25.1;2;;;
21 kwi;Bradford City vs Plymouth Argyle;England 3;2.6 (2);44.2;26.6;29.2;1;;;
21 kwi;Hereford vs Marine;England 6;4.33 (2);42.4;34.3;23.4;1;;;
21 kwi;Mallorca vs Valencia CF;Spain 1;2.5 (1);42.2;30.0;27.8;1;;;
21 kwi;Atherstone Town vs Gosport Borough;England 7;4.1 (1);25.0;42.1;32.9;2;;;
21 kwi;Queens Park Rangers vs Swansea City;England 2;2.2 (1);41.8;29.6;28.6;1;;;
22 kwi;Deportivo Merlo vs Comunicaciones;Argentina 3;3.0 (2);39.6;31.4;29.0;1;;;
21 kwi;Girona vs Real Betis;Spain 1;2.37 (1);38.6;31.2;30.2;1;;;
21 kwi;Leicester City vs Hull City;England 2;3.4 (2);38.5;33.0;28.5;1;;;
21 kwi;Cheltenham Town vs Tranmere Rovers;England 4;2.37 (1);38.1;34.4;27.5;1;;;
21 kwi;Oxford United vs Wrexham;England 2;2.5 (1);36.6;36.2;27.2;1;;;
