Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
03:30;Atletico Nacional vs Cucuta;Colombia 1;1.25 (1);79.2;5.8;14.9;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;78.7;14.9;6.4
15:00;Piacenza vs Trevigliese;Italy 4;1.36 (1);75.7;4.2;20.1;1;✅ OBA ZGODNE (1);75.0;25.0;0.0;76.2;16.8;7.0
02:00;Antigua Guatemala vs Mictlán;Guatemala 1;1.5 (1);71.7;10.8;17.4;1;✅ OBA ZGODNE (1);70.0;25.0;5.0;72.9;12.4;14.6
19:00;Schoeningen vs Meppen;Germany 4;1.33 (2);6.3;70.8;22.9;2;✅ OBA ZGODNE (2);0.0;20.0;80.0;10.5;24.8;64.6
jutro 01:15;CD Olimpia vs Lobos UPNFM;Honduras 1;1.4 (1);70.8;9.6;19.5;1;✅ OBA ZGODNE (1);80.0;10.0;10.0;64.7;25.9;9.4
15:00;Sasso Marconi vs Lentigione;Italy 4;1.5 (2);9.9;68.8;21.3;2;✅ OBA ZGODNE (2);5.0;20.0;75.0;13.2;22.2;64.6
15:00;Portogruaro vs Bassano Virtus;Italy 4;1.72 (2);11.0;63.9;25.1;2;✅ OBA ZGODNE (2);5.0;25.0;70.0;15.0;25.1;59.9
20:45;Cleethorpes Town vs Stocksbridge Park Steels;England 7;1.5 (1);63.4;17.4;19.1;1;✅ OBA ZGODNE (1);65.0;15.0;20.0;62.4;21.9;15.7
14:00;Skive vs AB;Denmark 3;1.5 (2);20.2;61.7;18.1;2;✅ OBA ZGODNE (2);20.0;15.0;65.0;20.3;20.2;59.5
15:00;Vado vs Chisola;Italy 4;1.61 (1);61.5;12.6;25.9;1;✅ OBA ZGODNE (1);60.0;30.0;10.0;62.5;23.2;14.4
19:00;Velden vs SV St. Anna;Austria 3;1.36 (1);57.9;18.5;23.6;1;✅ OBA ZGODNE (1);55.0;25.0;20.0;59.8;22.7;17.5
jutro 01:20;CD Jaguares vs Millonarios;Colombia 1;1.83 (2);21.2;55.4;23.3;2;✅ OBA ZGODNE (2);30.0;25.0;45.0;15.4;22.2;62.4
16:00;San Luigi vs Legnago Salus;Italy 4;1.9 (2);10.3;52.8;37.0;2;✅ OBA ZGODNE (2);5.0;35.0;60.0;13.8;38.3;48.0
19:00;Altonaer FC 93 vs SSV Jeddeloh;Germany 4;1.65 (2);26.2;52.2;21.6;2;⚠️ RÓŻNICA (KNN:1 XGB:2);40.0;20.0;40.0;17.0;22.7;60.4
jutro 00:00;Chapecoense AF vs Atletico MG;Brazil 1;3.0 (1);48.1;28.3;23.6;1;✅ OBA ZGODNE (1);50.0;25.0;25.0;46.9;22.6;30.5
04:00;Marquense vs Club Xelaju;Guatemala 1;2.1 (1);46.8;24.4;28.8;1;✅ OBA ZGODNE (1);50.0;30.0;20.0;44.6;28.0;27.4
21:00;Cambridge United vs Swindon Town;England 4;1.7 (1);46.0;27.7;26.3;1;⚠️ RÓŻNICA (KNN:2 XGB:1);35.0;25.0;40.0;53.4;27.1;19.5
14:00;FC Roskilde vs Naestved;Denmark 3;3.7 (2);44.0;23.2;32.8;1;✅ OBA ZGODNE (1);40.0;35.0;25.0;46.7;31.3;22.0
13:00;Holbæk B&I vs Nykoebing FC;Denmark 4;2.05 (2);35.7;41.0;23.3;2;⚠️ RÓŻNICA (KNN:1 XGB:2);45.0;15.0;40.0;29.5;28.9;41.6
14:00;Brabrand vs FC Helsingoer;Denmark 3;3.3 (1);31.1;28.0;40.9;X;✅ OBA ZGODNE (X);30.0;45.0;25.0;31.9;38.1;30.0
15:00;Altavilla vs Treviso;Italy 4;1.83 (2);34.0;40.5;25.5;2;⚠️ RÓŻNICA (KNN:1 XGB:2);40.0;25.0;35.0;30.0;25.8;44.2
15:00;ASDC Gozzano vs Lavagnese;Italy 4;1.83 (1);37.8;26.4;35.8;1;⚠️ RÓŻNICA (KNN:X XGB:1);20.0;45.0;35.0;49.7;29.7;20.6
10:35;Macarthur FC vs Newcastle Jets;Australia 1;2.45 (2);34.8;35.8;29.3;2;⚠️ RÓŻNICA (KNN:1 XGB:2);35.0;30.0;35.0;34.7;28.9;36.4
20:00;Barracas Central vs Sarmiento;Argentina 1;2.45 (1);32.2;34.1;33.7;2;⚠️ RÓŻNICA (KNN:X XGB:1);30.0;35.0;35.0;33.6;32.9;33.5
