Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
13:30;Tampines Rovers FC vs Young Lions;Singapore 1;1.07 (1);100.0;0.0;0.0;1;1;8:1;WYGRANA;7.0
10:30;Persijap vs PSBS Biak Numfor;Indonesia 1;1.09 (1);95.0;0.0;5.0;1;1;2:0;WYGRANA;9.000000000000014
15:00;Kelantan United vs Selangor;Malaysia 1;1.22 (2);10.0;90.0;0.0;2;2;0:6;WYGRANA;22.0
20:30;RasenBallsport Leipzig vs Union Berlin;Germany 1;1.42 (1);90.0;0.0;10.0;1;1;3:1;WYGRANA;42.0
19:30;Seekirchen vs Kufstein;Austria 3;1.27 (1);85.0;5.0;10.0;1;1;1:0;WYGRANA;27.0
19:30;Oberwart vs Retz;Austria 3;1.27 (1);85.0;0.0;15.0;1;1;4:0;WYGRANA;27.0
16:00;Al-Wasl vs Dibba Al Fujairah;U.A.E. 1;1.2 (1);85.0;5.0;10.0;1;1;4:2;WYGRANA;20.0
jutro 00:15;Lanus vs Central Cordoba de Santiago;Argentina 1;1.5 (1);85.0;10.0;5.0;1;X;0:0;PRZEGRANA;-100.0
14:00;Sukhothai FC vs Ratchaburi FC;Thailand 1;1.9 (2);15.0;80.0;5.0;2;2;1:2;WYGRANA;90.0
14:30;FC Kolos Kovalivka vs SC Poltava;Ukraine 1;1.2 (1);80.0;5.0;15.0;1;1;2:0;WYGRANA;20.0
20:45;SSC Napoli vs Cremonese;European Championship U-21 1;1.33 (1);75.0;10.0;15.0;1;1;4:0;WYGRANA;33.0
12:30;Brunswick Juventus vs North Sunshine Eagles;Australia 3;1.72 (1);75.0;5.0;20.0;1;2;1:2;PRZEGRANA;-100.0
19:00;Viktoria Aschaffenburg vs Nuernberg II;Germany 4;1.44 (2);15.0;70.0;15.0;2;2;0:1;WYGRANA;44.0
15:00;Al-Ittihad vs Al-Futowa;Syria 1;1.2 (1);70.0;10.0;20.0;1;1;4:1;WYGRANA;20.0
14:00;Persib Bandung vs Arema;Indonesia 1;1.3 (1);70.0;10.0;20.0;1;X;0:0;PRZEGRANA;-100.0
jutro 00:00;Union La Calera vs Coquimbo Unido;Chile 1;3.2 (1);10.0;70.0;20.0;2;2;1:2;WYGRANA;0.0
