Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:00;Esperance vs Zarzis;Tunisia 1;1.22 (1);72.0;6.9;21.1;1;✅ OBA ZGODNE (1);72.0;28.0;0.0;72.0;16.5;11.5;X;2:2;PRZEGRANA;-100.0
16:00;Duhok vs Al Gharraf;Iraq 1;3.9 (2);67.1;18.5;14.3;1;✅ OBA ZGODNE (1);84.0;4.0;12.0;55.9;21.2;22.9;X;1:1;PRZEGRANA;-100.0
18:45;Al Bataeh vs Al-Ain;U.A.E. 1;1.3 (2);13.2;66.5;20.3;2;✅ OBA ZGODNE (2);8.0;20.0;72.0;16.6;20.5;62.9;2;0:2;WYGRANA;30.0
22:30;Spanish Town Police FC vs Portmore United;Jamaica 1;1.16 (2);15.3;65.0;19.7;2;✅ OBA ZGODNE (2);24.0;24.0;52.0;9.5;16.9;73.6;2;0:1;WYGRANA;15.999999999999986
14:30;Zoria Ługańsk vs Szachtar Donieck;Ukraine 1;1.3 (2);15.3;64.9;19.8;2;✅ OBA ZGODNE (2);16.0;16.0;68.0;14.9;22.3;62.8;2;1:2;WYGRANA;30.0
16:00;Kerala Blasters FC vs Delhi Dynamos FC;India ISL 1;1.66 (1);62.5;17.3;20.2;1;✅ OBA ZGODNE (1);72.0;16.0;12.0;56.2;23.0;20.8;1;2:1;WYGRANA;66.0
20:00;Wieczysta Krakow vs Polonia Bytom;Poland 2;1.8 (1);62.4;14.8;22.8;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;56.0;24.7;19.4;1;4:3;WYGRANA;80.0
18:10;Al Najma vs Al-Taawon;Saudi Arabia 1;1.48 (2);18.4;62.3;19.4;2;✅ OBA ZGODNE (2);20.0;12.0;68.0;17.3;24.3;58.5;2;1:2;WYGRANA;48.0
18:30;Zakho vs Al Kahrabaa;Iraq 1;1.65 (1);59.4;18.2;22.4;1;✅ OBA ZGODNE (1);72.0;16.0;12.0;51.0;26.7;22.3;1;2:1;WYGRANA;65.0
21:00;PSV Eindhoven vs PEC Zwolle;Eredivisie;1.25 (1);58.4;19.0;22.6;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;57.3;21.6;21.1;1;6:1;WYGRANA;25.0
20:00;Casa Pia vs Braga;Portugal 1;5.25 (1);23.0;57.2;19.7;2;✅ OBA ZGODNE (2);16.0;20.0;64.0;27.7;19.6;52.7;2;0:1;WYGRANA;0.0
15:00;Zesco United vs NAPSA Stars FC;Zambia 1;1.6 (1);56.6;17.4;26.0;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;59.6;24.7;15.6;X;1:1;PRZEGRANA;-100.0
21:00;Salford City vs Bromley;England 4;1.8 (1);54.9;20.4;24.7;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;51.5;25.2;23.3;1;2:0;WYGRANA;80.0
