Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
17:30;Young Africans vs Mbeya City;Tanzania 1;1.09 (1);94.0;1.5;4.6;1;✅ OBA ZGODNE (1);100.0;0.0;0.0;89.9;7.6;2.4;1;6:0;WYGRANA;9.000000000000014
18:30;Stade Malien Bamako vs US Bougouba;Mali 1;1.45 (1);70.9;12.6;16.4;1;✅ OBA ZGODNE (1);76.0;8.0;16.0;67.6;22.0;10.4;1;1:0;WYGRANA;45.0
jutro 00:00;Jalapa vs Real Madriz;Nicaragua 1;1.61 (1);59.6;13.3;27.2;1;✅ OBA ZGODNE (1);60.0;32.0;8.0;59.3;24.0;16.8;Brak/Odwolany;-;Odwolany;0.0
16:00;Chernomorets 1919 Burgas vs Ludogorets Razgrad II;Bulgaria 2;1.53 (1);59.2;18.9;21.9;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;58.7;23.1;18.1;X;0:0;PRZEGRANA;-100.0
20:45;Hanwell Town vs Farnham Town;England 7;1.72 (2);20.0;56.0;24.0;2;✅ OBA ZGODNE (2);16.0;24.0;60.0;22.7;24.0;53.3;X;1:1;PRZEGRANA;-100.0
23:00;H&H Export vs Diriangén;Nicaragua 1;1.7 (2);15.4;55.2;29.4;2;✅ OBA ZGODNE (2);12.0;28.0;60.0;17.7;30.4;52.0;2;0:2;WYGRANA;70.0
20:45;Peterborough United vs Port Vale;England 3;1.61 (1);54.3;22.8;22.8;1;✅ OBA ZGODNE (1);56.0;20.0;24.0;53.2;24.7;22.0;2;1:3;PRZEGRANA;-100.0
18:00;Al-Hidd vs Muharraq;Bahrain 1;1.53 (2);21.3;53.9;24.7;2;✅ OBA ZGODNE (2);24.0;28.0;48.0;19.6;22.6;57.8;2;0:1;WYGRANA;53.0
15:55;Dhofar vs Al Rustaq;Oman 1;1.83 (1);52.1;21.3;26.6;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;46.8;28.3;24.9;2;0:1;PRZEGRANA;-100.0
18:00;Al-Najma vs Budaiya;Bahrain 1;1.9 (1);51.1;22.1;26.9;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;50.4;26.2;23.4;2;1:2;PRZEGRANA;-100.0
20:30;Bakaridjan vs Diarra;Mali 1;2.5 (2);23.7;49.9;26.4;2;✅ OBA ZGODNE (2);20.0;28.0;52.0;26.2;25.3;48.6;2;1:2;WYGRANA;150.0
16:00;Septemvri Sofia vs Spartak Varna;Bulgaria 1;2.0 (1);49.9;21.0;29.1;1;✅ OBA ZGODNE (1);52.0;32.0;16.0;48.6;27.1;24.3;X;0:0;PRZEGRANA;-100.0
20:30;Dock Sud vs Deportivo Merlo;Argentina 3;2.75 (2);36.4;49.0;14.6;2;✅ OBA ZGODNE (2);44.0;4.0;52.0;31.3;21.7;47.0;X;1:1;PRZEGRANA;-100.0
18:30;FC Mali Coura vs ASKO;Mali 1;2.15 (2);25.9;48.6;25.5;2;✅ OBA ZGODNE (2);24.0;24.0;52.0;27.2;26.4;46.3;1;2:1;PRZEGRANA;-100.0
18:30;Montana vs Slavia Sofia;Bulgaria 1;1.95 (2);24.8;48.5;26.7;2;✅ OBA ZGODNE (2);24.0;24.0;52.0;25.4;28.4;46.2;X;0:0;PRZEGRANA;-100.0
16:00;Spartak Pleven vs Fratria;Bulgaria 2;1.95 (2);25.6;47.5;27.0;2;✅ OBA ZGODNE (2);28.0;24.0;48.0;23.9;28.9;47.1;X;1:1;PRZEGRANA;-100.0
16:00;Vihren vs Sportist Svoge;Bulgaria 2;2.15 (1);47.0;29.4;23.5;1;✅ OBA ZGODNE (1);52.0;20.0;28.0;43.7;25.9;30.4;1;4:1;WYGRANA;115.0
19:00;CS Constantine vs MC Alger;Algeria 1;2.9 (2);46.3;24.7;29.0;1;✅ OBA ZGODNE (1);40.0;36.0;24.0;50.5;24.3;25.2;1;2:0;WYGRANA;0.0
15:00;Mashujaa vs Singida Black Stars;Tanzania 1;3.4 (1);20.1;46.3;33.6;2;✅ OBA ZGODNE (2);8.0;36.0;56.0;28.2;32.0;39.9;X;1:1;PRZEGRANA;-100.0
20:30;Comunicaciones vs CASD Camioneros;Argentina 3;3.3 (2);43.7;24.4;31.8;1;✅ OBA ZGODNE (1);48.0;36.0;16.0;40.9;29.0;30.0;2;1:2;PRZEGRANA;-100.0
jutro 01:00;Mictlán vs Mixco;Guatemala 1;2.05 (1);43.1;26.2;30.7;1;✅ OBA ZGODNE (1);44.0;32.0;24.0;42.5;29.8;27.7;Brak/Odwolany;-;Odwolany;0.0
18:20;Oman FC vs Al-Nasr Salalah;Oman 1;2.55 (2);38.6;39.2;22.1;2;⚠️ RÓŻNICA (KNN:2 XGB:1);40.0;16.0;44.0;37.7;26.2;36.1;X;0:0;PRZEGRANA;-100.0
17:00;Pirin Blagoevgrad vs Hebar;Bulgaria 2;2.9 (2);39.1;25.4;35.5;1;⚠️ RÓŻNICA (KNN:X XGB:1);32.0;44.0;24.0;43.9;29.8;26.3;X;2:2;PRZEGRANA;-100.0
17:00;Al-Jazeera vs Al Buqaa;Jordan 1;2.35 (1);37.7;30.1;32.2;1;✅ OBA ZGODNE (1);36.0;36.0;28.0;38.9;29.6;31.5;2;1:2;PRZEGRANA;-100.0
21:00;Bromley vs Cambridge United;England 4;2.4 (2);31.2;32.5;36.3;X;⚠️ RÓŻNICA (KNN:1 XGB:X);36.0;36.0;28.0;28.0;36.5;35.5;X;0:0;WYGRANA;0.0
17:00;Aluminij vs Mura;Slovenia 1;2.5 (1);34.9;34.7;30.4;1;⚠️ RÓŻNICA (KNN:X XGB:1);32.0;36.0;32.0;36.9;26.6;36.4;1;2:1;WYGRANA;150.0
