Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
15:00;US Biskra vs AS Khroub;Algeria 2;1.22 (1);89.2;4.9;5.9;1;;;
18:00;ND Triglav vs Rudar Velenje;Slovenia 2;1.3 (1);82.2;4.2;13.6;1;1.5;-0.18;GRUBA GRA (Spadek)
15:00;Kouba vs KolÃ©a;Algeria 2;1.4 (1);80.2;5.7;14.1;1;1.45;-0.08;Stabilnie
19:00;NK Bistrica vs Jesenice;Slovenia 2;1.4 (1);76.2;8.5;15.2;1;1.34;0.02;Stabilnie
15:00;JS Jijel vs Teleghma;Algeria 2;1.42 (1);75.4;6.3;18.3;1;;;
19:00;Nk Brinje Grosuplje vs NK Krka;Slovenia 2;1.33 (1);74.4;8.1;17.5;1;1.36;-0.06;Stabilnie
18:30;Olimpia Grudziądz vs ŁKS Łódź II;Poland 3;1.42 (1);70.2;9.1;20.8;1;;;
19:30;Orleans vs Villefranche Beaujolais;France 3;1.53 (1);69.7;18.4;12.0;1;;;
15:00;ASM Oran vs Tlemcen;Algeria 2;1.5 (1);69.4;11.0;19.6;1;1.72;-0.2;GRUBA GRA (Spadek)
20:45;Inverness CT vs Queen of South;Scotland 3;1.48 (1);68.0;14.1;17.9;1;1.46;0.01;Stabilnie
19:30;Sochaux vs Quevilly;France 3;1.5 (1);67.9;13.4;18.7;1;;;
15:00;Temouchent vs BÃ©char Djedid;Algeria 2;1.3 (1);63.9;13.4;22.7;1;;;
15:00;MSP Batna vs Nrb Beni Oulbene;Algeria 2;1.3 (1);63.1;10.3;26.7;1;;;
13:30;Diala vs Al Najaf;Iraq 1;1.83 (1);58.9;22.6;18.6;1;;;
19:10;Favoritner AC vs Krems / Rehberg;Austria 3;3.5 (1);15.9;27.4;56.7;X;;;
15:00;MO BÃ©jaÃ¯a vs CA Batna;Algeria 2;1.66 (1);56.7;25.5;17.8;1;;;
15:00;Stepojevac Vaga vs Tekstilac Odzaci;Serbia 2;1.4 (2);19.6;56.6;23.8;2;;;
19:00;AB vs FC Roskilde;Denmark 3;1.57 (1);56.1;21.6;22.3;1;;;
20:00;Rouen vs Caen;France 3;1.72 (1);55.2;16.8;27.9;1;;;
21:00;Universitario Popayan vs Real Cartagena;Colombia 2;1.8 (2);22.4;54.6;23.0;2;;;
19:00;Cordoba vs Mirandes;Spain 2;5.0 (2);54.1;5.9;40.0;1;;;
22:30;Nacional vs Luqueno;Paraguay 1;1.9 (1);53.5;22.4;24.1;1;;;
19:30;Wiener SK vs SC Wiener Viktoria;Austria 3;2.0 (1);53.1;15.8;31.1;1;;;
19:30;Dijon vs Versailles;France 3;1.66 (1);53.0;22.6;24.4;1;;;
19:00;Les Herbiers vs Lorient B;France 4;1.8 (1);52.6;20.8;26.6;1;;;
19:30;Fleury Merogis U.S vs Bourg en Bresse Peronnas;France 3;1.72 (1);52.5;21.7;25.8;1;;;
13:30;Naft Misan vs Erbil;Iraq 1;1.85 (2);23.6;52.0;24.4;2;;;
20:45;Partick Thistle vs Ross County;Scotland 2;1.72 (1);51.7;22.1;26.1;1;;;
18:00;FK Pohronie vs Puchov;Slovakia 2;2.05 (1);51.7;28.4;19.9;1;;;
19:30;St. Malo vs Angouleme;France 4;1.85 (1);51.6;23.0;25.5;1;;;
19:00;SV Lafnitz vs SC Weiz;Austria 3;1.9 (1);49.7;22.1;28.2;1;;;
16:00;Opatija vs NK Dugopolje;Croatia 2;2.75 (1);22.9;49.4;27.7;2;;;
15:00;CR BÃ©ni Thour vs JS Bordj Ménaïel;Algeria 2;2.2 (1);49.2;24.8;26.0;1;;;
19:30;Oberwart vs Donau;Austria 3;1.8 (1);48.8;16.2;35.0;1;;;
13:00;Hapoel Afula vs Bnei Yehuda Tel Awiw;Israel 2;1.83 (2);24.3;48.4;27.3;2;;;
20:45;Raith Rovers vs Ayr United;Scotland 2;2.75 (2);48.3;25.8;25.9;1;;;
18:30;Sportfreunde Siegen vs FC Koeln II;Germany 4;2.25 (1);47.3;12.4;40.2;1;;;
19:00;Barakaldo vs Real Madrid Castilla;Spain 3;1.9 (1);47.2;23.9;28.9;1;;;
19:00;Babelsberg vs BSG Chemie Leipzig;Germany 4;3.4 (2);46.0;31.9;22.2;1;;;
22:00;Rionegro Aguilas vs Alianza Petrolera;Colombia 1;2.1 (1);45.5;25.7;28.8;1;;;
19:00;SC Gleisdorf vs Deutschlandsberger SC;Austria 3;3.1 (1);34.3;45.0;20.7;2;;;
17:30;Lamboi vs Old Edwardians;Sierra Leone 1;2.25 (2);31.5;44.6;23.9;2;;;
19:00;HIK vs Fremad Amager;Denmark 3;2.5 (2);23.0;44.1;32.9;2;;;
15:00;MO Constantine vs NC Magra;Algeria 2;2.37 (1);29.3;26.9;43.7;X;;;
19:00;FC Helsingoer vs Vendsyssel FF;Denmark 3;1.9 (2);25.6;43.3;31.1;2;;;
13:00;Hapoel Nazareth Illit vs Maccabi Kabilio Jaffa;Israel 2;2.15 (1);42.7;29.7;27.6;1;;;
19:00;Thisted vs Skive;Denmark 3;3.0 (2);42.5;30.2;27.3;1;;;
17:30;Bhantal vs Kallon;Sierra Leone 1;2.5 (1);26.6;42.3;31.1;2;;;
19:30;Valenciennes vs Aubagne;France 3;1.75 (1);41.9;35.1;22.9;1;;;
20:45;Y Rhyl 1879 vs Denbigh Town;Wales 2;2.2 (1);41.5;27.8;30.7;1;;;
19:00;Treibach vs Kalsdorf;Austria 3;1.83 (2);27.0;39.9;33.1;2;;;
19:30;Stade Briochin vs Gobelins F.C;France 3;2.8 (2);39.7;29.3;31.0;1;;;
19:00;Sportfreunde Lotte vs SV Roedinghausen;Germany 4;2.15 (1);39.5;30.3;30.2;1;;;
19:30;Chateauroux vs Concarneau;France 3;2.55 (2);33.1;37.8;29.1;2;;;
jutro 00:30;Sportivo Ameliano vs Libertad;Paraguay 1;2.15 (2);36.4;26.4;37.1;X;;;
20:45;Ruthin Town vs Buckley Town;Wales 2;2.3 (1);36.1;31.5;32.4;1;;;
