Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
20:45;AFC Fylde vs Marine;England 6;1.27 (1);75.1;6.4;18.6;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;75.2;17.6;7.3
20:45;Southend United vs Yeovil Town;England 5;1.33 (1);71.6;14.0;14.4;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;69.3;17.3;13.4
20:45;Hereford vs Macclesfield;England 6;3.4 (1);18.7;57.3;24.0;2;✅ OBA ZGODNE (2);25.0;25.0;50.0;14.5;23.3;62.2
20:45;Maidenhead United vs Bath City;England 6;1.45 (1);52.7;20.5;26.9;1;✅ OBA ZGODNE (1);40.0;30.0;30.0;61.1;24.8;14.2
20:45;Atherstone Town vs Evesham United;England 7;1.85 (2);19.5;51.9;28.5;2;✅ OBA ZGODNE (2);20.0;20.0;60.0;19.2;34.2;46.5
20:45;Denbigh Town vs Holyhead Hotspur;Wales 2;1.5 (1);51.0;15.6;33.4;1;✅ OBA ZGODNE (1);55.0;35.0;10.0;48.3;32.4;19.3
21:30;Valladolid vs Cadiz;Spain 2;1.72 (1);49.4;16.8;33.8;1;⚠️ RÓŻNICA (KNN:X XGB:1);35.0;45.0;20.0;59.0;26.3;14.6
20:45;Enfield Town vs Chesham United;England 6;3.1 (1);24.3;48.9;26.7;2;✅ OBA ZGODNE (2);35.0;25.0;40.0;17.2;27.9;54.9
20:00;RC Deportivo vs Cordoba;Spain 2;2.05 (1);47.3;24.8;27.9;1;✅ OBA ZGODNE (1);55.0;15.0;30.0;42.1;36.5;21.4
20:45;Woking vs Altrincham;England 5;1.9 (1);41.0;28.1;30.9;1;⚠️ RÓŻNICA (KNN:X XGB:1);30.0;35.0;35.0;48.4;28.1;23.5
23:30;2 de Mayo vs Nacional;Paraguay 1;2.15 (2);40.9;37.0;22.1;1;⚠️ RÓŻNICA (KNN:1 XGB:2);50.0;15.0;35.0;34.8;26.9;38.3
20:45;Alfreton Town vs Chorley;England 6;2.2 (2);31.9;39.1;29.0;2;⚠️ RÓŻNICA (KNN:1 XGB:2);40.0;25.0;35.0;26.5;31.7;41.8
15:00;Hapoel Nazareth Illit vs Bnei Yehuda Tel Awiw;Israel 2;2.25 (2);31.3;38.4;30.3;2;⚠️ RÓŻNICA (KNN:1 XGB:2);35.0;30.0;35.0;28.8;30.5;40.7
19:00;Mirandes vs Albacete;Spain 2;2.4 (2);37.0;34.1;28.9;1;✅ OBA ZGODNE (1);40.0;20.0;40.0;35.0;34.8;30.2
20:45;Wealdstone vs Hartlepool United;England 5;2.75 (2);27.0;36.2;36.8;X;✅ OBA ZGODNE (X);20.0;40.0;40.0;31.7;34.6;33.7
20:45;Spennymoor Town FC vs Kidderminster Harriers;England 6;1.9 (2);28.4;36.4;35.3;2;⚠️ RÓŻNICA (KNN:X XGB:2);30.0;40.0;30.0;27.3;32.1;40.6
20:45;Weston Super Mare vs Hemel Hempstead;England 6;2.62 (2);36.2;36.3;27.5;2;⚠️ RÓŻNICA (KNN:2 XGB:1);30.0;25.0;45.0;40.4;29.1;30.5
20:45;Hanwell Town vs Sholing;England 7;2.5 (1);34.4;31.4;34.3;1;⚠️ RÓŻNICA (KNN:1 XGB:X);40.0;20.0;40.0;30.6;43.8;25.6
