Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
18:30;Al-Wasl vs Al-Dhafra;U.A.E. 1;1.3 (1);90.0;10.0;0.0;1;1;3:0;WYGRANA;30.0
21:00;Lossiemouth vs Brora Rangers;Scotland 5;1.12 (2);0.0;85.0;15.0;2;2;1:3;WYGRANA;12.000000000000014
22:10;Deportivo Pasto vs Chico FC;Colombia 1;1.5 (1);80.0;10.0;10.0;1;1;2:0;WYGRANA;50.0
22:00;Juticalpa vs CD Marathon;Honduras 1;1.5 (2);15.0;80.0;5.0;2;2;0:4;WYGRANA;50.0
jutro 00:20;La Equidad vs Deportivo Pereira;Colombia 1;1.53 (1);80.0;15.0;5.0;1;X;2:2;PRZEGRANA;-100.0
21:00;Milton Keynes Dons vs Colchester United;England 4;1.75 (1);75.0;15.0;10.0;1;1;1:0;WYGRANA;75.0
22:00;Mixco vs Deportivo Achuapa;Guatemala 1;1.4 (1);70.0;5.0;25.0;1;1;1:0;WYGRANA;40.0
18:00;Istanbul Basaksehir vs Antalyaspor;Turkey 1;1.53 (1);70.0;5.0;25.0;1;X;0:0;PRZEGRANA;-100.0
22:00;JS Kabylie vs JS Saoura;Algeria 1;1.55 (1);70.0;15.0;15.0;1;2;0:1;PRZEGRANA;-100.0
19:30;Al-Garrafa vs Al-Ahli;Qatar 1;1.9 (1);65.0;15.0;20.0;1;2;1:4;PRZEGRANA;-100.0
23:00;La Horquetta Rangers vs Central FC;Trinidad and Tobago 1;1.5 (2);15.0;65.0;20.0;2;2;1:2;WYGRANA;50.0
18:00;Chojniczanka Chojnice vs ŁKS Łódź II;Poland 3;1.55 (1);65.0;10.0;25.0;1;2;0:1;PRZEGRANA;-100.0
19:45;FC Mali Coura vs Diarra;Mali 1;1.57 (2);25.0;60.0;15.0;2;2;0:1;WYGRANA;57.0
22:00;CR Belouizdad vs ASO Chlef;Algeria 1;1.61 (1);60.0;15.0;25.0;1;1;2:1;WYGRANA;61.0
22:00;USM Alger vs ES Setif;Algeria 1;1.53 (1);60.0;25.0;15.0;1;1;2:0;WYGRANA;53.0
19:30;Unia Skierniewice vs Zagłębie Sosnowiec;Poland 3;1.44 (1);60.0;15.0;25.0;1;1;3:2;WYGRANA;44.0
