Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
16:00;HSC Hannover vs Meppen;Germany 4;1.08 (2);0.7;89.6;9.8;2;✅ OBA ZGODNE (2);0.0;15.0;85.0;1.1;6.3;92.6
20:00;Al Akhdoud vs Al Nassr FC;Saudi Arabia 1;1.12 (2);6.3;89.2;4.5;2;✅ OBA ZGODNE (2);10.0;5.0;85.0;3.9;4.1;92.0
10:30;Pusamania Borneo vs PSBS Biak Numfor;Indonesia 1;1.14 (1);84.5;1.3;14.2;1;✅ OBA ZGODNE (1);80.0;20.0;0.0;87.5;10.4;2.1
13:30;Coventry City vs Sheffield Wednesday;England 2;1.12 (1);84.2;7.8;8.0;1;✅ OBA ZGODNE (1);80.0;10.0;10.0;87.0;6.7;6.3
18:30;Rochdale vs Wealdstone;England 5;1.3 (1);80.2;9.2;10.7;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;83.6;11.2;5.3
16:00;Needham Market vs Barwell FC;England 7;1.25 (1);79.2;5.8;14.9;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;78.7;14.9;6.4
16:00;St.Johnstone vs Airdrieonians;Scotland 2;1.25 (1);76.7;6.5;16.8;1;✅ OBA ZGODNE (1);75.0;20.0;5.0;77.9;14.6;7.5
19:00;SV St. Anna vs Oedt;Austria 3;1.22 (2);7.8;75.7;16.5;2;✅ OBA ZGODNE (2);10.0;25.0;65.0;6.3;10.8;82.9
21:05;Rennes vs Angers;France 1;1.36 (1);75.3;8.2;16.6;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;72.1;17.7;10.3
16:00;Southport vs Leamington;England 6;1.44 (1);73.6;7.9;18.5;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;69.3;20.8;9.9
18:30;FC Barcelona vs Espanyol;Spain 1;1.28 (1);70.5;13.7;15.9;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;74.2;13.1;12.8
16:00;Worthing vs Dagenham & Redbridge;England 6;1.33 (1);70.5;8.6;20.9;1;✅ OBA ZGODNE (1);60.0;30.0;10.0;77.5;14.8;7.7
14:00;RW Essen vs Ingolstadt;Germany 3;1.61 (1);67.2;14.6;18.2;1;✅ OBA ZGODNE (1);65.0;10.0;25.0;68.7;23.6;7.6
16:00;Chesterfield vs Tranmere Rovers;England 4;1.5 (1);66.5;17.1;16.4;1;✅ OBA ZGODNE (1);70.0;10.0;20.0;64.1;20.7;15.2
19:00;Kayserispor vs Fenerbahce;Turkey 1;1.44 (2);16.2;65.8;17.9;2;✅ OBA ZGODNE (2);10.0;25.0;65.0;20.4;13.2;66.3
13:00;Ararat vs Alashkert FC;Armenia 1;1.5 (2);17.1;65.1;17.8;2;✅ OBA ZGODNE (2);25.0;15.0;60.0;11.9;19.6;68.5
16:00;Scunthorpe United vs Brackley Town;England 5;1.45 (1);64.2;12.0;23.9;1;✅ OBA ZGODNE (1);60.0;25.0;15.0;67.0;23.1;10.0
18:00;Al Najma vs Al Suqoor;Saudi Arabia 1;1.55 (2);15.3;64.0;20.7;2;✅ OBA ZGODNE (2);15.0;20.0;65.0;15.5;21.2;63.3
16:00;Burton Albion vs AFC Wimbledon;England 3;1.8 (1);58.6;18.6;22.9;1;✅ OBA ZGODNE (1);65.0;15.0;20.0;54.3;28.1;17.6
16:00;Salford City vs Gillingham;England 4;1.61 (1);58.3;22.9;18.9;1;✅ OBA ZGODNE (1);50.0;20.0;30.0;63.8;18.1;18.1
16:00;Canvey vs Dartford;England 7;1.5 (2);20.8;55.9;23.3;2;✅ OBA ZGODNE (2);25.0;15.0;60.0;18.0;28.8;53.2
16:00;Southampton vs Derby County;England 2;1.75 (1);54.6;11.3;34.1;1;✅ OBA ZGODNE (1);60.0;35.0;5.0;51.0;33.5;15.5
16:00;Bury Town vs Stamford AFC;England 7;1.8 (1);54.2;15.6;30.1;1;✅ OBA ZGODNE (1);55.0;35.0;10.0;53.7;26.9;19.3
16:00;Dumbarton vs Stirling Albion;Scotland 4;1.7 (1);53.6;22.8;23.6;1;✅ OBA ZGODNE (1);45.0;25.0;30.0;59.3;22.7;18.0
16:00;Chorley vs Curzon;England 6;1.7 (1);53.5;22.4;24.1;1;✅ OBA ZGODNE (1);55.0;20.0;25.0;52.5;26.8;20.7
20:00;Saint-Etienne vs Dunkerque;France 2;1.61 (1);53.3;18.8;27.9;1;✅ OBA ZGODNE (1);40.0;35.0;25.0;62.1;23.2;14.7
