Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
20:00;Al Nassr FC vs Al-Ettifaq;Saudi Arabia 1;1.16 (1);89.8;3.6;6.7;1;✅ OBA ZGODNE (1);100.0;0.0;0.0;82.9;11.1;6.0
19:00;Altonaer FC 93 vs Oldenburg;Germany 4;1.25 (2);10.4;75.5;14.1;2;✅ OBA ZGODNE (2);8.0;8.0;84.0;12.0;18.1;69.9
20:45;Luton Town vs Northampton Town;England 3;1.28 (1);73.9;11.1;14.9;1;✅ OBA ZGODNE (1);80.0;12.0;8.0;69.9;16.9;13.2
18:00;Brno vs Viktoria Žižkov;Czech Republic 2;1.27 (1);72.2;8.5;19.3;1;✅ OBA ZGODNE (1);76.0;20.0;4.0;69.6;18.9;11.5
18:30;Djoliba vs Onze Créateurs;Mali 1;1.33 (1);71.9;11.1;17.0;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;69.2;20.3;10.5
18:00;Al-Hussein SC vs Ramtha SC;Jordan 1;1.45 (1);66.6;18.9;14.5;1;✅ OBA ZGODNE (1);72.0;4.0;24.0;63.0;21.5;15.4
15:00;Reggina vs Enna;Italy 4;1.42 (1);65.8;9.0;25.2;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;64.4;26.0;9.6
17:30;Milazzo vs Vigor Lamezia;Italy 4;1.72 (2);16.0;64.6;19.5;2;✅ OBA ZGODNE (2);12.0;16.0;72.0;18.6;21.8;59.6
23:00;Cacahuatique vs HÃ©rcules;El Salvador 1;1.5 (1);64.2;8.5;27.3;1;✅ OBA ZGODNE (1);64.0;32.0;4.0;64.3;24.1;11.6
17:00;Sparta Prague B vs SK Lisen;Czech Republic 2;1.48 (2);14.0;63.3;22.7;2;✅ OBA ZGODNE (2);12.0;28.0;60.0;15.3;19.1;65.6
20:00;Azam FC vs JKT Tanzania;Tanzania 1;1.45 (1);63.2;20.6;16.2;1;✅ OBA ZGODNE (1);64.0;8.0;28.0;62.7;21.6;15.7
20:30;Binga vs Derby AcadÃ©mie;Mali 1;5.0 (2);61.3;19.5;19.2;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;56.8;21.4;21.8
19:30;FC Zuerich II vs FC Kreuzlingen;Switzerland 3;1.65 (1);60.7;15.5;23.8;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;55.8;23.7;20.4
19:30;Arda Kardzhali vs Łudogorec Razgrad;Bulgaria 1;1.53 (2);21.5;59.4;19.1;2;✅ OBA ZGODNE (2);20.0;16.0;64.0;22.6;21.1;56.3
18:00;Schoeningen vs Blau-Weiss Lohne;Germany 4;2.15 (1);58.8;19.6;21.6;1;✅ OBA ZGODNE (1);76.0;16.0;8.0;47.3;25.4;27.4
18:00;Ústí nad Labem vs MFK Chrudim;Czech Republic 2;1.57 (1);58.6;19.7;21.7;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;54.9;22.8;22.2
17:00;Hanácká vs SK Prostejov;Czech Republic 2;1.65 (1);58.6;19.9;21.5;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;52.4;25.1;22.5
17:00;NKP Podhale vs SokÃ³Å‚ Kleczew;Poland 3;1.48 (1);56.7;24.8;18.6;1;✅ OBA ZGODNE (1);56.0;12.0;32.0;57.1;22.9;19.9
19:00;Vevey vs Breitenrain;Switzerland 3;1.55 (2);21.4;54.8;23.8;2;✅ OBA ZGODNE (2);24.0;20.0;56.0;19.6;26.4;54.0
17:00;Metalist 1925 vs Veres Rivne;Ukraine 1;4.75 (2);54.7;23.9;21.4;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;51.2;22.4;26.5
19:30;Bulle vs Lausanne II;Switzerland 3;1.83 (1);52.6;22.1;25.3;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;53.1;23.5;23.4
18:00;FK MAS Taborsko vs Budejovice;Czech Republic 2;5.5 (2);52.1;20.7;27.2;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;52.1;26.7;21.2
18:00;Basel II vs Schaffhausen;Switzerland 3;2.3 (2);26.1;51.4;22.6;2;✅ OBA ZGODNE (2);20.0;20.0;60.0;30.1;24.3;45.6
18:00;Warta Poznań vs Slask Wroclaw ll;Poland 3;4.75 (2);51.0;21.4;27.6;1;✅ OBA ZGODNE (1);56.0;32.0;12.0;47.7;24.6;27.7
22:30;Spanish Town Police FC vs Molynes United;Jamaica 1;3.7 (1);29.1;50.9;20.0;2;✅ OBA ZGODNE (2);32.0;20.0;48.0;27.1;20.1;52.8
23:00;Aurora vs Marquense;Guatemala 1;2.05 (1);50.1;15.4;34.5;1;✅ OBA ZGODNE (1);56.0;36.0;8.0;46.2;33.5;20.3
18:30;Paradiso vs Lugano II;Switzerland 3;1.85 (1);49.7;23.7;26.6;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;50.8;25.7;23.4
22:30;Portmore United vs Cavalier SC;Jamaica 1;1.95 (1);48.7;25.4;25.9;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;46.5;27.2;26.3
20:45;Sporting Escaldes vs CE Casa de Portugal;Andorra 2;2.2 (1);48.6;23.5;27.9;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;49.1;27.8;23.1
18:30;USFAS Bamako vs Réal Bamako;Mali 1;2.37 (2);28.1;48.2;23.7;2;✅ OBA ZGODNE (2);28.0;16.0;56.0;28.1;28.8;43.0
20:45;AFC Wimbledon vs Stockport;England 3;1.9 (2);25.4;48.1;26.5;2;✅ OBA ZGODNE (2);24.0;20.0;56.0;26.3;30.8;42.8
22:00;CD UT Cajamarca vs Sport Huancayo;Peru 1;2.1 (1);48.0;24.5;27.6;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;47.9;27.3;24.8
20:45;Stourbridge vs Needham Market;England 7;3.8 (1);27.8;46.6;25.6;2;✅ OBA ZGODNE (2);28.0;20.0;52.0;27.7;29.4;43.0
17:00;Banik Ostrava II vs Opava;Czech Republic 2;2.3 (2);27.0;45.4;27.7;2;✅ OBA ZGODNE (2);24.0;28.0;48.0;29.0;27.4;43.6
19:00;RW Erfurt vs VSG Altglienicke;Germany 4;1.9 (1);44.4;23.0;32.6;1;⚠️ RÓŻNICA (KNN:X XGB:1);36.0;44.0;20.0;49.9;25.1;25.0
17:00;Borussia Moenchengladbach II vs Borussia Dortmund II;Germany 4;1.9 (2);29.3;43.9;26.8;2;✅ OBA ZGODNE (2);32.0;24.0;44.0;27.5;28.7;43.8
19:30;SC Bruehl vs Kriens;Switzerland 3;2.25 (1);43.1;29.0;27.9;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;42.5;27.8;29.7
19:30;Bavois vs FC Grand-Saconnex;Switzerland 3;2.6 (2);43.1;37.4;19.5;1;⚠️ RÓŻNICA (KNN:2 XGB:1);40.0;12.0;48.0;45.2;24.4;30.4
17:00;Czerno More Warna vs CSKA 1948;Bulgaria 1;2.75 (2);43.0;25.7;31.3;1;✅ OBA ZGODNE (1);40.0;40.0;20.0;44.9;25.5;29.5
18:00;Bougouni vs Afrique Football Élite;Mali 1;2.87 (1);27.1;41.6;31.2;2;✅ OBA ZGODNE (2);20.0;36.0;44.0;31.9;28.1;40.1
20:00;Luzern II vs Cham;Switzerland 3;2.37 (1);28.8;40.9;30.3;2;✅ OBA ZGODNE (2);20.0;32.0;48.0;34.7;29.1;36.2
23:30;Fuerte San Francisco vs CD Platense Municipal;El Salvador 1;2.6 (2);33.1;40.3;26.6;2;⚠️ RÓŻNICA (KNN:2 XGB:1);24.0;24.0;52.0;39.2;28.3;32.6
19:30;Magesi FC vs Kaizer Chiefs;South Africa 1;1.95 (2);24.8;39.5;35.7;2;⚠️ RÓŻNICA (KNN:X XGB:2);20.0;48.0;32.0;28.0;27.5;44.5
18:00;FC Vlasim vs Pribram;Czech Republic 2;1.9 (1);39.1;26.2;34.7;1;⚠️ RÓŻNICA (KNN:X XGB:1);28.0;44.0;28.0;46.5;28.5;25.0
19:00;SC Villa vs Vipers SC;Uganda 1;2.7 (2);35.0;39.1;25.9;2;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;24.0;44.0;37.0;27.2;35.8
22:30;Dunbeholden vs Racing United;Jamaica 1;3.2 (1);38.6;36.4;25.0;1;✅ OBA ZGODNE (1);36.0;28.0;36.0;40.3;23.1;36.6
15:00;Nkwazi vs NAPSA Stars FC;Zambia 1;2.37 (1);38.5;36.0;25.5;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;24.0;44.0;42.8;26.6;30.6
17:00;Slavia Prague B vs Jihlava;Czech Republic 2;2.1 (1);37.8;34.0;28.2;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;28.0;40.0;41.7;28.3;30.1
18:00;Sportfreunde Lotte vs Schalke 04 II;Germany 4;2.45 (1);37.5;32.0;30.6;1;✅ OBA ZGODNE (1);40.0;24.0;36.0;35.8;34.9;29.3
19:00;ZFC Meuselwitz vs BFC Dynamo;Germany 4;2.45 (1);29.4;33.1;37.5;X;⚠️ RÓŻNICA (KNN:X XGB:1);20.0;48.0;32.0;35.7;30.4;33.9
19:30;Young Boys II vs Biel/Bienne;Switzerland 3;3.2 (1);26.0;36.6;37.4;X;⚠️ RÓŻNICA (KNN:X XGB:2);20.0;48.0;32.0;30.1;30.3;39.6
18:30;NK Celje vs Olimpija Lublana;Slovenia 1;1.85 (1);36.6;26.2;37.2;X;⚠️ RÓŻNICA (KNN:X XGB:1);28.0;52.0;20.0;42.3;27.4;30.4
