Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
15:00;Pogradeci vs Kastrioti;Albania 2;1.05 (1);96.1;0.2;3.7;1;✅ OBA ZGODNE (1);95.0;5.0;0.0;96.9;2.8;0.3
16:00;AS Khroub vs IB Khémis El Khechna;Algeria 2;1.25 (1);85.8;2.8;11.4;1;✅ OBA ZGODNE (1);95.0;5.0;0.0;79.7;15.6;4.7
15:00;Laci vs Burreli;Albania 2;1.2 (1);82.8;2.0;15.1;1;✅ OBA ZGODNE (1);75.0;25.0;0.0;88.0;8.5;3.4
15:00;Dinamo Zagrzeb vs Osijek;Croatia 1;1.16 (1);82.2;7.1;10.8;1;✅ OBA ZGODNE (1);85.0;5.0;10.0;80.3;14.6;5.1
16:00;Rangers vs Dundee United;Scotland 1;1.25 (1);79.6;9.4;11.0;1;✅ OBA ZGODNE (1);70.0;15.0;15.0;86.0;8.3;5.7
17:00;Dynamo Kijów vs Karpaty Lwów;Ukraine 1;1.38 (1);78.8;8.8;12.4;1;✅ OBA ZGODNE (1);85.0;5.0;10.0;74.7;17.3;8.0
20:00;Al Hilal vs Al-Taawon;Saudi Arabia 1;1.2 (1);77.4;8.4;14.2;1;✅ OBA ZGODNE (1);70.0;20.0;10.0;82.3;10.4;7.3
14:00;Osnabrueck vs FC Schweinfurt;Germany 3;1.3 (1);76.8;12.4;10.8;1;✅ OBA ZGODNE (1);70.0;10.0;20.0;81.3;11.4;7.3
21:30;FC Porto vs Famalicao;Portugal 1;1.4 (1);70.7;13.1;16.1;1;✅ OBA ZGODNE (1);75.0;10.0;15.0;67.9;20.2;11.9
13:30;Arda Kardzhali vs Montana;Bulgaria 1;1.42 (1);70.2;16.2;13.7;1;✅ OBA ZGODNE (1);80.0;5.0;15.0;63.6;19.5;17.0
