Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
22:30;Spanish Town Police FC vs Portmore United;Jamaica 1;1.16 (2);9.5;73.6;16.9;2;1.14;0.04;Stabilnie;2;0:1;WYGRANA;15.999999999999986
16:00;Esperance vs Zarzis;Tunisia 1;1.22 (1);72.0;11.5;16.5;1;1.28;-0.08;Stabilnie;X;2:2;PRZEGRANA;-100.0
18:45;Al Bataeh vs Al-Ain;U.A.E. 1;1.3 (2);16.6;62.9;20.5;2;;;;2;0:2;WYGRANA;30.0
14:30;Zoria Ługańsk vs Szachtar Donieck;Ukraine 1;1.3 (2);14.9;62.8;22.3;2;;;;2;1:2;WYGRANA;30.0
15:00;Zesco United vs NAPSA Stars FC;Zambia 1;1.6 (1);59.6;15.6;24.7;1;;;;X;1:1;PRZEGRANA;-100.0
18:10;Al Najma vs Al-Taawon;Saudi Arabia 1;1.48 (2);17.3;58.5;24.3;2;;;;2;1:2;WYGRANA;48.0
21:00;PSV Eindhoven vs PEC Zwolle;Eredivisie;1.25 (1);57.3;21.1;21.6;1;;;;1;6:1;WYGRANA;25.0
16:00;Kerala Blasters FC vs Delhi Dynamos FC;India ISL 1;1.66 (1);56.2;20.8;23.0;1;;;;1;2:1;WYGRANA;66.0
20:00;Wieczysta Krakow vs Polonia Bytom;Poland 2;1.8 (1);56.0;19.4;24.7;1;;;;1;4:3;WYGRANA;80.0
16:00;Duhok vs Al Gharraf;Iraq 1;3.9 (2);55.9;22.9;21.2;1;;;;X;1:1;PRZEGRANA;-100.0
16:30;Victoria United vs Dynamo de Douala;Cameroon 1;1.85 (1);53.7;21.9;24.4;1;;;;2;1:2;PRZEGRANA;-100.0
20:00;Damac FC vs Al Akhdoud;Saudi Arabia 1;1.66 (1);52.8;20.2;26.9;1;;;;1;2:0;WYGRANA;66.0
20:00;Casa Pia vs Braga;Portugal 1;5.25 (1);27.7;52.7;19.6;2;;;;2;0:1;WYGRANA;0.0
jutro 01:15;Lobos UPNFM vs Policia NFC;Honduras 1;1.8 (1);51.9;21.0;27.1;1;;;;2;0:1;PRZEGRANA;-100.0
21:00;Salford City vs Bromley;England 4;1.8 (1);51.5;23.3;25.2;1;;;;1;2:0;WYGRANA;80.0
18:30;Zakho vs Al Kahrabaa;Iraq 1;1.65 (1);51.0;22.3;26.7;1;;;;1;2:1;WYGRANA;65.0
16:00;Nasaf Qarshi vs Lokomotiv Tashkent;Uzbekistan 1;2.1 (1);47.3;25.8;27.0;1;;;;2;2:3;PRZEGRANA;-100.0
18:30;Al Quwa Al Jawiya vs Erbil;Iraq 1;2.15 (1);46.5;30.7;22.8;1;;;;X;1:1;PRZEGRANA;-100.0
20:00;Rayo Vallecano vs Espanyol;Spain 1;2.1 (1);44.6;28.0;27.5;1;;;;1;1:0;WYGRANA;110.0
16:00;Al-Sharjah vs Al-Wahda;U.A.E. 1;2.05 (2);28.8;44.4;26.8;2;;;;2;0:2;WYGRANA;104.99999999999997
21:30;Real Oviedo vs Villarreal;Spain 1;3.6 (1);25.0;44.3;30.7;2;;;;X;1:1;PRZEGRANA;-100.0
23:30;Dunbeholden vs Harbour View;Jamaica 1;2.3 (1);43.8;28.0;28.2;1;;;;1;4:0;WYGRANA;129.99999999999997
jutro 01:00;Defensa y Justicia vs Boca Juniors;Argentina 1;2.45 (2);29.6;42.9;27.4;2;;;;2;0:4;WYGRANA;145.00000000000003
19:00;Levante vs Sevilla FC;Spain 1;2.4 (1);41.7;30.7;27.6;1;;;;1;2:0;WYGRANA;140.0
16:00;Al Ittihad Kalba vs Bani Yas;U.A.E. 1;2.2 (2);30.7;40.2;29.1;2;;;;2;1:2;WYGRANA;120.00000000000003
22:00;Santa Rosa de Andahuaylas vs Cienciano;Peru 1;2.37 (1);39.3;33.3;27.4;1;;;;1;1:0;WYGRANA;137.0
jutro 01:00;Deportivo Pasto vs Santa Fe;Colombia 1;3.4 (2);36.5;38.9;24.7;2;;;;2;1:2;WYGRANA;240.0
16:30;Stade Renard vs PWD Bamenda;Cameroon 1;2.5 (1);38.6;36.4;25.0;1;;;;1;2:0;WYGRANA;150.0
18:30;Old Edwardians vs Bo Rangers;Sierra Leone 1;2.6 (2);38.3;34.1;27.6;1;;;;X;1:1;PRZEGRANA;-100.0
14:00;Malut United vs Persebaya Surabaya;Indonesia 1;3.7 (2);38.3;30.4;31.3;1;;;;2;0:2;PRZEGRANA;-100.0
18:45;Go Ahead Eagles vs AZ Alkmaar;Eredivisie;3.0 (1);32.4;37.8;29.8;2;;;;X;0:0;PRZEGRANA;-100.0
16:00;Pjunik vs FC Banants;Armenia 1;3.8 (2);37.6;29.5;32.8;1;;;;1;2:1;WYGRANA;0.0
14:15;Melaka vs Sabah FA;Malaysia 1;2.15 (2);36.9;36.6;26.5;1;;;;1;1:0;WYGRANA;0.0
17:15;Dinamo Samarqand vs OTMK Olmaliq;Uzbekistan 1;3.0 (2);36.8;32.6;30.5;1;;;;X;2:2;PRZEGRANA;-100.0
