Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
02:00;Waterhouse FC vs Spanish Town Police FC;Jamaica 1;1.22 (1);79.0;2.8;18.1;1;✅ OBA ZGODNE (1);60.0;35.0;5.0;91.7;6.9;1.3;1;5:1;WYGRANA;22.0
18:45;JS Kabylie vs Ben Aknoun;Algeria 1;6.5 (2);64.4;21.1;14.5;1;✅ OBA ZGODNE (1);70.0;15.0;15.0;60.6;14.2;25.2;Brak/Odwolany;-;Odwolany;0.0
20:45;Chelmsford vs AFC Totton;England 6;1.9 (1);59.6;22.4;18.0;1;✅ OBA ZGODNE (1);50.0;20.0;30.0;66.0;16.6;17.4;X;1:1;PRZEGRANA;-100.0
21:00;MC Alger vs USM Alger;Algeria 1;1.65 (1);59.0;16.2;24.8;1;✅ OBA ZGODNE (1);55.0;30.0;15.0;61.7;21.3;17.0;Brak/Odwolany;-;Odwolany;0.0
20:30;Arezzo vs Ascoli Picchio FC 1898;Italy 3;3.25 (2);44.0;19.4;36.6;1;⚠️ RÓŻNICA (KNN:X XGB:1);40.0;45.0;15.0;46.6;31.0;22.4;2;1:2;PRZEGRANA;-100.0
20:00;Sunderland U21 vs Reading U21;England Reserve 1;2.1 (1);43.1;30.1;26.7;1;⚠️ RÓŻNICA (KNN:2 XGB:1);30.0;20.0;50.0;51.9;31.2;16.9;X;2:2;PRZEGRANA;-100.0
jutro 01:30;Libertad vs Recoleta;Paraguay 1;1.8 (1);42.4;32.6;24.9;1;⚠️ RÓŻNICA (KNN:2 XGB:1);20.0;25.0;55.0;57.4;24.9;17.7;1;1:0;WYGRANA;80.0
jutro 01:10;Independiente Medellin vs America de Cali;Colombia 1;2.1 (1);41.8;27.8;30.4;1;✅ OBA ZGODNE (1);45.0;30.0;25.0;39.6;30.7;29.7;1;2:1;WYGRANA;110.0
17:00;Paradou AC vs CR Belouizdad;Algeria 1;1.9 (2);36.5;38.7;24.8;2;⚠️ RÓŻNICA (KNN:1 XGB:2);50.0;15.0;35.0;27.5;31.3;41.2;Brak/Odwolany;-;Odwolany;0.0
03:30;Llaneros FC vs Once Caldas;Colombia 1;2.5 (2);31.6;38.6;29.9;2;✅ OBA ZGODNE (2);30.0;30.0;40.0;32.7;29.8;37.6;X;1:1;PRZEGRANA;-100.0
18:30;Camberene vs Wally Daan;Senegal 1;2.4 (2);32.7;32.1;35.2;X;⚠️ RÓŻNICA (KNN:X XGB:2);35.0;45.0;20.0;31.2;28.7;40.2;2;1:2;PRZEGRANA;-100.0
