Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
19 kwi;FC Santa Coloma vs Esperança dAndorra;Andorra 1;1.09 (1);91.4;2.6;5.9;1;;;;1;4:0;WYGRANA;9.000000000000014
19 kwi;UD Ibiza vs Sevilla II;Spain 3;1.14 (1);84.4;5.8;9.8;1;;;;2;0:1;PRZEGRANA;-100.0
19 kwi;Pistoiese vs Coriano;Italy 4;1.12 (1);81.3;9.8;8.9;1;;;;2;0:1;PRZEGRANA;-100.0
19 kwi;Faetano vs Tre Fiori;San Marino 1;1.1 (2);4.4;80.4;15.2;2;1.12;-0.03;Stabilnie;2;0:1;WYGRANA;10.000000000000014
19 kwi;Reggina vs Paterno;Italy 4;1.16 (1);79.3;8.5;12.2;1;;;;1;2:0;WYGRANA;15.999999999999986
19 kwi;San Marino Calcio vs Teramo;Italy 4;1.2 (2);5.7;77.3;17.0;2;1.42;-0.22;GRUBA GRA (Spadek);2;1:3;WYGRANA;20.0
19 kwi;FC Porto vs Tondela;Portugal 1;1.18 (1);75.0;7.7;17.3;1;;;;1;2:0;WYGRANA;18.0
19 kwi;Viettel vs Hoang Anh Gia Lai;Vietnam 1;1.33 (1);70.9;9.5;19.6;1;;;;1;1:0;WYGRANA;33.0
19 kwi;Lentigione vs Progresso;Italy 4;1.45 (1);69.1;12.5;18.3;1;1.56;-0.18;GRUBA GRA (Spadek);2;1:2;PRZEGRANA;-100.0
19 kwi;Inter Club d'Escaldes vs FC Ordino;Andorra 1;1.33 (1);69.0;11.2;19.8;1;1.38;-0.1;Stabilnie;1;4:0;WYGRANA;33.0
19 kwi;Coban Imperial vs Deportivo Achuapa;Guatemala 1;1.42 (1);68.3;14.1;17.6;1;1.46;-0.19;GRUBA GRA (Spadek);1;3:1;WYGRANA;42.0
19 kwi;Cosenza vs Trapani;Italy 3;1.48 (1);64.4;17.1;18.5;1;;;;1;1:0;WYGRANA;48.0
19 kwi;Mixco vs Aurora;Guatemala 1;1.44 (1);63.7;13.1;23.3;1;;;;1;4:0;WYGRANA;44.0
19 kwi;Jihlava vs Brno;Czech Republic 2;1.57 (2);15.8;61.8;22.4;2;;;;2;1:2;WYGRANA;57.0
19 kwi;Nissa vs Enna;Italy 4;1.5 (1);61.5;14.1;24.4;1;;;;1;3:0;WYGRANA;50.0
19 kwi;AS Monaco vs Auxerre;France 1;1.55 (1);60.8;14.7;24.4;1;;;;X;2:2;PRZEGRANA;-100.0
19 kwi;Schalke 04 vs Preußen Muenster;Germany 2;1.53 (1);59.8;15.3;25.0;1;;;;1;4:1;WYGRANA;53.0
19 kwi;XuÃ¢n Thiá»‡n PhÃº Thá» vs Long An;Vietnam 2;1.53 (1);58.4;15.8;25.8;1;;;;1;4:0;WYGRANA;53.0
19 kwi;Zamora vs Osasuna B;Spain 3;1.65 (1);58.2;17.1;24.8;1;;;;1;1:0;WYGRANA;65.0
19 kwi;Audace Cerignola vs Team Altamura;Italy 3;1.55 (1);58.2;17.8;24.0;1;;;;X;1:1;PRZEGRANA;-100.0
19 kwi;Internacional vs Mirassol;Brazil 1;1.72 (1);55.8;24.1;20.1;1;;;;2;1:2;PRZEGRANA;-100.0
19 kwi;Sporting Gijon vs Cadiz;Spain 2;1.57 (1);55.6;19.8;24.7;1;;;;1;3:0;WYGRANA;57.0
20 kwi;Colo Colo vs Palestino;Chile 1;1.7 (1);55.4;20.2;24.4;1;;;;2;0:1;PRZEGRANA;-100.0
19 kwi;Alianza Atletico vs Sport Boys;Peru 1;1.75 (1);55.1;19.2;25.7;1;;;;2;0:1;PRZEGRANA;-100.0
19 kwi;Eldense vs Cartagena;Spain 3;1.7 (1);54.3;18.7;27.0;1;;;;1;2:1;WYGRANA;70.0
19 kwi;FC Hirnyk vs Rukh Vynnyky;Ukraine 1;1.8 (1);49.1;21.8;29.0;1;;;;1;3:0;WYGRANA;80.0
19 kwi;Bombada vs Greater Tomorrow;Gambia 1;1.8 (1);48.9;23.4;27.6;1;;;;Brak/Odwolany;-;Odwolany;0.0
19 kwi;VfB Stuttgart II vs Erzgebirge Aue;Germany 3;1.9 (1);48.5;24.3;27.1;1;;;;X;2:2;PRZEGRANA;-100.0
19 kwi;Monopoli vs Foggia;Italy 3;2.0 (1);48.0;21.8;30.2;1;;;;1;1:0;WYGRANA;100.0
19 kwi;Pogon Grodzisk Mazowiecki vs Pogoń Siedlce;Poland 2;1.95 (1);47.8;23.0;29.2;1;;;;2;0:2;PRZEGRANA;-100.0
20 kwi;Talleres vs Deportivo Riestra;Argentina 1;1.9 (1);47.8;22.6;29.6;1;;;;1;2:0;WYGRANA;90.0
19 kwi;Werder Bremen II vs Bremer SV;Germany 4;2.15 (1);47.2;24.1;28.6;1;;;;2;1:2;PRZEGRANA;-100.0
19 kwi;İstanbulspor vs SarÄ±yer;Turkey 2;2.37 (2);28.5;43.2;28.3;2;;;;1;3:1;PRZEGRANA;-100.0
19 kwi;Pro Vercelli vs Ospitaletto;Italy 3;3.1 (2);28.5;41.9;29.6;2;;;;1;1:0;PRZEGRANA;-100.0
19 kwi;Sasso Marconi vs Rovato Vertova;Italy 4;2.25 (2);31.6;40.2;28.3;2;;;;1;2:1;PRZEGRANA;-100.0
19 kwi;Valenzana vs Lavagnese;Italy 4;3.0 (1);39.4;34.0;26.6;1;;;;1;2:0;WYGRANA;200.0
19 kwi;Metz vs Paris FC;France 1;2.2 (2);31.2;39.1;29.7;2;;;;2;1:3;WYGRANA;120.00000000000003
19 kwi;Latina vs Casertana;Italy 3;2.7 (2);38.7;32.0;29.2;1;;;;1;2:0;WYGRANA;0.0
19 kwi;Camberene vs Teungueth;Senegal 1;2.3 (2);37.4;37.9;24.7;2;;;;2;0:1;WYGRANA;129.99999999999997
19 kwi;IÄŸdÄ±r FK vs Pendikspor;Turkey 2;3.0 (2);34.2;36.4;29.4;2;;;;X;1:1;PRZEGRANA;-100.0
