Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
11:00;Cebu FC vs Garelli United;Philippines 1;1.02 (1);87.9;2.0;10.1;1;;;;1;4:2;WYGRANA;2.0
17:30;Pirin Blagoevgrad vs Belasitsa Petrich;Bulgaria 2;1.36 (1);80.2;7.4;12.4;1;1.4;-0.08;Stabilnie;1;1:0;WYGRANA;36.0
14:30;SV Kuchl vs Kufstein;Austria 3;1.38 (1);76.4;12.3;11.3;1;1.4;-0.05;Stabilnie;2;1:3;PRZEGRANA;-100.0
17:00;Ikorodu City vs Warri Wolves FC;Nigeria 1;1.4 (1);74.1;9.4;16.5;1;1.43;-0.16;GRUBA GRA (Spadek);1;4:3;WYGRANA;40.0
13:00;Naestved vs Brabrand;Denmark 3;1.33 (1);72.5;10.9;16.6;1;1.4;-0.1;Stabilnie;X;0:0;PRZEGRANA;-100.0
16:00;Victoria United vs Stade Renard;Cameroon 1;1.38 (1);71.6;12.7;15.7;1;1.7;-0.27;GRUBA GRA (Spadek);X;2:2;PRZEGRANA;-100.0
15:00;Savoia vs Ragusa Calcio;Italy 4;1.44 (1);69.5;11.4;19.1;1;1.47;-0.11;GRUBA GRA (Spadek);1;2:0;WYGRANA;44.0
15:00;Valenzana vs SCD Ligorna;Italy 4;1.45 (2);17.7;65.7;16.6;2;1.65;-0.13;GRUBA GRA (Spadek);1;1:0;PRZEGRANA;-100.0
15:00;Biel/Bienne vs Bulle;Switzerland 3;1.45 (1);64.9;8.0;27.1;1;;;;1;4:1;WYGRANA;45.0
17:00;Bayelsa United vs Kano Pillars;Nigeria 1;1.53 (1);64.2;15.3;20.5;1;;;;1;4:1;WYGRANA;53.0
16:30;Gela vs Paterno;Italy 4;1.5 (1);63.9;12.3;23.8;1;;;;1;2:1;WYGRANA;50.0
15:30;Sancataldese vs Nissa;Italy 4;1.7 (2);16.8;63.4;19.8;2;;;;2;1:5;WYGRANA;70.0
18:45;Djoliba vs ASKO;Mali 1;1.48 (1);62.8;17.0;20.2;1;;;;1;1:0;WYGRANA;48.0
17:00;Hearts of Oak vs Gamba All Blacks;Ghana 1;1.57 (1);60.8;16.6;22.6;1;;;;X;2:2;PRZEGRANA;-100.0
17:00;Niger Tornadoes vs Wikki Tourist;Nigeria 1;1.53 (1);60.5;18.5;21.0;1;;;;1;2:0;WYGRANA;53.0
15:00;Podbeskidzie Bielsko-Biała vs KKS 1925 Kalisz;Poland 3;1.57 (1);60.2;16.8;23.0;1;;;;1;4:1;WYGRANA;57.0
15:00;Pro Sesto vs Imolese Calcio;Italy 4;1.55 (1);58.7;17.7;23.7;1;;;;2;2:4;PRZEGRANA;-100.0
17:30;ASKO de Kara vs Entente II;Togo 1;1.65 (1);58.7;12.0;29.2;1;;;;1;3:1;WYGRANA;65.0
23:45;Municipal Limeno vs HÃ©rcules;El Salvador 1;1.33 (1);58.5;15.4;26.0;1;;;;Brak/Odwolany;-;Odwolany;0.0
15:00;Seravezza vs Terranuova Traiana;Italy 4;1.75 (1);57.9;18.8;23.3;1;;;;1;2:0;WYGRANA;75.0
15:00;Sammaurese vs Ostia Mare;Italy 4;1.7 (2);22.3;56.1;21.6;2;;;;2;0:1;WYGRANA;70.0
15:00;Vigor Lamezia vs Vibonese;Italy 4;1.72 (1);54.5;17.5;27.9;1;;;;2;0:2;PRZEGRANA;-100.0
14:00;Wolfsberger AC (A) vs Oedt;Austria 3;2.0 (2);28.0;54.0;18.0;2;;;;2;0:2;WYGRANA;100.0
15:00;Royal Knokke FC vs Lyra-Lierse Berlaar;Belgium 3;1.72 (1);53.7;19.0;27.3;1;;;;1;1:0;WYGRANA;72.0
19:00;Aurora vs Deportivo Achuapa;Guatemala 1;1.75 (1);52.4;18.1;29.6;1;;;;1;1:0;WYGRANA;75.0
18:30;DSC vs Ouakam;Senegal 1;2.87 (2);50.8;21.3;27.9;1;;;;X;1:1;PRZEGRANA;-100.0
17:30;Forli vs Pianese;Italy 3;3.2 (2);49.3;23.4;27.2;1;;;;X;0:0;PRZEGRANA;-100.0
22:30;Montego Bay United FC vs Cavalier SC;Jamaica 1;1.72 (1);49.1;23.0;27.9;1;;;;Brak/Odwolany;-;Odwolany;0.0
13:00;Hutnik Nowa Huta vs Unia Skierniewice;Poland 3;2.0 (2);23.6;48.0;28.4;2;;;;X;1:1;PRZEGRANA;-100.0
12:00;Osasuna B vs Guadalajara;Spain 3;2.8 (2);47.2;27.3;25.5;1;;;;1;4:3;WYGRANA;0.0
15:00;Club Atletico Progreso vs Liverpool FC;Uruguay 1;1.9 (2);27.1;45.9;26.9;2;;;;Brak/Odwolany;-;Odwolany;0.0
14:00;Ulinzi Stars vs Sofapaka;Kenya 1;1.9 (1);45.2;25.0;29.8;1;;;;1;2:0;WYGRANA;90.0
15:00;Lentigione vs Piacenza;Italy 4;2.15 (1);44.9;26.6;28.6;1;;;;1;3:1;WYGRANA;115.0
15:00;Diegem Sport vs Ninove;Belgium 3;2.2 (1);43.7;30.0;26.2;1;;;;1;5:0;WYGRANA;120.00000000000003
21:00;Chacarita Juniors vs Club Atletico Estudiantes;Argentina 2;2.3 (1);43.0;29.8;27.2;1;;;;2;0:3;PRZEGRANA;-100.0
16:15;Leonesa vs FC Andorra;Spain 2;2.9 (2);42.6;24.9;32.5;1;;;;2;0:4;PRZEGRANA;-100.0
14:00;Eibar vs Las Palmas;Spain 2;2.37 (1);38.0;42.4;19.6;2;;;;1;3:1;PRZEGRANA;-100.0
16:30;ND Bilje vs Gorica;Slovenia 2;2.15 (2);22.2;41.4;36.4;2;;;;1;3:2;PRZEGRANA;-100.0
15:00;Messina vs Gelbison Cilento;Italy 4;2.4 (2);27.0;40.8;32.2;2;;;;2;1:2;WYGRANA;140.0
15:00;San Donato vs FC Siena;Italy 4;2.15 (2);40.0;36.6;23.4;1;;;;2;2:3;PRZEGRANA;-100.0
15:30;Valmontone vs USD Palmese 1914;Italy 4;2.5 (2);39.8;34.1;26.1;1;;;;2;1:2;PRZEGRANA;-100.0
18:30;Teungueth vs Jaraaf;Senegal 1;2.75 (1);26.9;33.6;39.5;X;;;;1;1:0;PRZEGRANA;-100.0
jutro 00:30;Atletico PR vs Botafogo RJ;Brazil 1;2.0 (1);39.4;29.2;31.4;1;;;;Brak/Odwolany;-;Odwolany;0.0
17:30;Casarano vs Giugliano;Italy 3;2.2 (1);34.7;29.0;36.3;X;;;;1;2:0;PRZEGRANA;-100.0
jutro 01:20;Deportivo Pasto vs Atletico Nacional;Colombia 1;3.25 (1);32.0;33.5;34.5;X;;;;Brak/Odwolany;-;Odwolany;0.0
