Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
19:30;Orlando Pirates vs Lamontville Golden Arrows;South Africa 1;1.16 (1);85.4;5.3;9.3;1;;;;1;5:0;WYGRANA;15.999999999999986
11:00;Melbourne City FC vs Central Coast Mariners;Australia 1;8.5 (2);83.9;6.0;10.2;1;;;;1;2:1;WYGRANA;0.0
03:30;Real Espana vs Juticalpa;Honduras 1;1.18 (1);80.3;5.4;14.3;1;1.18;0.01;Stabilnie;X;1:1;PRZEGRANA;-100.0
19:30;FC Vaduz vs Bellinzona;Switzerland 2;1.33 (1);74.8;8.7;16.5;1;1.36;-0.04;Stabilnie;1;3:2;WYGRANA;33.0
19:00;FC Schweinfurt vs RW Essen;Germany 3;1.48 (2);6.8;72.6;20.6;2;;;;2;1:3;WYGRANA;48.0
19:30;Durban City vs Mamelodi Sundowns FC;South Africa 1;1.55 (2);12.8;68.9;18.3;2;;;;2;0:1;WYGRANA;55.0
19:00;Aarau vs Etoile Carouge;Switzerland 2;1.5 (1);66.1;14.2;19.7;1;;;;2;1:3;PRZEGRANA;-100.0
19:30;FC Stade Lausanne-Ouchy vs FC Rapperswil-Jona;Switzerland 2;1.5 (1);65.6;12.5;21.9;1;;;;2;1:2;PRZEGRANA;-100.0
16:00;Manisa BBSK vs Pendikspor;Turkey 2;1.83 (2);14.1;62.2;23.7;2;;;;1;2:0;PRZEGRANA;-100.0
18:00;NK Istra 1961 vs Hajduk Split;Croatia 1;1.66 (2);16.4;60.2;23.4;2;;;;2;1:3;WYGRANA;66.0
21:00;Bromley vs Shrewsbury Town;England 4;1.66 (1);58.0;17.2;24.7;1;;;;1;2:1;WYGRANA;66.0
02:15;Instituto vs Defensa y Justicia;Argentina 1;4.1 (2);57.4;21.1;21.4;1;;;;1;2:0;WYGRANA;0.0
03:00;Guastatoya vs Deportivo Achuapa;Guatemala 1;1.55 (1);55.6;18.8;25.5;1;;;;1;3:1;WYGRANA;55.0
04:00;AD Municipal Liberia vs Deportiva San Carlos;Costa Rica 1;1.8 (1);54.8;18.3;26.9;1;;;;1;5:1;WYGRANA;80.0
20:45;Y Rhyl 1879 vs Gresford Athletic;Wales 2;1.8 (1);52.8;15.5;31.7;1;;;;1;1:0;WYGRANA;80.0
19:30;Richards Bay vs Vasco da Gama;South Africa 1;2.6 (2);51.0;27.3;21.7;1;;;;1;2:1;WYGRANA;0.0
23:00;Rionegro Aguilas vs Bucaramanga;Colombia 1;2.45 (1);49.3;25.7;24.9;1;;;;Brak/Odwolany;-;Odwolany;0.0
18:00;Miedź Legnica vs Polonia Bytom;Poland 2;1.9 (1);49.3;22.4;28.4;1;;;;X;1:1;PRZEGRANA;-100.0
03:00;Pitbulls vs CS Uruguay;Costa Rica 2;2.1 (1);47.9;24.0;28.1;1;;;;1;3:1;WYGRANA;110.0
19:00;Vizela vs Benfica B;Portugal 2;2.0 (1);47.7;25.9;26.5;1;;;;2;1:2;PRZEGRANA;-100.0
19:00;Waldhof Mannheim vs Hoffenheim II;Germany 3;2.05 (1);46.6;20.8;32.6;1;;;;X;1:1;PRZEGRANA;-100.0
19:00;FSV Luckenwalde vs Hallescher FC;Germany 4;3.0 (1);29.5;46.4;24.2;2;;;;2;1:4;WYGRANA;0.0
13:30;Bandırmaspor vs SarÄ±yer;Turkey 2;2.0 (1);45.3;21.3;33.4;1;;;;X;0:0;PRZEGRANA;-100.0
jutro 01:00;Tapatio vs Tlaxcala F.C.;Mexico 2;1.95 (1);44.7;24.5;30.8;1;;;;Brak/Odwolany;-;Odwolany;0.0
19:00;Jahn Regensburg vs Erzgebirge Aue;Germany 3;2.05 (1);44.5;25.2;30.3;1;;;;1;1:0;WYGRANA;104.99999999999997
19:00;Energie Cottbus vs TSV 1860 Monachium;Germany 3;1.83 (1);44.1;25.9;30.0;1;;;;1;3:0;WYGRANA;83.0
21:00;Wrexham vs Southampton;England 2;2.62 (2);43.4;33.7;22.9;1;;;;2;1:5;PRZEGRANA;-100.0
16:30;Dubrava Zagreb vs Bjelo Brdo;Croatia 2;2.5 (1);30.1;43.3;26.6;2;;;;2;1:2;WYGRANA;0.0
20:45;Ayr United vs Dunfermline Athletic;Scotland 2;2.15 (1);43.3;31.1;25.7;1;;;;2;0:3;PRZEGRANA;-100.0
19:00;Hertha Zehlendorf vs BSG Chemie Leipzig;Germany 4;2.15 (2);29.2;41.4;29.5;2;;;;2;0:5;WYGRANA;115.0
20:45;Montrose vs Cove Rangers;Scotland 3;2.4 (1);33.6;41.3;25.1;2;;;;2;2:3;WYGRANA;0.0
19:30;Wil vs Neuchâtel Xamax;Switzerland 2;2.3 (1);40.3;30.0;29.7;1;;;;1;5:2;WYGRANA;129.99999999999997
22:00;Universitario Popayan vs Independiente Yumbo;Colombia 2;2.5 (1);29.0;32.3;38.8;X;;;;Brak/Odwolany;-;Odwolany;0.0
19:30;Chippa United vs Siwelele;South Africa 1;2.75 (2);38.7;33.7;27.6;1;;;;1;1:0;WYGRANA;0.0
19:00;Arka Gdynia vs Zagłębie Lubin;Poland 1;2.25 (1);38.6;38.4;23.0;1;;;;1;3:1;WYGRANA;125.0
20:45;Port Vale vs Rotherham United;England 3;2.4 (1);38.6;29.2;32.2;1;;;;1;1:0;WYGRANA;140.0
19:00;Duisburg vs Osnabrueck;Germany 3;2.5 (2);28.4;37.7;33.9;2;;;;1;1:0;PRZEGRANA;-100.0
19:30;Magesi FC vs Milano United FC;South Africa 1;2.25 (1);37.6;30.9;31.5;1;;;;1;3:0;WYGRANA;125.0
