Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
21:00;Burnley vs Manchester City;England 1;1.12 (2);5.5;86.0;8.5;2;✅ OBA ZGODNE (2);12.0;8.0;80.0;1.2;8.8;89.9
jutro 01:20;Independiente Medellin vs Chico FC;Colombia 1;1.28 (1);73.7;9.3;17.0;1;✅ OBA ZGODNE (1);80.0;12.0;8.0;69.4;20.4;10.2
20:45;Cardiff City vs Port Vale;England 3;1.2 (1);73.2;7.2;19.5;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;76.7;16.5;6.7
20:15;NK Istra 1961 vs Dinamo Zagrzeb;Croatia 1;1.25 (2);6.8;73.0;20.2;2;✅ OBA ZGODNE (2);0.0;20.0;80.0;11.3;20.3;68.3
21:30;FC Barcelona vs Celta Vigo;Spain 1;1.22 (1);72.6;9.0;18.4;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;73.0;17.3;9.7
19:30;Mamelodi Sundowns FC vs Vasco da Gama;South Africa 1;1.3 (1);71.8;14.0;14.2;1;✅ OBA ZGODNE (1);72.0;8.0;20.0;71.6;18.4;10.0
19:00;PSG vs Nantes;France 1;1.18 (1);71.3;10.8;17.9;1;✅ OBA ZGODNE (1);72.0;16.0;12.0;70.9;19.1;10.0
19:00;1. FC Phoenix Luebeck vs St.Pauli II;Germany 4;1.36 (1);69.4;11.0;19.7;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;67.6;19.4;12.9
jutro 01:00;Real Garcilaso vs FC Cajamarca;Peru 1;1.33 (1);68.7;9.2;22.1;1;✅ OBA ZGODNE (1);64.0;28.0;8.0;71.8;18.2;10.0
17:30;BFC Preussen vs Hertha Zehlendorf;Germany 4;1.61 (1);68.7;15.5;15.8;1;✅ OBA ZGODNE (1);84.0;4.0;12.0;58.5;23.6;17.9
20:45;Middlesbrough vs Sheffield Wednesday;England 2;1.18 (1);66.8;14.2;19.0;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;66.0;21.0;13.0
19:00;Schoeningen vs Oldenburg;Germany 4;1.3 (2);13.6;62.7;23.7;2;✅ OBA ZGODNE (2);12.0;24.0;64.0;14.7;23.5;61.9
04:00;C.S. Cartagines vs Deportiva San Carlos;Costa Rica 1;1.57 (1);62.6;8.8;28.5;1;✅ OBA ZGODNE (1);68.0;32.0;0.0;59.1;26.2;14.7
20:45;Charlton Athletic vs Ipswich Town;England 2;1.75 (2);23.1;55.5;21.4;2;✅ OBA ZGODNE (2);20.0;20.0;60.0;25.2;22.4;52.4
16:00;CSKA Sofia II vs Hebar;Bulgaria 2;1.7 (1);53.9;19.3;26.9;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;52.4;28.8;18.8
03:00;Pumas vs FC Juarez;Mexico 1;1.83 (1);50.6;19.1;30.3;1;✅ OBA ZGODNE (1);48.0;36.0;16.0;52.3;26.5;21.2
jutro 01:00;Barcelona SC vs Mushuc Runa;Ecuador 1;1.6 (1);49.6;22.2;28.2;1;✅ OBA ZGODNE (1);44.0;32.0;24.0;53.3;25.7;21.0
22:30;Deportivo Cuenca vs Orense;Ecuador 1;1.9 (1);49.4;17.3;33.3;1;✅ OBA ZGODNE (1);48.0;44.0;8.0;50.3;26.2;23.5
19:00;SSV Jeddeloh vs Luebeck;Germany 4;4.5 (2);49.3;26.5;24.2;1;✅ OBA ZGODNE (1);52.0;16.0;32.0;47.5;29.6;22.9
21:00;AFC Bournemouth vs Leeds United;England 1;2.0 (1);47.2;30.0;22.7;1;✅ OBA ZGODNE (1);48.0;16.0;36.0;46.7;27.2;26.0
10:30;Persis Solo vs Bhayangkara Surabaya United;Indonesia 1;2.87 (2);42.5;30.6;26.9;1;✅ OBA ZGODNE (1);48.0;24.0;28.0;38.8;28.9;32.3
20:00;Telstar vs Sparta Rotterdam;Eredivisie;2.5 (1);41.8;35.2;23.0;1;⚠️ RÓŻNICA (KNN:2 XGB:1);36.0;20.0;44.0;45.7;24.9;29.3
jutro 01:30;Toronto FC vs Philadelphia Union;USA 1;2.35 (1);40.3;28.3;31.4;1;✅ OBA ZGODNE (1);36.0;36.0;28.0;43.2;28.3;28.5
02:00;Sporting San Jose vs AD Municipal Liberia;Costa Rica 1;3.75 (2);40.3;24.2;35.5;1;⚠️ RÓŻNICA (KNN:X XGB:1);32.0;44.0;24.0;45.8;29.8;24.4
19:30;SC Wiedenbrueck vs Sportfreunde Siegen;Germany 4;1.8 (2);25.8;39.5;34.6;2;⚠️ RÓŻNICA (KNN:X XGB:2);28.0;44.0;28.0;24.4;28.4;47.2
15:30;Vukovar 91 vs HNK Gorica;Croatia 1;2.3 (2);34.9;37.6;27.4;2;✅ OBA ZGODNE (2);36.0;24.0;40.0;34.2;29.7;36.1
17:45;NK Varaždin vs Rijeka;Croatia 1;2.9 (1);35.4;34.3;30.3;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;32.0;36.0;37.6;29.2;33.1
