Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
jutro 01:30;Club Atletico Penarol vs Juventud de las Piedras;Uruguay 1;1.36 (1);69.8;11.1;19.0;1;;;;X;2:2;PRZEGRANA;-100.0
20:00;Vasas Budapeszt vs BVSC;Hungary 2;1.33 (1);68.0;11.8;20.3;1;1.48;-0.28;GRUBA GRA (Spadek);2;0:2;PRZEGRANA;-100.0
20:30;RC Deportivo vs Mirandes;Spain 2;1.5 (1);64.3;11.6;24.1;1;;;;1;3:1;WYGRANA;50.0
jutro 00:00;Carabobo FC vs Academia Anzoategui;Venezuela 1;1.48 (1);60.1;17.8;22.1;1;;;;1;6:3;WYGRANA;48.0
03:00;Antigua Guatemala vs Deportivo Malacateco;Guatemala 1;1.53 (1);58.9;18.5;22.7;1;;;;1;2:1;WYGRANA;53.0
20:45;Taunton Town vs Farnham Town;England 7;1.83 (2);20.2;57.5;22.3;2;;;;1;1:0;PRZEGRANA;-100.0
jutro 01:00;Deportivo La Guaira vs Portuguesa FC;Venezuela 1;1.66 (1);56.8;18.6;24.6;1;;;;X;0:0;PRZEGRANA;-100.0
18:00;Miedź Legnica vs Górnik Łęczna;Poland 2;1.6 (1);54.3;20.2;25.5;1;;;;2;0:2;PRZEGRANA;-100.0
17:00;Szachtar Donieck vs Polissya Zhytomyr;Ukraine 1;1.8 (1);52.9;19.9;27.1;1;;;;1;1:0;WYGRANA;80.0
10:30;Semen Padang vs Persijap;Indonesia 1;2.75 (2);52.5;24.0;23.5;1;;;;2;0:2;PRZEGRANA;-100.0
20:00;FC Den Bosch vs Jong FC Utrecht;Netherlands 2;1.85 (1);50.8;22.5;26.7;1;;;;X;1:1;PRZEGRANA;-100.0
23:15;Rubio Nu vs Libertad;Paraguay 1;1.72 (2);24.2;49.2;26.6;2;;;;Brak/Odwolany;-;Odwolany;0.0
19:00;Lechia Gdańsk vs Piast Gliwice;Poland 1;2.1 (1);46.5;25.8;27.7;1;;;;X;1:1;PRZEGRANA;-100.0
19:00;Gaziantep BB vs Kayserispor;Turkey 1;2.15 (1);45.8;24.1;30.1;1;;;;1;3:0;WYGRANA;115.0
20:00;Barracas Central vs Belgrano;Argentina 1;3.5 (1);31.8;45.3;22.8;2;;;;X;0:0;PRZEGRANA;-100.0
02:45;Huachipato vs Audax Italiano;Chile 1;2.2 (1);43.9;26.2;29.8;1;;;;1;3:2;WYGRANA;120.00000000000003
20:45;Dunkerque vs Laval;France 2;3.6 (2);42.6;28.7;28.7;1;;;;2;0:2;PRZEGRANA;-100.0
20:45;Lecce vs Fiorentina;European Championship U-21 1;2.15 (2);30.4;42.2;27.5;2;;;;X;1:1;PRZEGRANA;-100.0
03:30;America de Cali vs Millonarios;Colombia 1;2.1 (1);41.8;30.4;27.8;1;;;;1;3:1;WYGRANA;110.0
jutro 00:30;San Lorenzo vs Velez Sarsfield;Argentina 1;2.5 (2);30.2;41.7;28.1;2;;;;X;0:0;PRZEGRANA;-100.0
02:00;Pride of Gall Hill vs Ellerton;Barbados 1;4.75 (1);40.8;35.6;23.6;1;;;;X;2:2;PRZEGRANA;-100.0
22:00;Boston River vs Cerro Largo;Uruguay 1;3.0 (2);40.5;32.0;27.4;1;;;;1;1:0;WYGRANA;0.0
21:00;Crystal Palace vs West Ham United;England 1;2.37 (1);40.5;30.8;28.7;1;;;;X;0:0;PRZEGRANA;-100.0
12:00;FC Olexandria vs Veres Rivne;Ukraine 1;2.5 (2);32.6;40.3;27.0;2;;;;2;0:3;WYGRANA;150.0
19:45;Sporting CP B vs Felgueiras 1932;Portugal 2;2.45 (2);32.6;39.1;28.2;2;;;;2;0:1;WYGRANA;145.00000000000003
21:15;Moreirense vs Estoril;Portugal 1;2.3 (2);31.8;38.9;29.4;2;;;;1;1:0;PRZEGRANA;-100.0
jutro 01:30;Sportivo Ameliano vs Nacional;Paraguay 1;2.55 (1);37.3;38.6;24.1;2;;;;X;1:1;PRZEGRANA;-100.0
14:00;Martapura vs Persib Bandung;Indonesia 1;3.0 (1);31.3;38.4;30.3;2;;;;X;2:2;PRZEGRANA;-100.0
22:15;Banfield vs Independiente Rivadavia;Argentina 1;2.7 (2);36.7;36.1;27.2;1;;;;X;0:0;PRZEGRANA;-100.0
19:45;FC Porto B vs Leixoes;Portugal 2;2.5 (1);33.9;35.3;30.7;2;;;;2;0:3;WYGRANA;0.0
