Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:45;Peterhead vs Inverness CT;Scotland 3;1.38 (2);10.3;71.6;18.1;2;✅ OBA ZGODNE (2);8.0;16.0;76.0;11.9;19.5;68.6;2;0:2;WYGRANA;38.0
16:55;Al-Shabab Club vs Saham;Oman 1;1.4 (1);71.5;11.5;17.0;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;68.6;20.4;11.1;Brak/Odwolany;-;Odwolany;0.0
19:30;Krems / Rehberg vs SC Neusiedl am See 1919;Austria 3;1.45 (1);70.3;16.6;13.0;1;✅ OBA ZGODNE (1);76.0;4.0;20.0;66.6;19.0;14.4;1;1:0;WYGRANA;45.0
20:00;Al Quadisiya vs Al Shabab;Saudi Arabia 1;1.55 (1);69.2;15.1;15.7;1;✅ OBA ZGODNE (1);80.0;8.0;12.0;62.0;20.8;17.2;X;2:2;PRZEGRANA;-100.0
21:00;Southampton vs Blackburn Rovers;England 2;1.57 (1);67.4;12.7;19.9;1;✅ OBA ZGODNE (1);80.0;20.0;0.0;58.9;19.9;21.2;1;3:0;WYGRANA;57.0
13:00;Alashkert FC vs Ararat;Armenia 1;1.48 (1);66.8;14.1;19.1;1;✅ OBA ZGODNE (1);68.0;20.0;12.0;66.0;18.5;15.5;1;2:0;WYGRANA;48.0
18:30;Al-Wehdat vs Shabab Al-Ordon;Jordan 1;1.28 (1);66.1;12.6;21.3;1;✅ OBA ZGODNE (1);68.0;20.0;12.0;64.8;22.2;13.0;1;3:0;WYGRANA;28.0
18:45;Ferencvaros vs Puskas FC Academy;Hungary 1;1.4 (1);62.2;13.6;24.3;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;68.9;21.8;9.3;1;2:1;WYGRANA;40.0
18:00;VfB Eichstatt vs TSV Schwaben Augsburg;Germany 4;1.65 (1);59.6;16.3;24.0;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;56.7;26.7;16.6;2;0:1;PRZEGRANA;-100.0
20:45;Alfreton Town vs Buxton;England 6;1.65 (2);12.9;59.0;28.0;2;✅ OBA ZGODNE (2);4.0;32.0;64.0;18.9;25.4;55.7;X;2:2;PRZEGRANA;-100.0
20:45;Colchester United vs Accrington Stanley;England 4;1.65 (1);58.0;14.9;27.1;1;✅ OBA ZGODNE (1);60.0;28.0;12.0;56.6;26.5;16.9;1;2:1;WYGRANA;65.0
20:45;Weston Super Mare vs Horsham;England 6;1.6 (1);57.8;20.7;21.5;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;53.6;22.5;23.9;1;1:0;WYGRANA;60.0
20:45;Radcliffe Borough vs Kidderminster Harriers;England 6;1.55 (2);19.9;57.8;22.3;2;✅ OBA ZGODNE (2);20.0;24.0;56.0;19.8;21.2;59.0;2;1:3;WYGRANA;55.0
20:45;Real Bedford vs Leiston;England 7;1.57 (1);56.7;20.3;23.0;1;✅ OBA ZGODNE (1);60.0;20.0;20.0;54.6;25.0;20.5;2;0:1;PRZEGRANA;-100.0
20:45;Kettering Town FC vs Redditch United;England 7;1.5 (1);56.5;19.4;24.1;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;56.8;24.1;19.1;X;1:1;PRZEGRANA;-100.0
20:45;Woking vs Solihull Moors;England 5;1.9 (1);55.9;19.1;24.9;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;53.2;25.6;21.2;X;0:0;PRZEGRANA;-100.0
19:30;SC Team Wiener Linien vs Union Mauer;Austria 3;1.6 (2);22.2;55.5;22.2;2;✅ OBA ZGODNE (2);16.0;20.0;64.0;26.4;23.7;49.9;2;0:2;WYGRANA;60.0
15:15;Tusker FC vs Gor Mahia;Kenya 1;1.85 (2);18.8;54.5;26.7;2;✅ OBA ZGODNE (2);12.0;28.0;60.0;23.3;25.8;50.8;1;1:0;PRZEGRANA;-100.0
20:45;Atherstone Town vs Wimborne Town;England 7;1.95 (2);24.4;54.4;21.3;2;✅ OBA ZGODNE (2);28.0;24.0;48.0;22.0;19.4;58.6;2;0:6;WYGRANA;95.0
20:45;AFC Totton vs Bath City;England 6;1.8 (1);54.1;24.9;21.0;1;✅ OBA ZGODNE (1);60.0;16.0;24.0;50.1;24.4;25.5;1;2:1;WYGRANA;80.0
15:00;Hertha Berlin II vs Hertha Zehlendorf;Germany 4;4.0 (2);52.7;21.0;26.3;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;47.8;27.9;24.3;1;3:1;WYGRANA;0.0
19:30;Maccabi Kabilio Jaffa vs Hapoel Rishon LeZion;Israel 2;2.05 (2);24.9;52.4;22.7;2;✅ OBA ZGODNE (2);24.0;20.0;56.0;25.4;24.6;50.0;X;1:1;PRZEGRANA;-100.0
17:00;Real Madrid Castilla vs Ourense CF;Spain 3;1.75 (1);51.7;25.1;23.2;1;✅ OBA ZGODNE (1);44.0;20.0;36.0;56.8;25.4;17.8;X;1:1;PRZEGRANA;-100.0
16:00;Al Naft vs Erbil;Iraq 1;2.1 (2);29.6;51.6;18.8;2;✅ OBA ZGODNE (2);28.0;16.0;56.0;30.7;20.7;48.6;2;0:2;WYGRANA;110.0
20:45;Wigan Athletic vs Rotherham United;England 3;1.8 (1);51.4;22.0;26.6;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;53.6;25.7;20.6;1;3:0;WYGRANA;80.0
20:45;Bolton Wanderers vs Stevenage;England 3;1.85 (1);49.9;17.7;32.4;1;✅ OBA ZGODNE (1);56.0;36.0;8.0;45.9;30.0;24.1;1;5:1;WYGRANA;85.0
20:45;South Shields vs Macclesfield;England 6;1.65 (1);48.8;28.2;23.0;1;✅ OBA ZGODNE (1);48.0;16.0;36.0;49.4;27.6;23.0;1;4:1;WYGRANA;65.0
19:30;Maccabi Petach Tikwa vs Maccabi Herzliya;Israel 2;5.0 (2);48.7;23.7;27.6;1;✅ OBA ZGODNE (1);56.0;24.0;20.0;43.9;29.9;26.2;X;1:1;PRZEGRANA;-100.0
19:30;Bnei Yehuda Tel Awiw vs Kiryat Yam SC;Israel 2;2.2 (1);47.8;25.1;27.1;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;47.6;26.5;25.8;2;1:3;PRZEGRANA;-100.0
20:45;Cheltenham Town vs Gillingham;England 4;2.87 (2);47.7;23.7;28.6;1;✅ OBA ZGODNE (1);48.0;36.0;16.0;47.5;23.6;28.9;1;2:1;WYGRANA;0.0
21:00;Portsmouth vs Ipswich Town;England 2;1.95 (2);30.4;47.4;22.2;2;✅ OBA ZGODNE (2);28.0;12.0;60.0;32.0;29.0;38.9;1;2:0;PRZEGRANA;-100.0
16:00;Sama Al Sarhan vs Al Ahli;Jordan 1;1.75 (2);30.1;47.1;22.8;2;✅ OBA ZGODNE (2);36.0;20.0;44.0;26.2;24.6;49.2;2;2:3;WYGRANA;75.0
15:30;FC Academy Pandev vs Makedonija GjP;F.Y.R.O.M. 1;1.83 (1);46.4;27.4;26.2;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;48.1;25.0;27.0;X;1:1;PRZEGRANA;-100.0
20:30;CA Talleres Remedios de Escalada vs Villa Dalmine;Argentina 3;3.4 (2);45.6;22.6;31.8;1;✅ OBA ZGODNE (1);52.0;32.0;16.0;41.4;31.6;27.0;2;0:2;PRZEGRANA;-100.0
18:00;Kinondoni MC vs Tanzania Prisons;Tanzania 1;2.05 (1);44.6;25.4;30.0;1;✅ OBA ZGODNE (1);48.0;32.0;20.0;42.3;28.7;29.0;X;1:1;PRZEGRANA;-100.0
20:45;Barrow vs Oldham Athletic;England 4;2.05 (2);27.3;44.0;28.7;2;✅ OBA ZGODNE (2);24.0;28.0;48.0;29.5;29.2;41.3;1;3:2;PRZEGRANA;-100.0
20:30;CA Defensores Unidos vs Sportivo Italiano;Argentina 3;2.3 (2);31.2;44.0;24.8;2;✅ OBA ZGODNE (2);32.0;24.0;44.0;30.6;25.4;44.0;1;2:0;PRZEGRANA;-100.0
19:30;Hapoel Ironi Akko vs Hapoel Kfar Shalem;Israel 2;2.25 (2);43.4;32.0;24.6;1;⚠️ RÓŻNICA (KNN:1 XGB:2);56.0;20.0;24.0;35.0;27.7;37.4;X;1:1;PRZEGRANA;-100.0
