Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
16:00;KolÃ©a vs BÃ©char Djedid;Algeria 2;1.3 (1);79.2;5.7;15.1;1;;;;2;1:3;PRZEGRANA;-100.0
19:00;Kalsdorf vs SC Gleisdorf;Austria 3;1.42 (1);67.3;13.8;18.9;1;1.35;0.05;Stabilnie;2;0:2;PRZEGRANA;-100.0
jutro 01:00;Cruzeiro vs Vitoria;Brazil 1;1.55 (1);66.0;15.9;18.1;1;1.72;-0.16;GRUBA GRA (Spadek);Brak/Odwolany;-;Odwolany;0.0
17:00;MC Alger vs USM Alger;Algeria 1;1.7 (1);61.7;17.0;21.3;1;;;;1;1:0;WYGRANA;70.0
16:00;Paradou AC vs CR Belouizdad;Algeria 1;1.72 (2);20.6;60.8;18.7;2;;;;2;0:3;WYGRANA;72.0
17:00;JS Kabylie vs Ben Aknoun;Algeria 1;6.5 (2);60.6;25.2;14.2;1;;;;1;3:1;WYGRANA;0.0
18:00;Colombe vs PWD Bamenda;Cameroon 1;1.66 (1);59.9;17.4;22.7;1;;;;1;3:1;WYGRANA;66.0
19:00;Hertha Zehlendorf vs Carl Zeiss Jena;Germany 4;1.36 (2);19.3;58.8;21.9;2;;;;2;0:3;WYGRANA;36.0
03:00;Tolima vs Rionegro Aguilas;Colombia 1;1.7 (1);58.5;16.2;25.3;1;;;;1;4:1;WYGRANA;70.0
18:00;Sutjeska vs Velež Nevesinje;Bosnia-Herzegovina 2;1.61 (1);58.4;15.1;26.6;1;;;;1;4:1;WYGRANA;61.0
19:30;Avranches vs Angouleme;France 4;1.9 (1);57.2;21.0;21.8;1;;;;1;1:0;WYGRANA;90.0
16:00;Kozara vs FK Romanija Pale;Bosnia-Herzegovina 2;4.33 (2);56.8;14.2;29.0;1;;;;1;2:1;WYGRANA;0.0
20:45;Linlithgow Rose vs Civil Service Strollers;Scotland 5;1.36 (1);56.7;18.3;24.9;1;;;;X;3:3;PRZEGRANA;-100.0
jutro 01:30;Santa Fe vs Llaneros FC;Colombia 1;1.57 (1);54.8;25.2;20.1;1;;;;Brak/Odwolany;-;Odwolany;0.0
19:00;Eintracht Norderstedt vs 1. FC Phoenix Luebeck;Germany 4;1.83 (2);13.0;54.6;32.4;2;;;;X;1:1;PRZEGRANA;-100.0
02:00;Real Cartagena vs Deportes Quindio;Colombia 2;1.57 (1);51.3;16.9;31.8;1;;;;1;2:1;WYGRANA;57.0
20:00;Burgos CF vs CA Ceuta;Spain 2;1.8 (1);48.8;20.5;30.7;1;;;;X;1:1;PRZEGRANA;-100.0
jutro 01:00;Lanus vs Club Atletico Platense;Argentina 1;1.95 (1);47.4;31.5;21.2;1;;;;Brak/Odwolany;-;Odwolany;0.0
jutro 01:30;Sportivo Trinidense vs Olimpia;Paraguay 1;1.95 (2);25.7;46.4;27.9;2;;;;Brak/Odwolany;-;Odwolany;0.0
21:30;Racing Santander vs Sporting Gijon;Spain 2;1.95 (1);46.0;29.0;25.0;1;;;;1;3:1;WYGRANA;95.0
23:30;Rubio Nu vs Guarani;Paraguay 1;2.05 (2);15.1;45.1;39.8;2;;;;Brak/Odwolany;-;Odwolany;0.0
14:00;Nairobi United vs Mara Sugar;Kenya 1;1.9 (1);44.3;39.3;16.4;1;;;;X;1:1;PRZEGRANA;-100.0
jutro 00:30;Internacional vs Sao Paulo;Brazil 1;3.6 (2);42.8;24.7;32.5;1;;;;Brak/Odwolany;-;Odwolany;0.0
16:30;Panthere FC vs Dynamo de Douala;Cameroon 1;2.2 (1);42.4;29.3;28.4;1;;;;1;3:0;WYGRANA;120.00000000000003
19:00;ZFC Meuselwitz vs BFC Preussen;Germany 4;2.2 (2);30.3;41.2;28.5;2;;;;2;2:3;WYGRANA;120.00000000000003
15:00;Singida Black Stars vs Azam FC;Tanzania 1;2.2 (2);25.9;40.9;33.2;2;;;;2;1:2;WYGRANA;120.00000000000003
20:00;Huesca vs Leonesa;Spain 2;2.0 (1);39.2;30.1;30.7;1;;;;X;1:1;PRZEGRANA;-100.0
23:10;Alianza Petrolera vs Deportivo Pasto;Colombia 1;2.8 (1);33.3;38.9;27.9;2;;;;Brak/Odwolany;-;Odwolany;0.0
19:00;FC Andorra vs Malaga CF;Spain 2;3.0 (2);37.9;30.9;31.2;1;;;;X;3:3;PRZEGRANA;-100.0
19:00;Babelsberg vs BFC Dynamo;Germany 4;2.87 (2);36.1;31.5;32.3;1;;;;X;2:2;PRZEGRANA;-100.0
