Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2
13:30;Tampines Rovers FC vs Young Lions;Singapore 1;1.07 (1);95.3;1.0;3.8;1;✅ OBA ZGODNE (1);100.0;0.0;0.0;92.1;6.3;1.7
10:30;Persijap vs PSBS Biak Numfor;Indonesia 1;1.09 (1);89.8;3.7;6.5;1;✅ OBA ZGODNE (1);96.0;4.0;0.0;85.6;8.2;6.2
16:00;Al-Wasl vs Dibba Al Fujairah;U.A.E. 1;1.2 (1);81.3;5.7;13.0;1;✅ OBA ZGODNE (1);88.0;8.0;4.0;76.8;16.3;6.8
15:00;Kelantan United vs Selangor;Malaysia 1;1.22 (2);12.2;79.5;8.2;2;✅ OBA ZGODNE (2);12.0;0.0;88.0;12.4;13.7;73.9
20:30;RasenBallsport Leipzig vs Union Berlin;Germany 1;1.42 (1);76.9;7.2;15.9;1;✅ OBA ZGODNE (1);92.0;8.0;0.0;66.8;21.2;12.1
14:30;FC Kolos Kovalivka vs SC Poltava;Ukraine 1;1.2 (1);76.6;7.5;15.9;1;✅ OBA ZGODNE (1);80.0;12.0;8.0;74.3;18.5;7.2
15:00;Al-Ittihad vs Al-Futowa;Syria 1;1.2 (1);73.6;8.6;17.8;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;74.7;16.4;8.9
18:30;Al Ahli vs Al-Faisaly;Jordan 1;1.27 (2);14.9;73.0;12.1;2;✅ OBA ZGODNE (2);20.0;8.0;72.0;11.5;14.8;73.7
19:30;Oberwart vs Retz;Austria 3;1.27 (1);72.7;9.8;17.5;1;✅ OBA ZGODNE (1);84.0;12.0;4.0;65.2;21.2;13.6
19:30;Seekirchen vs Kufstein;Austria 3;1.27 (1);72.1;7.2;20.7;1;✅ OBA ZGODNE (1);76.0;20.0;4.0;69.5;21.1;9.4
jutro 00:15;Lanus vs Central Cordoba de Santiago;Argentina 1;1.5 (1);71.0;14.7;14.3;1;✅ OBA ZGODNE (1);80.0;8.0;12.0;65.0;18.5;16.4
20:45;SSC Napoli vs Cremonese;European Championship U-21 1;1.33 (1);70.2;11.4;18.4;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;66.4;22.6;11.0
14:00;Persib Bandung vs Arema;Indonesia 1;1.3 (1);69.9;8.3;21.7;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;71.2;20.2;8.5
12:30;Brunswick Juventus vs North Sunshine Eagles;Australia 3;1.72 (1);66.0;11.6;22.4;1;✅ OBA ZGODNE (1);72.0;20.0;8.0;61.9;24.0;14.1
19:00;Atlético Madrid II vs Real Betis II;Spain 3;1.55 (1);65.3;17.5;17.2;1;✅ OBA ZGODNE (1);72.0;12.0;16.0;60.9;20.6;18.5
19:00;NEC vs Mbarara City;Uganda 1;1.28 (1);64.3;17.4;18.3;1;✅ OBA ZGODNE (1);64.0;16.0;20.0;64.6;19.8;15.6
14:00;Sukhothai FC vs Ratchaburi FC;Thailand 1;1.9 (2);15.9;64.3;19.7;2;✅ OBA ZGODNE (2);12.0;8.0;80.0;18.5;27.6;53.9
19:00;Viktoria Aschaffenburg vs Nuernberg II;Germany 4;1.44 (2);17.7;63.4;18.9;2;✅ OBA ZGODNE (2);16.0;20.0;64.0;18.8;18.2;63.0
18:00;SK Austria Klagenfurt vs Austria Lustenau;Austria 2;1.72 (2);19.0;62.1;18.9;2;✅ OBA ZGODNE (2);20.0;12.0;68.0;18.3;23.5;58.2
18:00;FC Vlasim vs SK Prostejov;Czech Republic 2;1.55 (1);61.9;15.7;22.4;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;60.5;24.1;15.4
19:30;Rouen vs Aubagne;France 3;1.45 (1);61.8;14.2;23.9;1;✅ OBA ZGODNE (1);60.0;24.0;16.0;63.0;23.9;13.0
18:30;Réal Bamako vs Bakaridjan;Mali 1;1.6 (1);60.3;18.0;21.6;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;57.9;22.7;19.4
19:30;Orleans vs Quevilly;France 3;1.57 (1);60.2;17.6;22.2;1;✅ OBA ZGODNE (1);68.0;16.0;16.0;55.1;26.3;18.6
19:00;Monza vs Modena;Italy 2;1.61 (1);59.0;11.9;29.1;1;✅ OBA ZGODNE (1);60.0;32.0;8.0;58.3;27.2;14.5
19:30;Sochaux vs Bourg en Bresse Peronnas;France 3;1.48 (1);58.8;11.2;30.0;1;✅ OBA ZGODNE (1);52.0;40.0;8.0;63.3;23.3;13.4
19:00;SC Neusiedl am See 1919 vs Gloggnitz;Austria 3;1.8 (2);19.7;57.2;23.1;2;✅ OBA ZGODNE (2);16.0;20.0;64.0;22.1;25.2;52.6
20:45;St.Johnstone vs Raith Rovers;Scotland 2;1.57 (1);55.8;16.8;27.4;1;✅ OBA ZGODNE (1);56.0;28.0;16.0;55.7;27.0;17.4
20:45;Bray Wanderers vs Cork City;Ireland 2;1.65 (2);11.0;55.0;33.9;2;✅ OBA ZGODNE (2);8.0;44.0;48.0;13.1;27.2;59.7
20:00;Kazincbarcikai BSC vs MTK Budapeszt;Hungary 1;1.7 (2);20.1;54.1;25.8;2;✅ OBA ZGODNE (2);20.0;20.0;60.0;20.1;29.7;50.2
20:00;RKC Waalwijk vs Jong PSV;Netherlands 2;1.61 (1);51.7;21.6;26.8;1;✅ OBA ZGODNE (1);52.0;28.0;20.0;51.4;26.0;22.6
19:30;FC Rapperswil-Jona vs Etoile Carouge;Switzerland 2;2.0 (2);26.8;51.7;21.5;2;✅ OBA ZGODNE (2);28.0;16.0;56.0;25.9;25.2;48.9
jutro 00:00;Union La Calera vs Coquimbo Unido;Chile 1;3.2 (1);23.4;51.6;24.9;2;✅ OBA ZGODNE (2);8.0;24.0;68.0;33.7;25.5;40.7
13:30;Northeast United FC vs FC Goa;India ISL 1;2.2 (2);24.8;51.0;24.2;2;✅ OBA ZGODNE (2);16.0;20.0;64.0;30.6;27.0;42.4
18:00;Podbeskidzie Bielsko-Biała vs Zagłębie Sosnowiec;Poland 3;1.66 (1);50.7;20.4;28.9;1;✅ OBA ZGODNE (1);40.0;40.0;20.0;57.9;21.5;20.6
22:45;Nacional vs Recoleta;Paraguay 1;1.7 (1);50.1;24.3;25.6;1;✅ OBA ZGODNE (1);40.0;32.0;28.0;56.9;21.3;21.9
19:00;FC Guetersloh vs Sportfreunde Lotte;Germany 4;1.9 (1);49.8;24.1;26.2;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;48.3;27.6;24.1
19:00;Parndorf vs Krems / Rehberg;Austria 3;2.9 (2);48.0;27.2;24.8;1;✅ OBA ZGODNE (1);52.0;20.0;28.0;45.3;28.0;26.7
21:00;Avellino vs Bari;Italy 2;1.9 (1);47.8;25.8;26.5;1;✅ OBA ZGODNE (1);48.0;24.0;28.0;47.6;28.1;24.3
19:00;Alemannia Aachen vs Duisburg;Germany 3;2.0 (1);47.7;22.9;29.5;1;✅ OBA ZGODNE (1);48.0;32.0;20.0;47.4;27.8;24.8
21:00;Leicester City vs Millwall;England 2;1.75 (2);29.5;47.4;23.0;2;⚠️ RÓŻNICA (KNN:1 XGB:2);40.0;20.0;40.0;22.6;25.0;52.4
20:45;Finn Harps vs Athlone Town;Ireland 2;2.15 (1);46.8;26.6;26.6;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;43.4;28.4;28.3
19:30;SV Horn vs FCM Arkadia Traiskirchen;Austria 3;1.66 (1);46.0;27.4;26.6;1;✅ OBA ZGODNE (1);40.0;28.0;32.0;50.0;25.6;24.4
