Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
08 kwi;Al Hilal vs Al Kholood;Saudi Arabia 1;1.16 (1);92.9;2.9;4.2;1;1.12;0.06;Stabilnie
08 kwi;Montana vs Liteks Łowecz;Bulgaria 1;1.3 (2);16.6;69.5;13.9;2;;;
08 kwi;Holywell Town vs Newtown;Wales 2;1.48 (1);67.6;10.8;21.6;1;1.56;-0.09;Stabilnie
08 kwi;Goztepe vs Galatasaray Stambuł;Turkey 1;1.61 (2);10.1;67.4;22.5;2;1.85;-0.15;GRUBA GRA (Spadek)
08 kwi;Wehen vs TSV Havelse;Germany 3;1.53 (1);63.5;15.0;21.5;1;;;
08 kwi;Termoli Calcio vs Sammaurese;Italy 4;1.6 (1);60.4;12.6;27.0;1;;;
08 kwi;Marine vs Hereford;England 6;1.7 (1);59.9;16.5;23.6;1;;;
08 kwi;FK Slavija Sarajewo vs Sutjeska;Bosnia-Herzegovina 2;1.33 (1);57.1;2.5;40.4;1;;;
08 kwi;Carl Zeiss Jena vs FSV Zwickau;Germany 4;1.83 (1);54.6;24.4;21.0;1;;;
08 kwi;Radnik Hadzici vs Buducnost;Bosnia-Herzegovina 2;3.7 (2);54.1;17.3;28.6;1;;;
08 kwi;Velež Nevesinje vs Drina Zvornik;Bosnia-Herzegovina 2;1.9 (1);52.2;27.9;20.0;1;;;
08 kwi;Al Ittihad vs Al Suqoor;Saudi Arabia 1;1.61 (1);51.5;20.5;28.0;1;;;
08 kwi;Umraniyespor vs Sakaryaspor;Turkey 2;2.0 (1);51.1;22.0;26.9;1;;;
08 kwi;Botew Płowdiw vs Łokomotiw Płowdiw;Bulgaria 1;1.9 (1);49.2;22.5;28.4;1;;;
08 kwi;Barranquilla FC vs Real Santander;Colombia 2;1.9 (1);48.6;23.4;28.1;1;;;
08 kwi;TS Galaxy vs Polokwane City;South Africa 1;2.9 (2);47.0;29.2;23.8;1;;;
08 kwi;Les Herbiers vs Stade Poitevin;France 4;1.65 (1);46.5;17.2;36.2;1;;;
08 kwi;Kabwe Warriors vs Mufulira Wanderers;Zambia 1;2.05 (1);45.3;29.5;25.3;1;;;
08 kwi;BFC Preussen vs Chemnitzer FC;Germany 4;2.15 (1);43.8;30.6;25.6;1;;;
08 kwi;SC Verl vs Hansa Rostock;Germany 3;2.9 (2);36.7;40.2;23.1;2;;;
08 kwi;Saarbruecken vs Alemannia Aachen;Germany 3;2.87 (2);39.9;35.9;24.2;1;;;
08 kwi;Sportfreunde Siegen vs Borussia Dortmund II;Germany 4;2.2 (2);32.4;39.0;28.6;2;;;
08 kwi;Ingolstadt vs Viktoria Koeln 1904;Germany 3;2.75 (2);39.0;26.2;34.8;1;;;
08 kwi;Arenas Getxo vs Pontevedra;Spain 3;2.5 (2);30.9;38.6;30.5;2;;;
08 kwi;FK Sloga Simin Han vs NK Bratstvo;Bosnia-Herzegovina 2;2.25 (2);31.2;38.4;30.5;2;;;
08 kwi;Aviron Bayonnais vs La Roche;France 4;2.7 (2);37.9;32.2;29.9;1;;;
08 kwi;Queretaro FC vs FC Juarez;Mexico 1;2.37 (2);33.5;36.9;29.6;2;;;
08 kwi;VfB Stuttgart II vs Ulm;Germany 3;3.1 (2);32.4;32.2;35.4;X;;;
