Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
03:05;Cruz Azul vs Necaxa;Mexico 1;1.36 (1);72.1;10.3;17.6;1;1.4;-0.08;Stabilnie
19:00;Besiktas Stambuł vs Fatih Karagümrük;Turkey 1;1.33 (1);68.5;11.5;20.0;1;;;
14:00;Persija Jakarta vs Persis Solo;Indonesia 1;1.3 (1);65.6;9.3;25.1;1;1.28;-0.02;Stabilnie
19:00;Chaves vs Oliveirense;Portugal 2;1.55 (1);59.8;15.5;24.8;1;;;
21:15;Gil Vicente vs Casa Pia;Portugal 1;1.61 (1);59.2;19.2;21.6;1;;;
14:30;Zoria Ługańsk vs Veres Rivne;Ukraine 1;1.83 (1);56.3;20.6;23.1;1;;;
18:00;Ruch Chorzów vs Pogon Grodzisk Mazowiecki;Poland 2;1.7 (1);53.8;22.0;24.2;1;;;
18:30;Cagliari vs Atalanta;European Championship U-21 1;1.75 (2);22.3;53.8;23.9;2;;;
02:00;Union Espanola vs Deportes Santa Cruz;Chile 2;1.8 (1);51.9;21.6;26.6;1;;;
jutro 00:30;Defensor Sporting vs Club Atletico Progreso;Uruguay 1;1.85 (1);50.2;23.4;26.4;1;;;
21:00;Manchester United vs Brentford;England 1;1.85 (1);50.1;21.4;28.5;1;;;
10:30;Bali United Pusam vs PSM Makassar;Indonesia 1;1.9 (1);48.8;25.0;26.2;1;;;
23:30;Manta vs Universidad Catolica;Ecuador 1;1.83 (2);25.3;47.1;27.6;2;;;
20:45;Lazio Rzym vs Udinese;European Championship U-21 1;2.0 (1);45.4;28.0;26.6;1;;;
18:00;HNK Gorica vs NK Istra 1961;Croatia 1;1.85 (1);44.3;27.0;28.7;1;;;
20:45;Boulogne vs Dunkerque;France 2;2.62 (1);44.3;28.1;27.6;1;;;
19:00;Konyaspor vs Trabzonspor;Turkey 1;2.2 (2);30.7;42.9;26.4;2;;;
19:00;Piast Gliwice vs Arka Gdynia;Poland 1;4.1 (2);42.5;34.9;22.6;1;;;
23:45;Velez Sarsfield vs Union;Argentina 1;2.2 (1);42.0;29.9;28.1;1;;;
21:00;Espanyol vs Levante;Spain 1;3.8 (2);42.0;25.4;32.6;1;;;
16:00;Bochum II vs Borussia Moenchengladbach II;Germany 4;2.55 (2);39.5;32.5;28.0;1;;;
20:30;Central Ballester vs El Porvenir;Argentina 4;3.0 (2);36.1;38.9;25.0;2;;;
16:00;Alanyaspor vs Samsunspor;Turkey 1;2.37 (1);38.4;33.7;27.9;1;;;
20:30;Cadiz vs Las Palmas;Spain 2;2.15 (2);33.0;37.6;29.4;2;;;
22:00;Asociacion Deportiva Tarma vs Santa Rosa de Andahuaylas;Peru 1;2.87 (2);36.8;36.5;26.8;1;;;
17:30;Hebar vs Chernomorets 1919 Burgas;Bulgaria 2;3.3 (2);36.5;36.3;27.2;1;;;
