Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
20:00;Manchester City Academy vs Norwich City U21;England Reserve 1;1.16 (1);81.0;6.7;12.2;1;1.26;-0.14;GRUBA GRA (Spadek)
16:00;Erzurum BB vs Boluspor;Turkey 2;1.25 (1);80.3;6.0;13.8;1;1.45;-0.37;GRUBA GRA (Spadek)
18:00;Vukovar 91 vs Dinamo Zagrzeb;Croatia 1;1.18 (2);9.8;79.5;10.7;2;1.3;-0.12;GRUBA GRA (Spadek)
18:30;Al Arabi vs Al-Sailiya;Qatar 1;1.55 (1);77.2;12.1;10.7;1;;;
19:00;Amed SK vs Umraniyespor;Turkey 2;1.27 (1);70.6;8.8;20.6;1;1.3;-0.1;Stabilnie
jutro 01:00;Club Atletico Penarol vs Liverpool FC;Uruguay 1;1.57 (1);64.3;15.2;20.5;1;;;
19:00;Sakaryaspor vs Erokspor;Turkey 2;1.45 (2);15.9;63.9;20.2;2;;;
20:00;Jong Ajax vs FC Oss;Netherlands 2;2.1 (1);62.1;17.1;20.8;1;;;
21:00;Manchester United vs Leeds United;England 1;1.55 (1);60.8;14.6;24.6;1;;;
16:00;Internacional Podgorica vs Kom;Montenegro 2;1.57 (2);17.4;57.4;25.3;2;;;
20:30;Benevento vs Cavese;Italy 3;1.57 (1);57.0;19.4;23.6;1;;;
16:15;Al-Shamal vs Qatar SC;Qatar 1;1.8 (1);55.2;16.8;28.0;1;;;
19:00;AF Elbasani vs Partizani;Albania 1;1.9 (1);54.1;21.2;24.7;1;;;
19:00;Lusitania FC Lourosa vs FC Porto B;Portugal 2;2.2 (1);53.9;31.3;14.8;1;;;
20:00;Jong AZ Alkmaar vs Jong PSV;Netherlands 2;1.85 (1);53.7;20.2;26.1;1;;;
15:00;Sivasspor vs İstanbulspor;Turkey 2;1.7 (1);52.9;21.0;26.0;1;;;
18:00;Łódzki KS vs Pogon Grodzisk Mazowiecki;Poland 2;1.75 (1);52.6;18.9;28.5;1;;;
20:30;Dolomiti Bellunesi vs Pro Patria;Italy 3;1.72 (1);52.5;20.7;26.8;1;;;
18:30;Fortune vs Dutch Lions;Gambia 1;1.8 (1);52.4;20.1;27.6;1;;;
jutro 00:00;Lanus vs Banfield;Argentina 1;1.85 (1);52.3;20.7;27.0;1;;;
19:00;Rizespor vs Gaziantep BB;Turkey 1;1.72 (1);52.0;21.0;27.1;1;;;
19:00;Piast Gliwice vs Pogoń Szczecin;Poland 1;2.15 (1);50.2;23.9;25.8;1;;;
19:00;Eyüpspor vs Samsunspor;Turkey 1;1.85 (2);24.5;49.5;26.0;2;;;
12:00;Cherkasi vs Szachtar Donieck;Ukraine 1;1.7 (2);26.9;48.8;24.2;2;;;
15:30;FK Struga vs GFK Tikves Kavadarci;F.Y.R.O.M. 1;4.2 (2);48.5;21.9;29.7;1;;;
23:00;Union Magdalena vs Internacional Palmira;Colombia 2;4.2 (2);48.2;23.5;28.3;1;;;
20:00;Crystal Palace Academy vs Arsenal Academy;England Reserve 1;2.1 (1);47.7;27.2;25.1;1;;;
18:00;Esperança dAndorra vs Penya Encarnada d'Andorra;Andorra 1;4.0 (1);24.9;47.0;28.1;2;;;
22:00;Bogota FC vs Orsomarso;Colombia 2;3.75 (2);46.1;19.8;34.1;1;;;
16:00;Bylis vs Dinamo Tirana;Albania 1;3.5 (1);25.2;45.8;29.0;2;;;
18:00;Beroe vs Łokomotiw Płowdiw;Bulgaria 1;2.2 (2);29.0;45.4;25.7;2;;;
21:30;Sarmiento vs Gimnasia LP;Argentina 1;2.45 (1);45.4;27.1;27.5;1;;;
20:30;Renate vs Pro Vercelli;Italy 3;2.1 (1);45.3;28.4;26.3;1;;;
20:45;Caersws vs Buckley Town;Wales 2;1.95 (1);45.3;26.1;28.6;1;;;
jutro 01:05;Patriotas vs Real Cartagena;Colombia 2;2.9 (2);44.9;28.4;26.6;1;;;
21:15;Tondela vs Gil Vicente;Portugal 1;4.1 (1);28.1;44.6;27.3;2;;;
20:00;Leeds United U21 vs Leicester City Academy;England Reserve 1;2.0 (2);28.4;43.1;28.6;2;;;
16:00;Etoile Metlaoui vs Marsa;Tunisia 1;2.4 (1);43.1;26.9;30.0;1;;;
20:00;Reading U21 vs Derby County U21;England Reserve 1;3.5 (2);42.7;28.2;29.1;1;;;
20:30;AZ Picerno ASD vs Cosenza;Italy 3;2.8 (1);31.1;40.1;28.8;2;;;
20:00;Varda SE vs Debreceni VSC;Hungary 1;2.8 (1);40.1;30.7;29.2;1;;;
20:45;Fiorentina vs Lazio Rzym;European Championship U-21 1;3.4 (2);40.0;30.5;29.5;1;;;
11:45;Etar vs Dunav Ruse;Bulgaria 2;3.1 (1);39.7;31.8;28.5;1;;;
17:30;OTR vs Unisport;Togo 1;3.0 (2);39.6;32.7;27.7;1;;;
21:30;Defensa y Justicia vs Talleres;Argentina 1;2.9 (1);32.7;39.1;28.2;2;;;
20:30;Valladolid vs Eibar;Spain 2;3.2 (2);38.1;33.4;28.5;1;;;
20:00;Jong FC Utrecht vs Vitesse;Netherlands 2;2.37 (2);37.6;37.9;24.5;2;;;
21:00;Levante vs Getafe;Spain 1;2.87 (2);36.8;35.4;27.8;1;;;
20:45;Rodez vs Troyes;France 2;3.2 (1);35.0;36.8;28.2;2;;;
15:00;Liteks Łowecz vs Lewski Sofia;Bulgaria 1;2.7 (1);36.4;36.2;27.4;1;;;
20:30;Crotone vs Catania;Italy 3;2.5 (1);36.0;35.8;28.2;1;;;
20:00;Newcastle United U21 vs Wolverhampton Wanderers Academy;England Reserve 1;2.55 (2);33.4;34.9;31.7;2;;;
