Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
05 kwi;Club Africain vs Gabès;Tunisia 1;1.22 (1);88.0;4.8;7.2;1;✅ OBA ZGODNE (1);90.0;5.0;5.0;86.6;8.7;4.7;1;2:0;WYGRANA;22.0
05 kwi;Szachtar Donieck vs Rukh Vynnyky;Ukraine 1;1.1 (1);87.9;5.2;6.9;1;✅ OBA ZGODNE (1);80.0;10.0;10.0;93.2;4.9;2.0;1;3:0;WYGRANA;10.000000000000014
05 kwi;Berekum Chelsea vs Aduana Stars;Ghana 1;1.1 (1);84.0;5.1;10.9;1;✅ OBA ZGODNE (1);85.0;10.0;5.0;83.4;11.5;5.1;1;1:0;WYGRANA;10.000000000000014
05 kwi;Al-Ain vs Ajman;U.A.E. 1;1.27 (1);82.7;5.7;11.6;1;✅ OBA ZGODNE (1);85.0;10.0;5.0;81.2;12.6;6.2;1;2:0;WYGRANA;27.0
05 kwi;CS Sfaxien vs Kairouan;Tunisia 1;1.2 (1);82.3;5.3;12.4;1;✅ OBA ZGODNE (1);90.0;10.0;0.0;77.2;14.0;8.8;1;3:0;WYGRANA;20.0
05 kwi;Deportivo Saprissa vs Municipal Perez Zeledon;Costa Rica 1;1.3 (1);80.8;4.2;15.0;1;✅ OBA ZGODNE (1);80.0;20.0;0.0;81.4;11.6;7.0;1;4:0;WYGRANA;30.0
05 kwi;Young Lions vs Balestier Khalsa FC;Singapore 1;1.44 (2);11.1;80.1;8.8;2;✅ OBA ZGODNE (2);10.0;5.0;85.0;11.9;11.3;76.9;2;0:2;WYGRANA;44.0
05 kwi;Al-Seeb vs Al-Smail;Oman 1;1.25 (1);80.0;7.4;12.6;1;✅ OBA ZGODNE (1);85.0;10.0;5.0;76.6;14.4;9.0;1;2:1;WYGRANA;25.0
05 kwi;Macva Sabac vs Stepojevac Vaga;Serbia 2;1.22 (1);79.9;7.9;12.2;1;✅ OBA ZGODNE (1);90.0;5.0;5.0;73.2;17.0;9.9;1;2:0;WYGRANA;22.0
05 kwi;Nasarawa United vs Kun Khalifat;Nigeria 1;1.44 (1);79.9;8.0;12.1;1;✅ OBA ZGODNE (1);75.0;15.0;10.0;83.2;10.2;6.6;2;0:1;PRZEGRANA;-100.0
06 kwi;CD Motagua vs Policia NFC;Honduras 1;1.25 (1);79.0;10.3;10.7;1;✅ OBA ZGODNE (1);80.0;5.0;15.0;78.3;14.5;7.2;1;3:1;WYGRANA;25.0
05 kwi;CR Belouizdad vs Mostaganem;Algeria 1;1.2 (1);75.3;10.6;14.0;1;✅ OBA ZGODNE (1);70.0;15.0;15.0;78.9;13.4;7.7;1;7:0;WYGRANA;20.0
05 kwi;Sparta Praga vs Karvina;Czech Republic 1;1.3 (1);75.1;6.4;18.4;1;✅ OBA ZGODNE (1);80.0;15.0;5.0;71.9;20.7;7.4;1;2:0;WYGRANA;30.0
05 kwi;St. Georges Colts vs Dandy Town Hornets;Bermuda 1;1.33 (2);8.5;74.8;16.6;2;✅ OBA ZGODNE (2);5.0;20.0;75.0;10.9;14.3;74.7;2;1:2;WYGRANA;33.0
05 kwi;St. Pauls United vs Dieppe Bay Eagles;St. Kitts and Nevis 1;1.33 (1);74.0;10.3;15.7;1;✅ OBA ZGODNE (1);65.0;20.0;15.0;80.0;12.9;7.1;1;4:1;WYGRANA;33.0
