Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
17:30;Young Africans vs Mbeya City;Tanzania 1;1.09 (1);89.9;2.4;7.6;1;1.07;-0.03;Stabilnie;1;6:0;WYGRANA;9.000000000000014
18:30;Stade Malien Bamako vs US Bougouba;Mali 1;1.45 (1);67.6;10.4;22.0;1;;;;1;1:0;WYGRANA;45.0
jutro 00:00;Jalapa vs Real Madriz;Nicaragua 1;1.61 (1);59.3;16.8;24.0;1;;;;1;2:0;WYGRANA;61.0
16:00;Chernomorets 1919 Burgas vs Ludogorets Razgrad II;Bulgaria 2;1.53 (1);58.7;18.1;23.1;1;;;;X;0:0;PRZEGRANA;-100.0
18:00;Al-Hidd vs Muharraq;Bahrain 1;1.53 (2);19.6;57.8;22.6;2;;;;2;0:1;WYGRANA;53.0
20:45;Hanwell Town vs Farnham Town;England 7;1.72 (2);22.7;53.3;24.0;2;;;;X;1:1;PRZEGRANA;-100.0
20:45;Peterborough United vs Port Vale;England 3;1.61 (1);53.2;22.0;24.7;1;;;;2;1:3;PRZEGRANA;-100.0
23:00;H&H Export vs Diriangén;Nicaragua 1;1.7 (2);17.7;52.0;30.4;2;;;;2;0:2;WYGRANA;70.0
19:00;CS Constantine vs MC Alger;Algeria 1;2.9 (2);50.5;25.2;24.3;1;;;;1;2:0;WYGRANA;0.0
18:00;Al-Najma vs Budaiya;Bahrain 1;1.9 (1);50.4;23.4;26.2;1;;;;2;1:2;PRZEGRANA;-100.0
16:00;Septemvri Sofia vs Spartak Varna;Bulgaria 1;2.0 (1);48.6;24.3;27.1;1;;;;X;0:0;PRZEGRANA;-100.0
20:30;Bakaridjan vs Diarra;Mali 1;2.5 (2);26.2;48.6;25.3;2;;;;2;1:2;WYGRANA;150.0
16:00;Spartak Pleven vs Fratria;Bulgaria 2;1.95 (2);23.9;47.1;28.9;2;;;;X;1:1;PRZEGRANA;-100.0
20:30;Dock Sud vs Deportivo Merlo;Argentina 3;2.75 (2);31.3;47.0;21.7;2;;;;X;1:1;PRZEGRANA;-100.0
15:55;Dhofar vs Al Rustaq;Oman 1;1.83 (1);46.8;24.9;28.3;1;;;;2;0:1;PRZEGRANA;-100.0
18:30;FC Mali Coura vs ASKO;Mali 1;2.15 (2);27.2;46.3;26.4;2;;;;1;2:1;PRZEGRANA;-100.0
18:30;Montana vs Slavia Sofia;Bulgaria 1;1.95 (2);25.4;46.2;28.4;2;;;;X;0:0;PRZEGRANA;-100.0
17:00;Pirin Blagoevgrad vs Hebar;Bulgaria 2;2.9 (2);43.9;26.3;29.8;1;;;;X;2:2;PRZEGRANA;-100.0
16:00;Vihren vs Sportist Svoge;Bulgaria 2;2.15 (1);43.7;30.4;25.9;1;;;;1;4:1;WYGRANA;115.0
jutro 01:00;Mictlán vs Mixco;Guatemala 1;2.05 (1);42.5;27.7;29.8;1;;;;X;2:2;PRZEGRANA;-100.0
20:30;Comunicaciones vs CASD Camioneros;Argentina 3;3.3 (2);40.9;30.0;29.0;1;;;;2;1:2;PRZEGRANA;-100.0
15:00;Mashujaa vs Singida Black Stars;Tanzania 1;3.4 (1);28.2;39.9;32.0;2;;;;X;1:1;PRZEGRANA;-100.0
17:00;Al-Jazeera vs Al Buqaa;Jordan 1;2.35 (1);38.9;31.5;29.6;1;;;;2;1:2;PRZEGRANA;-100.0
18:20;Oman FC vs Al-Nasr Salalah;Oman 1;2.55 (2);37.7;36.1;26.2;1;;;;X;0:0;PRZEGRANA;-100.0
17:00;Aluminij vs Mura;Slovenia 1;2.5 (1);36.9;36.4;26.6;1;;;;1;2:1;WYGRANA;150.0
21:00;Bromley vs Cambridge United;England 4;2.4 (2);28.0;35.5;36.5;X;;;;X;0:0;WYGRANA;0.0
