Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:00;Al Hilal vs Al Kholood;Saudi Arabia 1;1.16 (1);95.0;0.0;5.0;1;1;6:0;WYGRANA;15.999999999999986
17:00;Montana vs Liteks Łowecz;Bulgaria 1;1.3 (2);20.0;75.0;5.0;2;2;0:1;WYGRANA;30.0
19:00;Goztepe vs Galatasaray Stambuł;Turkey 1;1.61 (2);15.0;75.0;10.0;2;2;1:3;WYGRANA;61.0
20:45;Marine vs Hereford;England 6;1.7 (1);75.0;15.0;10.0;1;2;0:1;PRZEGRANA;-100.0
13:00;FK Slavija Sarajewo vs Sutjeska;Bosnia-Herzegovina 2;1.33 (1);75.0;10.0;15.0;1;1;3:0;WYGRANA;33.0
16:00;Termoli Calcio vs Sammaurese;Italy 4;1.6 (1);70.0;5.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
19:00;Sportfreunde Siegen vs Borussia Dortmund II;Germany 4;2.2 (2);5.0;70.0;25.0;2;2;0:1;WYGRANA;120.00000000000003
19:00;Carl Zeiss Jena vs FSV Zwickau;Germany 4;1.83 (1);70.0;20.0;10.0;1;1;5:1;WYGRANA;83.0
16:00;Radnik Hadzici vs Buducnost;Bosnia-Herzegovina 2;3.7 (2);65.0;5.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
19:00;Wehen vs TSV Havelse;Germany 3;1.53 (1);65.0;15.0;20.0;1;2;1:4;PRZEGRANA;-100.0
19:30;TS Galaxy vs Polokwane City;South Africa 1;2.9 (2);65.0;20.0;15.0;1;2;1:2;PRZEGRANA;-100.0
02:30;Barranquilla FC vs Real Santander;Colombia 2;1.9 (1);65.0;10.0;25.0;1;1;2:0;WYGRANA;90.0
20:45;Holywell Town vs Newtown;Wales 2;1.48 (1);60.0;10.0;30.0;1;1;6:0;WYGRANA;48.0
16:00;Velež Nevesinje vs Drina Zvornik;Bosnia-Herzegovina 2;1.9 (1);55.0;20.0;25.0;1;2;1:2;PRZEGRANA;-100.0
19:00;Umraniyespor vs Sakaryaspor;Turkey 2;2.0 (1);55.0;15.0;30.0;1;1;2:0;WYGRANA;100.0
19:00;Les Herbiers vs Stade Poitevin;France 4;1.65 (1);55.0;20.0;25.0;1;1;2:1;WYGRANA;65.0
19:30;Botew Płowdiw vs Łokomotiw Płowdiw;Bulgaria 1;1.9 (1);50.0;25.0;25.0;1;X;1:1;PRZEGRANA;-100.0
02:00;Queretaro FC vs FC Juarez;Mexico 1;2.37 (2);15.0;50.0;35.0;2;Brak/Odwolany;-;Odwolany;0.0
19:00;SC Verl vs Hansa Rostock;Germany 3;2.9 (2);45.0;20.0;35.0;1;2;1:2;PRZEGRANA;-100.0
19:00;Saarbruecken vs Alemannia Aachen;Germany 3;2.87 (2);45.0;15.0;40.0;1;X;1:1;PRZEGRANA;-100.0
17:00;BFC Preussen vs Chemnitzer FC;Germany 4;2.15 (1);30.0;40.0;30.0;2;1;2:1;PRZEGRANA;-100.0
19:00;Arenas Getxo vs Pontevedra;Spain 3;2.5 (2);25.0;40.0;35.0;2;1;1:0;PRZEGRANA;-100.0
19:00;VfB Stuttgart II vs Ulm;Germany 3;3.1 (2);30.0;40.0;30.0;2;X;1:1;PRZEGRANA;-100.0
19:00;Ingolstadt vs Viktoria Koeln 1904;Germany 3;2.75 (2);35.0;40.0;25.0;2;2;1:2;WYGRANA;175.0
15:00;Kabwe Warriors vs Mufulira Wanderers;Zambia 1;2.05 (1);40.0;30.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
18:00;Aviron Bayonnais vs La Roche;France 4;2.7 (2);35.0;25.0;40.0;X;1;2:0;PRZEGRANA;-100.0
16:00;FK Sloga Simin Han vs NK Bratstvo;Bosnia-Herzegovina 2;2.25 (2);30.0;35.0;35.0;2;1;1:0;PRZEGRANA;-100.0
20:00;Al Ittihad vs Al Suqoor;Saudi Arabia 1;1.61 (1);30.0;25.0;45.0;X;2;3:4;PRZEGRANA;-100.0
